C4H4 (wavelength = nm, xs = cm2/molecule)
wavelength          295K                
1.60000000e+02      3.99300000e-17      
1.65000000e+02      2.67900000e-17      
1.70000000e+02      3.02500000e-17      
1.75000000e+02      6.41100000e-18      
1.80000000e+02      5.41100000e-18      
1.85000000e+02      4.90300000e-18      
1.90000000e+02      6.61400000e-18      
1.95000000e+02      9.57800000e-18      
2.00000000e+02      1.27900000e-17      
2.05000000e+02      2.04600000e-17      
2.10000000e+02      1.94300000e-17      
2.15000000e+02      2.12300000e-17      
2.20000000e+02      1.49500000e-17      
2.25000000e+02      9.25900000e-18      
2.30000000e+02      1.31700000e-18      
2.35000000e+02      5.89600000e-19      
2.40000000e+02      2.02700000e-19      
