CO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
9.25000000e+01      2.00000000e-17      
9.75000000e+01      2.00000000e-17      
1.02500000e+02      2.00000000e-17      
1.07500000e+02      4.00000000e-18      
1.12500000e+02      5.00000000e-17      
1.17500000e+02      4.80000000e-20      
1.21600000e+02      4.80000000e-20      
1.27500000e+02      6.30000000e-19      
1.32500000e+02      6.30000000e-19      
1.37500000e+02      8.90000000e-19      
1.42500000e+02      8.90000000e-19      
1.47500000e+02      8.90000000e-19      
1.52500000e+02      5.70000000e-19      
1.57500000e+02      3.00000000e-19      
1.62500000e+02      1.30000000e-19      
1.67500000e+02      4.70000000e-20      
1.72500000e+02      1.30000000e-20      
1.76200000e+02      4.50000000e-21      
1.77800000e+02      2.60000000e-21      
1.79400000e+02      1.70000000e-21      
1.81000000e+02      1.10000000e-21      
1.82650000e+02      6.80000000e-22      
1.84350000e+02      4.50000000e-22      
1.86050000e+02      2.60000000e-22      
1.87800000e+02      1.40000000e-22      
1.89600000e+02      8.20000000e-23      
1.91400000e+02      4.40000000e-23      
1.93250000e+02      2.50000000e-23      
1.95150000e+02      1.40000000e-23      
1.97050000e+02      7.00000000e-24      
1.99000000e+02      3.50000000e-24      
2.01000000e+02      1.40000000e-24      
2.03050000e+02      7.00000000e-25      
2.05150000e+02      4.00000000e-25      
2.07250000e+02      2.00000000e-25      
2.09400000e+02      1.00000000e-25      
2.11650000e+02      5.00000000e-26      
2.13950000e+02      0.00000000e+00      
2.16250000e+02      0.00000000e+00      
2.18700000e+02      0.00000000e+00      
2.21100000e+02      0.00000000e+00      
2.23450000e+02      0.00000000e+00      
2.26000000e+02      0.00000000e+00      
2.28600000e+02      0.00000000e+00      
2.31250000e+02      0.00000000e+00      
2.33950000e+02      0.00000000e+00      
2.36700000e+02      0.00000000e+00      
2.39550000e+02      0.00000000e+00      
2.42450000e+02      0.00000000e+00      
2.45400000e+02      0.00000000e+00      
2.48450000e+02      0.00000000e+00      
2.51600000e+02      0.00000000e+00      
