   alt                        temp                       eddy                       H                          H2                         H2O                        OH                         O                          O2                         CO                         CO2                        HCO                        H2CO                       C                          CH                         CH2                        CH3                        CH4                        S                          S2                         S3                         S4                         H2S                        HS                         SO                         SO2                        CS                         CS2                        OCS                        CN                         HCN                        N                          NH                         NH2                        NH3                        C2                         C2H                        C2H2                       C2H4                       NO                         HNO                        HO2                        HNCO                       N2O                        H2O2                       O3                         NO2                        NO3                        SO3                        HNO2                       HNO3                       H2SO4                      HCl                        Cl                         Cl2                        HOCl                       N2H4                       ClO                        C2H6                       CH3OH                      CH2CO                      CH3CHO                     C3H4                       C3H6                       C4H2                       C4H4                       OClO                       HCS                        C2H3                       C2H5                       NCO                        HCCO                       HSO                        CH3O                       H2COH                      H2CN                       N2H2                       C4H                        HCNOH                      C2H2OH                     CH3CO                      CH2CHO                     C2H3OH                     C2H4OH                     CH3O2                      HSO3                       N2H3                       NH2CO                      HS4                        C4H3                       CH2N2                      CH2CN                      CH3CN                      HCCCN   
   2.50000000000000000E-001   2.77000000000000000E+002   9.92841389999998937E+004   1.44006290296978865E-016   1.20000000000000003E-004   8.19414031623630010E-003   3.97348899247577194E-022   1.01182338300970434E-020   2.34149644351845744E-018   2.00000000000000010E-004   3.00000000000000006E-003   3.96629284888950012E-013   3.09160858121016756E-011   6.91076124691554470E-044   1.34673276687351052E-032   1.06179287180538782E-019   1.31397916275888803E-015   1.19999999999999989E-003   1.17126294335075539E-018   3.73584707200528589E-015   2.99304845286808992E-020   1.34267742919007454E-019   2.35676386911870178E-012   1.74024648263403281E-018   6.12077087014674382E-013   4.75630345410093518E-011   1.69433804041457921E-005   2.45956282028655232E-004   5.01914471919284606E-011   2.57397452370932827E-029   7.84322556532595399E-011   1.33555641637802204E-025   6.52342976220569176E-021   6.53148375020239736E-022   1.66826835776642290E-011   1.14544217575808346E-037   8.82906998101616181E-021   2.52333032118984997E-006   1.05677521943659901E-005   2.02544952973804119E-017   7.56584235886519387E-015   6.12640519919355682E-019   4.47492833038111333E-018   9.38287079337201222E-012   6.66933284416220927E-024   8.52134677780745413E-032   1.36081815857098577E-022   2.28265305239239169E-028   2.40185195616906478E-027   2.44145770795297187E-014   1.32033976178938161E-029   1.02018857466618196E-018   6.98929673989853284E-006   6.33763691658869799E-018   5.60060838068033190E-027   1.01345109667167302E-026   2.57337621946956640E-028   6.56101094956623820E-014   1.53006712667103019E-003   5.46342542995704796E-009   4.13607043399243224E-014   2.83196167497868984E-013   5.67908253241312140E-007   1.63884840236791290E-010   1.39028832377322175E-007   2.38980565709245620E-002   7.76834324891428529E-018   9.23000338046808862E-009   1.46459965833650065E-015   1.94315043284074278E-011   6.67916845193858279E-020   4.32483046919183486E-022   4.08263405097814982E-012   5.45995638945593285E-020   1.32078358702024283E-017   4.98473269118006797E-018   7.45767355482945697E-020   1.77251293374490745E-018   1.32213987144731713E-026   2.24631689761817744E-027   4.23663936045912609E-017   2.43567758255369270E-011   1.30737874752673644E-008   7.45160600923141006E-013   2.01003647795602512E-021   2.61683888818688952E-023   1.33483871537119796E-027   9.44564819021476846E-016   5.11252403969658441E-017   7.28238300616024678E-011   1.53298583552091488E-015   9.11419169822997085E-015   1.97567617368258903E-008   3.72997070710387995E-008
   7.50000000000000000E-001   2.73000000000000000E+002   9.92841389999998937E+004   1.98996184284041331E-016   1.19976491054037159E-004   6.54052123181638433E-003   5.36254991998618205E-022   1.44649711187809211E-020   2.53704212228335997E-018   2.00030184333376194E-004   2.99997024755344066E-003   5.18935736666983050E-013   3.61882865847648190E-011   2.43931139013582440E-043   3.43712921369702052E-032   1.99700243172234841E-019   1.77644927176107560E-015   1.19999543059287834E-003   1.79679611966787855E-018   5.20874399355564023E-015   5.39599378526007860E-020   2.44902281720469283E-019   2.70820218942376418E-012   2.86654616416555779E-018   6.65047494973240532E-013   7.24809723185401423E-011   1.69434005534381761E-005   2.45956250118886134E-004   5.18236859455479315E-011   4.02975243177582974E-029   7.87154128869168968E-011   2.25383522750577846E-025   8.98682020527122450E-021   8.65886967503347930E-022   1.66820389888142677E-011   1.61116593740003900E-037   1.17905760120948865E-020   2.52336047280481982E-006   1.05679985254665270E-005   2.21698609789704566E-017   8.21004981971246434E-015   7.98529284586931254E-019   6.14926256942130879E-018   9.38340700265066936E-012   6.13892189221258443E-024   1.29954913018468128E-031   1.44494222134263640E-022   2.27446997932194093E-028   2.60617901017031499E-027   2.44145882326433933E-014   1.44364900091471419E-029   1.53730635398819604E-018   6.98929657071823586E-006   9.04324578721536539E-018   6.93969175313950094E-027   1.09017290530911469E-026   2.74389983775736440E-028   6.56102876516793092E-014   1.53006684511161227E-003   5.46342523925825961E-009   4.13478504701961478E-014   2.97735964214683102E-013   5.67908235580205827E-007   1.64213907688876254E-010   1.39052647077485209E-007   2.38980550850547771E-002   7.67944227967184809E-018   9.21568141607224896E-009   2.28444814812469679E-015   2.22364913041312076E-011   1.51766313074796138E-019   6.34518944710758412E-022   5.23806295370245404E-012   7.64582690905885856E-020   1.43702560820882414E-017   4.89255627438777264E-018   7.45806915171854829E-020   2.56814492888666982E-018   2.48874079413371046E-026   3.24216938599975685E-027   7.16113254275427679E-017   2.43183401740088620E-011   1.30738722791828377E-008   7.99209740290153346E-013   2.04285990700585593E-021   9.29724516024007699E-023   1.34464137715919811E-027   9.45005774180205806E-016   5.11378642692190773E-017   1.11445725554450849E-010   2.27811287209165654E-015   8.93765600505404890E-015   1.97567612617768784E-008   3.74343148581114074E-008
   1.25000000000000000E+000   2.69000000000000000E+002   9.92841389999998937E+004   2.68386333138368213E-016   1.19952645558608353E-004   5.18119546457459102E-003   6.89325084430392188E-022   1.96965447977913024E-020   2.82518741029333144E-018   2.00061433083116509E-004   2.99993944424045526E-003   6.31998295837709210E-013   4.25467742133563594E-011   8.38805514508241444E-043   8.75983852923138879E-032   3.84498597508205641E-019   2.30565538553600507E-015   1.19999064007624543E-003   2.84920221628134613E-018   6.82163105860034321E-015   8.59257980564661740E-020   3.94134803562974089E-019   2.79156816049415137E-012   4.06833370608531542E-018   7.37232126264983718E-013   9.18799423139968064E-011   1.69434459937789566E-005   2.45956210264889838E-004   5.54213011681207589E-011   5.94687076246093535E-029   7.90124105734169961E-011   3.59495916846538050E-025   1.18490850419438819E-020   1.09014794474389536E-021   1.66808858336862697E-011   2.09611420970068038E-037   1.50382324389075816E-020   2.52342948332980177E-006   1.05685608346895169E-005   2.63094757321288315E-017   9.36200251772131041E-015   9.56891594968327394E-019   7.47810090700062686E-018   9.38465772324850364E-012   5.03098975563732202E-024   1.93961844158748538E-031   1.42884868376747036E-022   2.25183010869144440E-028   2.50253729681402334E-027   2.44146133433630177E-014   1.53908043305371760E-029   2.06280845146377589E-018   6.98929639247791863E-006   1.23856578214982700E-017   8.73453058569498983E-027   1.18016321226374238E-026   3.04992276341631023E-028   6.56106205250209351E-014   1.53006621388488057E-003   5.46342482536136215E-009   4.13286844970166725E-014   3.22710381138411309E-013   5.67908216534680914E-007   1.64977009694601455E-010   1.39106975581792062E-007   2.38980534635495102E-002   7.51600698631030541E-018   9.18569399272382691E-009   3.48890274295799593E-015   2.50823820208234520E-011   3.14438298229861092E-019   8.87804074512033385E-022   5.99071677234745584E-012   1.03204907197909203E-019   1.69037725514529839E-017   4.71235168047122627E-018   7.45898922620144015E-020   3.56381145785084755E-018   4.50535407460865567E-026   4.46609735959287226E-027   1.17214208823933885E-016   2.42340055599881287E-011   1.30740610940574995E-008   8.80593053047635623E-013   2.11515970643486001E-021   2.66783019402702637E-022   1.36709017521986676E-027   9.45657660229670832E-016   5.11661852886296091E-017   1.67414405863274325E-010   3.48258211993270414E-015   8.59283610384629500E-015   1.97567609178190596E-008   3.75754384010710051E-008
   1.75000000000000000E+000   2.65000000000000000E+002   9.92841389999998937E+004   3.51996042232891967E-016   1.19928608757671585E-004   4.07188774324038303E-003   8.59487679647400315E-022   2.60206430307062561E-020   3.19497976429846734E-018   2.00093730988886592E-004   2.99990760610575717E-003   7.30847053573351861E-013   4.89754624691572037E-011   2.67868085608384769E-042   2.13307434172874158E-031   7.27804597403581464E-019   2.90925331349129867E-015   1.19998561374519007E-003   4.52110436648186737E-018   8.49131472591542679E-015   1.23644754244790210E-019   5.72683760880713959E-019   2.70967491619992730E-012   5.38884071620213497E-018   8.27021978871692440E-013   1.06083940951056063E-010   1.69435247006918107E-005   2.45956160152546743E-004   6.12639368053867695E-011   8.39237721182171930E-029   7.93241793692467878E-011   5.49902092497736808E-025   1.51744539368322364E-020   1.32814599948508034E-021   1.66793071976839508E-011   2.55292855128695049E-037   1.86160542657171793E-020   2.52354694936019993E-006   1.05695192992378714E-005   3.28162991801338444E-017   1.09390718674503291E-014   1.09839018353978955E-018   8.53353586050512932E-018   9.38681299640406309E-012   3.80472573813896435E-024   2.85131622110475850E-031   1.34113429623226189E-022   2.21075274005803263E-028   2.23908833870895868E-027   2.44146532566387475E-014   1.59442628820282794E-029   2.58940501408143538E-018   6.98929620409979439E-006   1.65009151921419741E-017   1.10522923835423336E-026   1.25900631889048542E-026   3.45649299260806544E-028   6.56110849181876373E-014   1.53006514461242896E-003   5.46342406554877556E-009   4.12904471393547417E-014   3.54578519277903540E-013   5.67908195878210825E-007   1.66296123055281180E-010   1.39199256004901624E-007   2.38980516853534893E-002   7.29069982403991515E-018   9.13520543539572648E-009   5.19881083374585041E-015   2.78794819340379747E-011   5.75246845274430011E-019   1.20673122884978397E-021   6.55484334966406883E-012   1.30994082647626447E-019   2.05725227110934801E-017   4.45305234674106774E-018   7.46058385488169899E-020   4.81412408742731047E-018   7.99101157539086345E-026   5.97996850425530979E-027   1.88051557899680085E-016   2.40982482105583979E-011   1.30743722533918679E-008   9.72807878802161693E-013   2.23226400053930105E-021   6.89513012925161339E-022   1.40291289645828875E-027   9.46410695848515359E-016   5.12130309590230536E-017   2.45537206812061162E-010   5.09647326831340431E-015   8.09894470477791017E-015   1.97567606817220557E-008   3.77235030102776112E-008
   2.25000000000000000E+000   2.61000000000000000E+002   9.92841389999998937E+004   4.53048026449051691E-016   1.19904537624655443E-004   3.17352592272341543E-003   1.04965181396033822E-021   3.36843115980802324E-020   3.64408091944715478E-018   2.00127061126175875E-004   2.99987475064459599E-003   8.17562071334662527E-013   5.47642476117382451E-011   7.96100124559644690E-042   4.92832607719933574E-031   1.33277789154058929E-018   3.60555399575616070E-015   1.19998033573017349E-003   7.09078118465019827E-018   1.01729893782290520E-014   1.64849270488437432E-019   7.70351207990333069E-019   2.53711487216418239E-012   6.87064775741648317E-018   9.31578844327413966E-013   1.15510487313322226E-010   1.69436460324328618E-005   2.45956097444032852E-004   6.96117148528352702E-011   1.14724190710603275E-028   7.96517231146694346E-011   8.17229798105037260E-025   1.90349794304414831E-020   1.58139992163482823E-021   1.66773604272029352E-011   2.96303329310306284E-037   2.25697638107473189E-020   2.52372293951632287E-006   1.05709592015355423E-005   4.19401896777284354E-017   1.28844022872319049E-014   1.22952325577261688E-018   9.35475057309123926E-018   9.39007720523797452E-012   2.70878807654260762E-024   4.14096155256566779E-031   1.21807031841788555E-022   2.15007016379655391E-028   1.91681560985615801E-027   2.44147081383017637E-014   1.60725825384265099E-029   3.10989998479841300E-018   6.98929600463605700E-006   2.16017316852796010E-017   1.41161034573707682E-026   1.31927351225033457E-026   3.93394704917361375E-028   6.56116610155448843E-014   1.53006354334475972E-003   5.46342279561088848E-009   4.12395066750310315E-014   3.91047561066492658E-013   5.67908173404972697E-007   1.68307129437076447E-010   1.39337242128375364E-007   2.38980497248387040E-002   7.01466569098824414E-018   9.05810824669359999E-009   7.62884541782264543E-015   3.06734160746169808E-011   9.34698450335049091E-019   1.60946287578961071E-021   7.02590078144920354E-012   1.56614711982584365E-019   2.53536326177073138E-017   4.12814203104987022E-018   7.46301947171139979E-020   6.38863893793992304E-018   1.40295390684703451E-025   7.85992662139298387E-027   2.98707216805756683E-016   2.39079466430474373E-011   1.30748221743795223E-008   1.06543227700338029E-012   2.39819127537296121E-021   1.68478966812722192E-021   1.45020806627055576E-027   9.47212197199180576E-016   5.12805942823259358E-017   3.54939441813803756E-010   7.01721149245200217E-015   7.48421058445828929E-015   1.97567605215240643E-008   3.78789676124293226E-008
   2.75000000000000000E+000   2.56750000000000000E+002   9.92841389999998937E+004   5.74672697087888843E-016   1.19880615532434387E-004   2.40205109092441480E-003   1.26116439785071413E-021   4.30923987655258045E-020   4.17429033735903900E-018   2.00161388418502382E-004   2.99984091298229668E-003   8.92344528238532257E-013   5.94415167539630695E-011   2.21157397767784225E-041   1.08483892055492372E-030   2.36493909416109837E-018   4.40822740100826276E-015   1.19997479147430507E-003   1.09357179268993830E-017   1.18634821483509388E-014   2.08769898349436681E-019   9.83562895797160793E-019   2.32340794801773368E-012   8.54430066808297268E-018   1.05056264728224583E-012   1.20647627545468640E-010   1.69438211338933671E-005   2.45956019711636106E-004   8.07205562164102921E-011   1.52014574074814087E-028   7.99959652490690960E-011   1.18746590104570384E-024   2.34036516828557454E-020   1.84351694580383728E-021   1.66750898996977238E-011   3.24162927408934301E-037   2.69247055269441893E-020   2.52396796110843803E-006   1.05729710742591575E-005   5.40887980310181703E-017   1.51541086478535196E-014   1.35123297796101574E-018   9.97991443969698430E-018   9.39466905006975121E-012   1.83384526275697456E-024   5.98580966142602266E-031   1.07250721232261015E-022   2.07135106335329437E-028   1.56848085459775979E-027   2.44147777237227276E-014   1.58177122192524532E-029   3.61747825884607630E-018   6.98929579314958224E-006   2.80081255653096899E-017   1.82063269871201895E-026   1.36101277889551712E-026   4.45527286333005925E-028   6.56123315417296539E-014   1.53006131063767778E-003   5.46342080701483569E-009   4.12034015534320548E-014   4.30648977004733205E-013   5.67908148948429792E-007   1.71161991741649645E-010   1.39528948753346234E-007   2.38980475485266949E-002   6.69795567246966915E-018   8.94668012621973737E-009   1.11687725020953264E-014   3.34295471418554632E-011   1.37119513693971346E-018   2.12864971491650313E-021   7.44082815180119432E-012   1.76286059232291557E-019   3.13123416167411649E-017   3.75376578182530301E-018   7.46648002483106994E-020   8.41850574863766669E-018   2.51798994757419560E-025   1.02367831554205202E-026   4.81382514581116028E-016   2.36623018477434946E-011   1.30754251133880914E-008   1.15234838846077039E-012   2.61624658779447617E-021   4.19269019372237711E-021   1.50521098133992232E-027   9.48035658648059362E-016   5.13702476286967790E-017   5.11861537393296082E-010   9.01484753414261212E-015   6.78162504127212007E-015   1.97567604003993223E-008   3.80422517404543398E-008
   3.25000000000000000E+000   2.52250000000000000E+002   9.92841389999998937E+004   7.18172466922655918E-016   1.19857049176901010E-004   1.76136265038717558E-003   1.49660665582385280E-021   5.47112579141485756E-020   4.78594097205376129E-018   2.00196657103806648E-004   2.99980614837795862E-003   9.53375528425035802E-013   6.27218243240760618E-011   5.66956458363016957E-041   2.24761312140318760E-030   4.01919047446822115E-018   5.33956001079270377E-015   1.19996896806835013E-003   1.65710247333059057E-017   1.35358909750526823E-014   2.53712748110536607E-019   1.20419649061792673E-018   2.09918577578896718E-012   1.04323771789507349E-017   1.18663678648888605E-012   1.22041659493239586E-010   1.69440649726174410E-005   2.45955924418553220E-004   9.48393573915891399E-011   1.95874370963709489E-028   8.03577275182128281E-011   1.69386614932566697E-024   2.82939557571275506E-020   2.11123781524315392E-021   1.66725358578061010E-011   3.34610023739035250E-037   3.17219753101386328E-020   2.52429266435307021E-006   1.05756468141170386E-005   7.00131940865118605E-017   1.77082548474038285E-014   1.45833959845046743E-018   1.04590893855318790E-017   9.40082206670873080E-012   1.19293054785588272E-024   8.61984522568938937E-031   9.20357361866171300E-023   1.97883219962492129E-028   1.25758100928022658E-027   2.44148613874019219E-014   1.52801908993363194E-029   4.10604959032122413E-018   6.98929556864808794E-006   3.61207604623442220E-017   2.37396573238190863E-026   1.38492223947328196E-026   5.00123656266879823E-028   6.56130805100281212E-014   1.53005834565892048E-003   5.46341784358964874E-009   4.12639890305047783E-014   4.72256315934859053E-013   5.67908122395289337E-007   1.75028919086770928E-010   1.39782302140421715E-007   2.38980451179129048E-002   6.35016626665778431E-018   8.78957019147859041E-009   1.63234012179315845E-014   3.61012352219000839E-011   1.84428564420377312E-018   2.80470218292996999E-021   7.80958485153746492E-012   1.87089607887887240E-019   3.85682666170676425E-017   3.34887901435355701E-018   7.47116605560201850E-020   1.10646400404891497E-017   4.65154006992561057E-025   1.32704238403456970E-026   7.90961193797108427E-016   2.33641013068321626E-011   1.30761917007082343E-008   1.23054385317635470E-012   2.88843128588153903E-021   1.09614319783745542E-020   1.56330495985885638E-027   9.48866101963410980E-016   5.14821741777503876E-017   7.36861089228106871E-010   1.06992227890161396E-014   6.03084267861521020E-015   1.97567602745439741E-008   3.82137253660827452E-008
   3.75000000000000000E+000   2.48000000000000000E+002   9.92841389999998937E+004   8.86619445121715518E-016   1.19834023582757808E-004   1.30397085873499240E-003   1.76265143870235738E-021   6.87644265074750778E-020   5.45919598977119947E-018   2.00232841112464078E-004   2.99977048273949607E-003   1.00601348669645933E-012   6.45435118219331808E-011   1.31611301590875892E-040   4.25507911529980730E-030   6.31254904323947465E-018   6.46245017253991507E-015   1.19996284569647243E-003   2.47249443744446741E-017   1.51294384620446086E-014   2.95124820549131985E-019   1.41017494784264384E-018   1.88171118553280572E-012   1.25650051608269398E-017   1.33722429891525127E-012   1.20277672271471084E-010   1.69443966126199764E-005   2.45955808846166164E-004   1.12214179221551921E-010   2.49678003238372594E-028   8.07382548933931093E-011   2.38644423693773581E-024   3.40187515714803087E-020   2.40023012874122680E-021   1.66697301564022358E-011   3.41242685063253898E-037   3.70691286832437474E-020   2.52470795532644173E-006   1.05790778458041045E-005   9.08937494862067687E-017   2.05150437028804150E-014   1.55161587635786770E-018   1.08458959366349780E-017   9.40879490863412773E-012   7.58016270492953283E-025   1.21811867736461828E-030   7.92241478974368333E-023   1.87879979354339849E-028   1.05438025031701586E-027   2.44149583957581282E-014   1.46047132386374112E-029   4.57118882281572852E-018   6.98929532998104080E-006   4.63450896076077670E-017   3.12914455302166221E-026   1.38925083898410133E-026   5.56734631197820465E-028   6.56138942520462375E-014   1.53005454780597233E-003   5.46341359805526795E-009   4.15990461521673327E-014   5.15133392494388790E-013   5.67908093666844289E-007   1.80096287876104248E-010   1.40105052538676373E-007   2.38980423979091861E-002   5.97993654362612961E-018   8.57164688766047418E-009   2.34702554372396413E-014   3.88015439699742200E-011   2.31000621154587476E-018   3.65770210201459048E-021   8.13508237957399805E-012   1.90244719065887188E-019   4.71676130559442465E-017   2.93341258017159964E-018   7.47729783641032616E-020   1.43972518353315553E-017   8.41440472004461670E-025   1.70405237481769206E-026   1.27963844029363721E-015   2.30198001186067681E-011   1.30771290123790110E-008   1.29966427454588388E-012   3.21480314009393888E-021   2.90639430667837008E-020   1.61956966674293369E-027   9.49695490174621711E-016   5.16152234208741322E-017   1.04606309709197166E-009   1.16704023777808609E-014   5.27414174637882456E-015   1.97567600969982219E-008   3.83939575982859950E-008
   4.25000000000000000E+000   2.44000000000000000E+002   9.92841389999998937E+004   1.08179668133475261E-015   1.19811711997206034E-004   9.76129675033324978E-004   2.06296023299056816E-021   8.56700657279864509E-020   6.17993252916563141E-018   2.00269948873489428E-004   2.99973390814688287E-003   1.05138456923764268E-012   6.48605371782606686E-011   2.77295248079646660E-040   7.37269136401313563E-030   9.17212769513824679E-018   7.84430153858906528E-015   1.19995639640219868E-003   3.63268350297671360E-017   1.66541060420551620E-014   3.32053193527164232E-019   1.59617373847525287E-018   1.67855296074176485E-012   1.49618379297556680E-017   1.50265134015177931E-012   1.15936460735226538E-010   1.69448355915384419E-005   2.45955670054643402E-004   1.33097475384444656E-010   3.15512168853506307E-028   8.11392909891105177E-011   3.32617799506661623E-024   4.07380290453198846E-020   2.71338648720584904E-021   1.66666902010909168E-011   3.45056915563365571E-037   4.30331275948465584E-020   2.52522558548825852E-006   1.05833616418552799E-005   1.18458117809944633E-016   2.35568426848555650E-014   1.62769436345895019E-018   1.11822237056586362E-017   9.41887734260947205E-012   4.76767024234504237E-025   1.68704106346066082E-030   6.89724673144130129E-023   1.77818079694888549E-028   9.41016391949310452E-028   2.44150682547332992E-014   1.39195341875853370E-029   5.01027702942227681E-018   6.98929507583276401E-006   5.93120626604355675E-017   4.16178411967507857E-026   1.37471514258953062E-026   6.14359243947893152E-028   6.56147625251148526E-014   1.53004980991574570E-003   5.46340771061954400E-009   4.24736012530962739E-014   5.58845334776917406E-013   5.67908062682734620E-007   1.86581592524566904E-010   1.40505179028655933E-007   2.38980393431017443E-002   5.59435228281267770E-018   8.27768433956320169E-009   3.31937659353756174E-014   4.15266418332160881E-011   2.73569374577251403E-018   4.72651760741831450E-021   8.41805441522020867E-012   1.86350683041157145E-019   5.72417816718551838E-017   2.52365521481023023E-018   7.48512165660418099E-020   1.85683416491067141E-017   1.48999118938401510E-024   2.16941508182985176E-026   2.03548400962864902E-015   2.26366712009082958E-011   1.30782431290386232E-008   1.36163077657602481E-012   3.59767563160869576E-021   7.84124997350418401E-020   1.66889159474291965E-027   9.50519625145440096E-016   5.17673609912432154E-017   1.46442447215872432E-009   1.17601333292747732E-014   4.54327934819532691E-015   1.97567598307792507E-008   3.85837520510431222E-008
   4.75000000000000000E+000   2.40000000000000000E+002   9.92841389999998937E+004   1.30013819093334412E-015   1.19790311831946417E-004   7.22865721289225448E-004   2.39876269666581999E-021   1.06202446690567451E-019   6.95208399214361126E-018   2.00307970503232945E-004   2.99969643478495245E-003   1.08363709808994763E-012   6.35428863193511892E-011   5.35155488856173898E-040   1.18890254195308498E-029   1.26023049530913926E-017   9.56048316502860382E-015   1.19994959282210224E-003   5.25213122853300540E-017   1.81418248033169189E-014   3.65804562094391592E-019   1.76775343680537239E-018   1.49154853660440695E-012   1.76251074806219513E-017   1.69156124723911207E-012   1.09572618903965878E-010   1.69454004353730769E-005   2.45955504985244172E-004   1.57722351684143448E-010   3.92410729654895086E-028   8.15625418845207990E-011   4.58047993324310728E-024   4.84036676637442089E-020   3.04036448821526186E-021   1.66634256571919595E-011   3.37797831493984551E-037   4.96400023793097182E-020   2.52585759285257989E-006   1.05885960795111941E-005   1.55628563599798580E-016   2.68228424477634821E-014   1.67442566158410119E-018   1.14995381395464846E-017   9.43138239448392500E-012   2.99600776825662813E-025   2.30934233548829271E-030   6.04460479060327608E-023   1.68401024820259373E-028   8.98976555705358911E-028   2.44151906065256465E-014   1.33317684764381867E-029   5.42169131567680826E-018   6.98929480478405980E-006   7.60357637238480753E-017   5.59082866927023095E-026   1.34435485472665553E-026   6.70663000797633825E-028   6.56156768877059951E-014   1.53004402442616524E-003   5.46339977251578503E-009   4.42948239188680878E-014   6.02873921794525562E-013   5.67908029349254559E-007   1.94728104112594662E-010   1.40990253927964442E-007   2.38980358929732871E-002   5.19965007966545034E-018   7.89370861740459394E-009   4.64403542117310509E-014   4.41403112263235957E-011   3.09857622609674985E-018   6.08837187029436081E-021   8.65692525647837479E-012   1.74783801633402086E-019   6.91578867517349462E-017   2.13218716241497404E-018   7.49490154328502298E-020   2.38917443128176835E-017   2.65841375107451689E-024   2.75175460715146949E-026   3.23143724823648292E-015   2.22227469467485528E-011   1.30795379581042370E-008   1.41994855161400082E-012   4.04428481276894612E-021   1.99448583727114854E-019   1.70589147964914022E-027   9.51335282168766826E-016   5.19356130685070394E-017   2.03130073704867561E-009   1.10532353333933946E-014   3.85968274737233029E-015   1.97567594487638908E-008   3.87838925959877511E-008
