C2 + hv => C + C
wavelength (nm)   quantum yield
6.0000e-02        0.0000e+00     
1.2000e-01        2.6125e-06     
2.4000e-01        7.8507e-06     
6.2000e-01        2.4455e-05     
1.2600e+00        5.2333e-05     
2.4600e+00        1.0464e-04     
4.0800e+00        1.7545e-04     
4.2500e+00        1.8289e-04     
6.2000e+00        2.6778e-04     
1.2200e+01        5.2899e-04     
2.4800e+01        1.0780e-03     
2.6100e+01        1.1360e-03     
2.7600e+01        1.2010e-03     
2.9200e+01        1.2703e-03     
3.1000e+01        1.3494e-03     
3.3100e+01        1.4440e-03     
3.5400e+01        1.5414e-03     
3.8100e+01        1.6628e-03     
4.1300e+01        1.8000e-03     
4.5100e+01        1.9669e-03     
4.9600e+01        2.1603e-03     
5.5100e+01        2.4000e-03     
6.2000e+01        2.7016e-03     
7.0800e+01        3.0769e-03     
8.2700e+01        3.5986e-03     
8.5500e+01        3.7276e-03     
9.1800e+01        4.0000e-03     
9.5400e+01        2.6052e-01     
9.7200e+01        5.5000e-01     
9.9200e+01        8.7143e-01     
1.0160e+02        1.0000e+00     
1.0330e+02        1.0000e+00     
1.0550e+02        1.0000e+00     
1.0780e+02        1.0000e+00     
1.0970e+02        1.0000e+00     
1.1270e+02        1.0000e+00     
1.1530e+02        1.0000e+00     
1.1700e+02        1.0000e+00     
1.1780e+02        1.0000e+00     
1.1800e+02        1.0000e+00     
1.1920e+02        1.0000e+00     
1.2100e+02        1.0000e+00     
1.4360e+02        1.0000e+00     
