C2
wavelength (nm)   cross section (cm2/molecule)
6.0000e-02        7.0000e-24     
1.2000e-01        8.0000e-23     
2.4000e-01        6.7000e-22     
6.2000e-01        1.1000e-20     
1.2600e+00        9.0000e-20     
2.4600e+00        5.6000e-19     
4.0800e+00        2.2000e-18     
4.2500e+00        7.6000e-20     
6.2000e+00        1.8000e-19     
1.2200e+01        6.9000e-19     
2.4800e+01        4.8700e-18     
2.6100e+01        5.4400e-18     
2.7600e+01        6.0700e-18     
2.9200e+01        6.6600e-18     
3.1000e+01        7.0700e-18     
3.3100e+01        7.4100e-18     
3.5400e+01        7.8500e-18     
3.8100e+01        8.6600e-18     
4.1300e+01        1.0000e-17     
4.5100e+01        1.2100e-17     
4.9600e+01        1.5600e-17     
5.5100e+01        2.1500e-17     
6.2000e+01        3.1500e-17     
7.0800e+01        4.5500e-17     
8.2700e+01        5.5300e-17     
8.5500e+01        5.5800e-17     
9.1800e+01        5.0000e-17     
9.5400e+01        4.9900e-17     
9.7200e+01        4.0000e-18     
9.9200e+01        7.0000e-18     
1.0160e+02        7.7000e-18     
1.0330e+02        7.0000e-18     
1.0550e+02        4.0000e-18     
1.0780e+02        4.0000e-19     
1.0970e+02        4.0000e-20     
1.1270e+02        4.0000e-19     
1.1530e+02        1.0000e-18     
1.1700e+02        5.0000e-18     
1.1780e+02        1.6000e-18     
1.1800e+02        1.0000e-17     
1.1920e+02        2.0000e-19     
1.2100e+02        2.0000e-20     
1.4360e+02        1.0000e-35     
