C2H2 + hv => C2 + H2 (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
5.00000000e-01      0.00000000e+00      
1.00000000e+00      0.00000000e+00      
1.50000000e+00      0.00000000e+00      
2.00000000e+00      0.00000000e+00      
2.50000000e+00      0.00000000e+00      
3.00000000e+00      0.00000000e+00      
3.50000000e+00      0.00000000e+00      
4.10000000e+00      0.00000000e+00      
4.30000000e+00      0.00000000e+00      
5.00000000e+00      0.00000000e+00      
6.00000000e+00      0.00000000e+00      
7.00000000e+00      0.00000000e+00      
8.00000000e+00      0.00000000e+00      
9.00000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.20000000e+01      0.00000000e+00      
1.50000000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
3.00000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
5.00000000e+01      0.00000000e+00      
6.00000000e+01      0.00000000e+00      
6.20000000e+01      0.00000000e+00      
6.40000000e+01      0.00000000e+00      
6.60000000e+01      0.00000000e+00      
6.80000000e+01      0.00000000e+00      
6.97000000e+01      0.00000000e+00      
7.00000000e+01      1.30460000e-03      
7.20000000e+01      1.00000000e-02      
7.40000000e+01      4.00000000e-02      
7.60000000e+01      8.00000000e-02      
7.80000000e+01      8.98970000e-02      
8.00000000e+01      7.01030000e-02      
8.20000000e+01      6.00000000e-02      
8.40000000e+01      6.00000000e-02      
8.60000000e+01      9.00000000e-02      
8.80000000e+01      1.00000000e-01      
9.00000000e+01      1.10000000e-01      
9.20000000e+01      1.00000000e-01      
9.40000000e+01      7.00000000e-02      
9.60000000e+01      6.00000000e-02      
9.80000000e+01      6.00000000e-02      
1.00000000e+02      7.00000000e-02      
1.05000000e+02      4.97820000e-03      
1.06000000e+02      2.20170000e-02      
1.07500000e+02      7.18250000e-02      
1.08500000e+02      7.41070000e-02      
1.08600000e+02      1.00000000e-01      
1.08700000e+02      1.00000000e-01      
1.09100000e+02      1.00000000e-01      
1.09400000e+02      1.00000000e-01      
1.10000000e+02      1.00000000e-01      
1.10100000e+02      1.00000000e-01      
1.10200000e+02      1.00000000e-01      
1.10600000e+02      1.00000000e-01      
1.11100000e+02      1.00000000e-01      
1.11400000e+02      1.00000000e-01      
1.11600000e+02      1.00000000e-01      
1.12000000e+02      1.00000000e-01      
1.12200000e+02      1.00000000e-01      
1.12600000e+02      1.00000000e-01      
1.12900000e+02      1.00000000e-01      
1.13200000e+02      1.00000000e-01      
1.13600000e+02      1.00000000e-01      
1.14200000e+02      1.00000000e-01      
1.14500000e+02      1.00000000e-01      
1.14900000e+02      1.00000000e-01      
1.15200000e+02      1.00000000e-01      
1.15600000e+02      1.00000000e-01      
1.15900000e+02      1.00000000e-01      
1.16200000e+02      1.00000000e-01      
1.16500000e+02      1.00000000e-01      
1.16700000e+02      1.00000000e-01      
1.16900000e+02      1.00000000e-01      
1.17100000e+02      1.00000000e-01      
1.17400000e+02      1.00000000e-01      
1.17700000e+02      1.00000000e-01      
1.17900000e+02      1.00000000e-01      
1.18400000e+02      1.00000000e-01      
1.19200000e+02      1.00000000e-01      
1.19800000e+02      1.00000000e-01      
1.20400000e+02      1.00000000e-01      
1.21100000e+02      1.00000000e-01      
1.21600000e+02      1.00000000e-01      
1.21900000e+02      1.00000000e-01      
1.22100000e+02      1.00000000e-01      
1.22400000e+02      1.00000000e-01      
1.23100000e+02      1.00000000e-01      
1.23600000e+02      1.00000000e-01      
1.24400000e+02      1.00000000e-01      
1.24700000e+02      1.00000000e-01      
1.24900000e+02      1.00000000e-01      
1.25200000e+02      1.00000000e-01      
1.25600000e+02      1.00000000e-01      
1.25800000e+02      1.00000000e-01      
1.26300000e+02      1.00000000e-01      
1.26600000e+02      1.00000000e-01      
1.27000000e+02      1.00000000e-01      
1.27600000e+02      1.00000000e-01      
1.28400000e+02      1.00000000e-01      
1.28700000e+02      1.00000000e-01      
1.28900000e+02      1.00000000e-01      
1.29400000e+02      1.00000000e-01      
1.29800000e+02      1.00000000e-01      
1.30100000e+02      1.00000000e-01      
1.30800000e+02      1.00000000e-01      
1.31000000e+02      1.00000000e-01      
1.31800000e+02      1.00000000e-01      
1.32000000e+02      1.00000000e-01      
1.32400000e+02      1.00000000e-01      
1.32800000e+02      1.00000000e-01      
1.33000000e+02      1.00000000e-01      
1.33300000e+02      1.00000000e-01      
1.33800000e+02      1.00000000e-01      
1.34000000e+02      1.00000000e-01      
1.34800000e+02      1.00000000e-01      
1.35200000e+02      1.00000000e-01      
1.35900000e+02      1.00000000e-01      
1.36200000e+02      1.00000000e-01      
1.36600000e+02      1.00000000e-01      
1.37400000e+02      1.00000000e-01      
1.37800000e+02      1.00000000e-01      
1.38800000e+02      1.00000000e-01      
1.39700000e+02      1.00000000e-01      
1.40200000e+02      1.00000000e-01      
1.40900000e+02      1.00000000e-01      
1.42800000e+02      1.00000000e-01      
1.43800000e+02      1.00000000e-01      
1.44400000e+02      1.00000000e-01      
1.46100000e+02      1.00000000e-01      
1.47800000e+02      1.00000000e-01      
1.48800000e+02      1.00000000e-01      
1.50400000e+02      1.00000000e-01      
1.52000000e+02      1.00000000e-01      
1.52900000e+02      1.00000000e-01      
1.55000000e+02      1.00000000e-01      
1.55100000e+02      1.00000000e-01      
1.56300000e+02      1.00000000e-01      
1.57600000e+02      1.00000000e-01      
1.58200000e+02      1.00000000e-01      
1.59100000e+02      1.00000000e-01      
1.59800000e+02      1.00000000e-01      
1.60800000e+02      1.00000000e-01      
1.61600000e+02      1.00000000e-01      
1.63000000e+02      1.00000000e-01      
1.63800000e+02      1.00000000e-01      
1.65000000e+02      1.00000000e-01      
1.65700000e+02      1.00000000e-01      
1.66800000e+02      1.00000000e-01      
1.67800000e+02      1.00000000e-01      
1.68600000e+02      1.00000000e-01      
1.69400000e+02      1.00000000e-01      
1.70000000e+02      1.00000000e-01      
1.70700000e+02      1.00000000e-01      
1.71400000e+02      1.00000000e-01      
1.72000000e+02      1.00000000e-01      
1.72800000e+02      1.00000000e-01      
1.74100000e+02      1.00000000e-01      
1.74900000e+02      1.00000000e-01      
1.75500000e+02      1.00000000e-01      
1.76500000e+02      1.00000000e-01      
