C2H2
wavelength (nm)   cross section (cm2/molecule)
1.0000e-01        4.0000e-23     
5.0000e-01        6.0000e-21     
1.0000e+00        4.6000e-20     
1.5000e+00        1.4800e-19     
2.0000e+00        3.4000e-19     
2.5000e+00        6.0000e-19     
3.0000e+00        9.6000e-19     
3.5000e+00        1.4400e-18     
4.1000e+00        2.0000e-18     
4.3000e+00        8.7000e-20     
5.0000e+00        1.3500e-19     
6.0000e+00        2.0000e-19     
7.0000e+00        2.8000e-19     
8.0000e+00        4.0000e-19     
9.0000e+00        5.0000e-19     
1.0000e+01        6.6000e-19     
1.2000e+01        9.0000e-19     
1.5000e+01        1.5000e-18     
2.0000e+01        2.4900e-18     
2.5000e+01        4.0000e-18     
3.0000e+01        5.4000e-18     
4.0000e+01        9.2400e-18     
5.0000e+01        1.8800e-17     
6.0000e+01        2.4000e-17     
6.2000e+01        2.7000e-17     
6.4000e+01        2.9000e-17     
6.6000e+01        3.1000e-17     
6.8000e+01        3.2000e-17     
6.9700e+01        3.2400e-17     
7.0000e+01        3.2500e-17     
7.2000e+01        3.3500e-17     
7.4000e+01        3.7000e-17     
7.6000e+01        4.4500e-17     
7.8000e+01        4.8500e-17     
8.0000e+01        4.8500e-17     
8.2000e+01        4.6500e-17     
8.4000e+01        3.6000e-17     
8.6000e+01        3.2000e-17     
8.8000e+01        3.2500e-17     
9.0000e+01        3.6000e-17     
9.2000e+01        3.9000e-17     
9.4000e+01        3.7000e-17     
9.6000e+01        3.2500e-17     
9.8000e+01        3.0000e-17     
1.0000e+02        2.8000e-17     
1.0500e+02        2.2900e-17     
1.0600e+02        2.3800e-17     
1.0750e+02        2.5200e-17     
1.0850e+02        2.2400e-17     
1.0860e+02        2.8800e-17     
1.0870e+02        3.5100e-17     
1.0910e+02        2.1700e-17     
1.0940e+02        2.7600e-17     
1.1000e+02        2.0400e-17     
1.1010e+02        1.6600e-17     
1.1020e+02        4.2700e-17     
1.1060e+02        2.9200e-17     
1.1110e+02        2.1500e-17     
1.1140e+02        1.0600e-17     
1.1160e+02        1.8600e-17     
1.1200e+02        5.0800e-17     
1.1220e+02        7.9600e-18     
1.1260e+02        4.3700e-17     
1.1290e+02        1.1800e-17     
1.1320e+02        9.2400e-17     
1.1360e+02        5.7700e-18     
1.1420e+02        3.5500e-17     
1.1450e+02        4.5200e-18     
1.1490e+02        1.7800e-17     
1.1520e+02        1.5000e-17     
1.1560e+02        1.0600e-16     
1.1590e+02        1.1400e-17     
1.1620e+02        8.8200e-18     
1.1650e+02        3.0300e-18     
1.1670e+02        1.1000e-17     
1.1690e+02        9.3400e-18     
1.1710e+02        7.3400e-17     
1.1740e+02        1.7600e-17     
1.1770e+02        1.5800e-17     
1.1790e+02        1.1000e-16     
1.1840e+02        4.9700e-18     
1.1920e+02        2.4600e-17     
1.1980e+02        9.4500e-18     
1.2040e+02        1.8200e-16     
1.2110e+02        3.1300e-18     
1.2160e+02        6.1800e-17     
1.2190e+02        1.7000e-17     
1.2210e+02        5.4400e-17     
1.2240e+02        4.7500e-18     
1.2310e+02        9.2500e-18     
1.2360e+02        4.2800e-18     
1.2440e+02        1.2800e-16     
1.2470e+02        3.2000e-17     
1.2490e+02        1.6200e-16     
1.2520e+02        1.4300e-17     
1.2560e+02        3.1000e-17     
1.2580e+02        1.8000e-17     
1.2630e+02        1.7400e-17     
1.2660e+02        1.2600e-17     
1.2700e+02        2.6400e-17     
1.2760e+02        2.9900e-17     
1.2840e+02        8.7200e-17     
1.2870e+02        3.2000e-17     
1.2890e+02        5.1400e-17     
1.2940e+02        3.1300e-17     
1.2980e+02        4.7900e-17     
1.3010e+02        3.8500e-17     
1.3080e+02        2.9200e-16     
1.3100e+02        1.4300e-16     
1.3180e+02        3.1700e-17     
1.3200e+02        9.2400e-17     
1.3240e+02        6.3900e-17     
1.3280e+02        3.8100e-17     
1.3300e+02        7.4300e-17     
1.3330e+02        4.3200e-17     
1.3380e+02        3.9000e-16     
1.3400e+02        1.2000e-16     
1.3480e+02        1.3400e-17     
1.3520e+02        4.1300e-17     
1.3590e+02        6.1400e-18     
1.3620e+02        2.0900e-17     
1.3660e+02        5.6900e-18     
1.3740e+02        3.9800e-18     
1.3780e+02        4.2800e-18     
1.3880e+02        2.8200e-18     
1.3970e+02        2.8200e-18     
1.4020e+02        6.4800e-18     
1.4090e+02        2.7300e-18     
1.4280e+02        3.3200e-18     
1.4380e+02        2.0200e-17     
1.4440e+02        7.0200e-18     
1.4610e+02        5.9000e-18     
1.4780e+02        6.1100e-17     
1.4880e+02        1.4100e-17     
1.5040e+02        9.6800e-18     
1.5200e+02        4.2200e-16     
1.5290e+02        3.5100e-18     
1.5500e+02        5.3800e-19     
1.5510e+02        5.5800e-19     
1.5630e+02        4.9500e-19     
1.5760e+02        6.1800e-19     
1.5820e+02        5.3200e-19     
1.5910e+02        7.1400e-19     
1.5980e+02        5.6200e-19     
1.6080e+02        8.5600e-19     
1.6160e+02        7.2600e-19     
1.6300e+02        9.9700e-19     
1.6380e+02        7.5200e-19     
1.6500e+02        1.1700e-18     
1.6570e+02        8.9700e-19     
1.6680e+02        1.4700e-18     
1.6780e+02        9.3800e-19     
1.6860e+02        1.7600e-18     
1.6940e+02        9.0100e-19     
1.7000e+02        9.7900e-19     
1.7070e+02        1.7200e-18     
1.7140e+02        1.1800e-18     
1.7200e+02        8.8600e-19     
1.7280e+02        1.6800e-18     
1.7410e+02        8.2300e-19     
1.7490e+02        1.4200e-18     
1.7550e+02        1.6400e-18     
1.7650e+02        8.0000e-19     
1.7710e+02        1.2100e-18     
1.7760e+02        1.4800e-18     
1.7850e+02        7.0300e-19     
1.7890e+02        7.8500e-19     
1.7930e+02        7.1100e-19     
1.8020e+02        1.1400e-18     
1.8110e+02        4.3200e-19     
1.8240e+02        8.2300e-19     
1.8280e+02        4.0600e-19     
1.8360e+02        5.5100e-19     
1.8380e+02        3.2300e-19     
1.8440e+02        3.6400e-19     
1.8460e+02        7.3700e-19     
1.8510e+02        2.6700e-19     
1.8580e+02        2.7500e-19     
1.8630e+02        4.9900e-19     
1.8680e+02        2.1500e-19     
1.8740e+02        2.0700e-19     
1.8800e+02        2.8200e-19     
1.8850e+02        1.2200e-19     
1.8900e+02        1.6800e-19     
1.8930e+02        3.3800e-19     
1.9000e+02        9.6400e-20     
1.9070e+02        1.1800e-19     
1.9110e+02        3.0700e-19     
1.9180e+02        8.6000e-20     
1.9240e+02        1.0400e-19     
1.9270e+02        2.0400e-19     
1.9360e+02        8.3000e-20     
1.9460e+02        3.0000e-19     
1.9510e+02        9.1200e-20     
1.9580e+02        7.4800e-20     
1.9630e+02        2.0800e-19     
1.9710e+02        6.8100e-20     
1.9740e+02        1.1200e-19     
1.9780e+02        6.3300e-20     
1.9810e+02        1.1900e-19     
1.9900e+02        5.8100e-20     
2.0000e+02        1.4400e-19     
2.0110e+02        3.7200e-20     
2.3060e+02        1.0000e-28     
