C2H4 + hv => C2H2 + H + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      1.65500000e-04      
1.00000000e+00      1.65430000e-03      
4.10000000e+00      6.78460000e-03      
4.30000000e+00      7.11490000e-03      
5.00000000e+00      8.28570000e-03      
1.00000000e+01      1.66180000e-02      
1.80000000e+01      2.97780000e-02      
2.00000000e+01      3.30000000e-02      
2.50000000e+01      4.13330000e-02      
3.00000000e+01      4.96670000e-02      
3.50000000e+01      5.77140000e-02      
4.00000000e+01      6.61220000e-02      
4.50000000e+01      7.43750000e-02      
5.00000000e+01      8.26320000e-02      
5.50000000e+01      9.10190000e-02      
5.64000000e+01      8.44710000e-02      
6.20000000e+01      7.15150000e-02      
6.89000000e+01      5.19640000e-02      
7.06000000e+01      4.55650000e-02      
7.75000000e+01      9.09260000e-02      
8.38000000e+01      1.74790000e-01      
8.82000000e+01      1.74950000e-01      
8.86000000e+01      1.81700000e-01      
8.98000000e+01      2.02010000e-01      
9.18000000e+01      2.46340000e-01      
9.45000000e+01      3.03570000e-01      
9.64000000e+01      3.44740000e-01      
1.01600000e+02      5.65770000e-01      
1.03300000e+02      5.85320000e-01      
1.06500000e+02      5.25000000e-01      
1.06600000e+02      5.24790000e-01      
1.08500000e+02      5.28210000e-01      
1.09600000e+02      5.25860000e-01      
1.10500000e+02      5.48390000e-01      
1.11500000e+02      5.57380000e-01      
1.12300000e+02      5.65120000e-01      
1.12700000e+02      5.51850000e-01      
1.14900000e+02      5.97890000e-01      
1.15000000e+02      5.98030000e-01      
1.17800000e+02      6.48040000e-01      
1.18000000e+02      4.89840000e-01      
1.18600000e+02      4.88040000e-01      
1.19100000e+02      4.89800000e-01      
1.20100000e+02      4.88690000e-01      
1.20300000e+02      4.87800000e-01      
1.20800000e+02      4.89880000e-01      
1.21300000e+02      4.90480000e-01      
1.22200000e+02      4.89360000e-01      
1.22400000e+02      4.89210000e-01      
1.22600000e+02      4.89730000e-01      
1.22800000e+02      4.88520000e-01      
1.23100000e+02      4.89540000e-01      
1.24100000e+02      4.88520000e-01      
1.24400000e+02      4.88970000e-01      
1.24800000e+02      4.91380000e-01      
1.25100000e+02      4.88640000e-01      
1.25400000e+02      4.88190000e-01      
1.25600000e+02      4.88890000e-01      
1.26300000e+02      4.90770000e-01      
1.26400000e+02      4.89290000e-01      
1.27100000e+02      4.91040000e-01      
1.27300000e+02      4.90120000e-01      
1.27600000e+02      4.91470000e-01      
1.28000000e+02      4.89360000e-01      
1.28400000e+02      4.89360000e-01      
1.29400000e+02      4.90000000e-01      
1.29800000e+02      4.90140000e-01      
1.30200000e+02      4.90120000e-01      
1.31200000e+02      4.90000000e-01      
1.31700000e+02      4.89740000e-01      
1.32300000e+02      4.90000000e-01      
1.33000000e+02      4.89760000e-01      
1.33500000e+02      4.87800000e-01      
1.33800000e+02      4.89740000e-01      
