C2H6 + hv => 1CH2 + CH4
wavelength (nm)   quantum yield
6.0000e-02        1.5190e-06     
1.2000e-01        9.7125e-05     
2.4000e-01        2.7910e-04     
6.2000e-01        8.4182e-04     
1.2600e+00        1.8111e-03     
2.4600e+00        3.6491e-03     
4.0800e+00        6.0909e-03     
4.2500e+00        6.3667e-03     
6.2100e+00        9.3226e-03     
1.2170e+01        1.8364e-02     
2.4860e+01        3.7708e-02     
3.5400e+01        5.3600e-02     
3.6500e+01        5.5273e-02     
3.7600e+01        5.7000e-02     
3.8700e+01        5.8615e-02     
4.0000e+01        6.0571e-02     
4.1300e+01        6.2600e-02     
4.2800e+01        6.5000e-02     
4.4200e+01        6.7000e-02     
4.5900e+01        6.9600e-02     
4.7700e+01        7.2333e-02     
4.9600e+01        7.5143e-02     
5.1700e+01        7.8421e-02     
5.3900e+01        8.1667e-02     
5.6400e+01        8.5532e-02     
5.9000e+01        8.9423e-02     
6.2000e+01        9.4000e-02     
6.5300e+01        9.9032e-02     
6.8900e+01        1.0448e-01     
7.2900e+01        1.1056e-01     
7.7500e+01        1.1750e-01     
8.2700e+01        1.2547e-01     
8.8600e+01        1.3432e-01     
9.5400e+01        1.4462e-01     
1.0330e+02        1.5660e-01     
1.0640e+02        1.6500e-01     
1.1270e+02        1.9976e-01     
1.1600e+02        2.1796e-01     
1.1800e+02        2.2908e-01     
1.2000e+02        2.4016e-01     
1.2200e+02        2.5112e-01     
1.2400e+02        2.5595e-01     
1.2600e+02        2.3532e-01     
1.2800e+02        2.1475e-01     
1.3000e+02        1.9417e-01     
1.3200e+02        1.7377e-01     
1.3400e+02        1.5352e-01     
1.3600e+02        1.3241e-01     
1.3800e+02        1.1250e-01     
1.3960e+02        9.5873e-02     
1.4000e+02        9.1750e-02     
1.4090e+02        8.2500e-02     
1.4170e+02        7.4286e-02     
1.4200e+02        7.1343e-02     
1.4270e+02        6.4062e-02     
1.4400e+02        5.0741e-02     
1.4500e+02        4.0500e-02     
1.4600e+02        3.0250e-02     
1.4700e+02        2.0000e-02     
1.4800e+02        1.9867e-02     
1.4900e+02        1.9667e-02     
1.5000e+02        1.9565e-02     
1.5100e+02        1.9385e-02     
1.5200e+02        1.9209e-02     
1.5300e+02        1.9038e-02     
1.5400e+02        1.8917e-02     
1.5500e+02        1.8714e-02     
1.5600e+02        1.8571e-02     
1.5700e+02        1.8417e-02     
1.5800e+02        1.8250e-02     
1.5900e+02        1.8095e-02     
1.6000e+02        1.7909e-02     
