C2H6 + hv => C2H4 + H2 (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      5.45570000e-04      
1.20000000e-01      7.00000000e-04      
2.40000000e-01      9.95520000e-04      
6.20000000e-01      1.90910000e-03      
1.26000000e+00      3.48890000e-03      
2.46000000e+00      6.45610000e-03      
4.08000000e+00      1.04090000e-02      
4.25000000e+00      1.08560000e-02      
6.21000000e+00      1.56770000e-02      
1.21700000e+01      3.03640000e-02      
2.48600000e+01      6.16670000e-02      
3.54000000e+01      8.75000000e-02      
3.65000000e+01      9.01820000e-02      
3.76000000e+01      9.33330000e-02      
3.87000000e+01      9.53850000e-02      
4.00000000e+01      9.85710000e-02      
4.13000000e+01      1.02000000e-01      
4.28000000e+01      1.05560000e-01      
4.42000000e+01      1.09000000e-01      
4.59000000e+01      1.13200000e-01      
4.77000000e+01      1.17670000e-01      
4.96000000e+01      1.22570000e-01      
5.17000000e+01      1.27630000e-01      
5.39000000e+01      1.33100000e-01      
5.64000000e+01      1.39150000e-01      
5.90000000e+01      1.45580000e-01      
6.20000000e+01      1.52910000e-01      
6.53000000e+01      1.61130000e-01      
6.89000000e+01      1.70150000e-01      
7.29000000e+01      1.79170000e-01      
7.75000000e+01      1.90790000e-01      
8.27000000e+01      2.04000000e-01      
8.86000000e+01      2.18920000e-01      
9.54000000e+01      2.35380000e-01      
1.03300000e+02      2.54720000e-01      
1.06400000e+02      3.08000000e-01      
1.12700000e+02      3.23810000e-01      
1.16000000e+02      3.32340000e-01      
1.18000000e+02      3.36600000e-01      
1.20000000e+02      3.40980000e-01      
1.22000000e+02      3.46190000e-01      
1.24000000e+02      3.58590000e-01      
1.26000000e+02      4.00430000e-01      
1.28000000e+02      4.42620000e-01      
1.30000000e+02      4.84300000e-01      
1.32000000e+02      5.25680000e-01      
1.34000000e+02      5.67610000e-01      
1.36000000e+02      6.09260000e-01      
1.38000000e+02      6.51040000e-01      
1.39600000e+02      6.85710000e-01      
1.40000000e+02      6.93750000e-01      
1.40900000e+02      7.11670000e-01      
1.41700000e+02      7.28570000e-01      
1.42000000e+02      7.35820000e-01      
1.42700000e+02      7.50000000e-01      
1.44000000e+02      7.77780000e-01      
1.45000000e+02      8.00000000e-01      
1.46000000e+02      8.20000000e-01      
1.47000000e+02      8.38890000e-01      
1.48000000e+02      8.40000000e-01      
1.49000000e+02      8.41670000e-01      
1.50000000e+02      8.43480000e-01      
1.51000000e+02      8.44620000e-01      
1.52000000e+02      8.46510000e-01      
1.53000000e+02      8.46150000e-01      
1.54000000e+02      8.50000000e-01      
1.55000000e+02      8.48570000e-01      
1.56000000e+02      8.50000000e-01      
1.57000000e+02      8.50000000e-01      
1.58000000e+02      8.52080000e-01      
1.59000000e+02      8.52380000e-01      
1.60000000e+02      8.54550000e-01      
