C2H6 + hv => C2H5 + H (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      3.88610000e-06      
1.20000000e-01      2.48750000e-04      
2.40000000e-01      7.14930000e-04      
6.20000000e-01      2.15450000e-03      
1.26000000e+00      4.65560000e-03      
2.46000000e+00      9.33330000e-03      
4.08000000e+00      1.56360000e-02      
4.25000000e+00      1.63330000e-02      
6.21000000e+00      2.39030000e-02      
1.21700000e+01      4.70910000e-02      
2.48600000e+01      9.64580000e-02      
3.54000000e+01      1.37000000e-01      
3.65000000e+01      1.41820000e-01      
3.76000000e+01      1.45830000e-01      
3.87000000e+01      1.50000000e-01      
4.00000000e+01      1.55000000e-01      
4.13000000e+01      1.60670000e-01      
4.28000000e+01      1.66110000e-01      
4.42000000e+01      1.71500000e-01      
4.59000000e+01      1.78400000e-01      
4.77000000e+01      1.85330000e-01      
4.96000000e+01      1.92570000e-01      
5.17000000e+01      2.00790000e-01      
5.39000000e+01      2.09290000e-01      
5.64000000e+01      2.19150000e-01      
5.90000000e+01      2.28850000e-01      
6.20000000e+01      2.40000000e-01      
6.53000000e+01      2.53230000e-01      
6.89000000e+01      2.67160000e-01      
7.29000000e+01      2.83330000e-01      
7.75000000e+01      3.01320000e-01      
8.27000000e+01      3.21330000e-01      
8.86000000e+01      3.44590000e-01      
9.54000000e+01      3.70770000e-01      
1.03300000e+02      4.01890000e-01      
1.06400000e+02      4.06000000e-01      
1.12700000e+02      3.69050000e-01      
1.16000000e+02      3.53290000e-01      
1.18000000e+02      3.39870000e-01      
1.20000000e+02      3.29920000e-01      
1.22000000e+02      3.18830000e-01      
1.24000000e+02      3.07050000e-01      
1.26000000e+02      2.91490000e-01      
1.28000000e+02      2.76230000e-01      
1.30000000e+02      2.60990000e-01      
1.32000000e+02      2.45360000e-01      
1.34000000e+02      2.30280000e-01      
1.36000000e+02      2.14810000e-01      
1.38000000e+02      1.98960000e-01      
1.39600000e+02      1.87300000e-01      
1.40000000e+02      1.83750000e-01      
1.40900000e+02      1.76670000e-01      
1.41700000e+02      1.70860000e-01      
1.42000000e+02      1.68660000e-01      
1.42700000e+02      1.63120000e-01      
1.44000000e+02      1.52960000e-01      
1.45000000e+02      1.45420000e-01      
1.46000000e+02      1.37500000e-01      
1.47000000e+02      1.30000000e-01      
1.48000000e+02      1.29330000e-01      
1.49000000e+02      1.28330000e-01      
1.50000000e+02      1.27170000e-01      
1.51000000e+02      1.26310000e-01      
1.52000000e+02      1.25350000e-01      
1.53000000e+02      1.24620000e-01      
1.54000000e+02      1.23330000e-01      
1.55000000e+02      1.22710000e-01      
1.56000000e+02      1.21790000e-01      
1.57000000e+02      1.20830000e-01      
1.58000000e+02      1.20000000e-01      
1.59000000e+02      1.19050000e-01      
1.60000000e+02      1.18180000e-01      
