C2H6 + hv => CH3 + CH3
wavelength (nm)   quantum yield
6.0000e-02        1.1861e-06     
1.2000e-01        7.5875e-05     
2.4000e-01        2.1791e-04     
6.2000e-01        6.5818e-04     
1.2600e+00        1.4222e-03     
2.4600e+00        2.8421e-03     
4.0800e+00        4.7727e-03     
4.2500e+00        4.9667e-03     
6.2100e+00        7.2903e-03     
1.2170e+01        1.4364e-02     
2.4860e+01        2.9375e-02     
3.5400e+01        4.1900e-02     
3.6500e+01        4.3182e-02     
3.7600e+01        4.4500e-02     
3.8700e+01        4.5846e-02     
4.0000e+01        4.7357e-02     
4.1300e+01        4.8867e-02     
4.2800e+01        5.0667e-02     
4.4200e+01        5.2500e-02     
4.5900e+01        5.4400e-02     
4.7700e+01        5.6333e-02     
4.9600e+01        5.8857e-02     
5.1700e+01        6.1316e-02     
5.3900e+01        6.3810e-02     
5.6400e+01        6.6809e-02     
5.9000e+01        6.9808e-02     
6.2000e+01        7.3455e-02     
6.5300e+01        7.7419e-02     
6.8900e+01        8.1642e-02     
7.2900e+01        8.6389e-02     
7.7500e+01        9.1842e-02     
8.2700e+01        9.8000e-02     
8.8600e+01        1.0500e-01     
9.5400e+01        1.1308e-01     
1.0330e+02        1.2245e-01     
1.0640e+02        1.2280e-01     
1.1270e+02        1.0714e-01     
1.1600e+02        9.8802e-02     
1.1800e+02        9.3791e-02     
1.2000e+02        8.8934e-02     
1.2200e+02        8.3857e-02     
1.2400e+02        7.8855e-02     
1.2600e+02        7.2766e-02     
1.2800e+02        6.6803e-02     
1.3000e+02        6.0987e-02     
1.3200e+02        5.4645e-02     
1.3400e+02        4.8873e-02     
1.3600e+02        4.2870e-02     
1.3800e+02        3.6875e-02     
1.3960e+02        3.2063e-02     
1.4000e+02        3.1000e-02     
1.4090e+02        2.8167e-02     
1.4170e+02        2.5857e-02     
1.4200e+02        2.4925e-02     
1.4270e+02        2.2875e-02     
1.4400e+02        1.8963e-02     
1.4500e+02        1.6000e-02     
1.4600e+02        1.3000e-02     
1.4700e+02        1.0000e-02     
1.4800e+02        9.9333e-03     
1.4900e+02        9.9167e-03     
1.5000e+02        9.8261e-03     
1.5100e+02        9.7692e-03     
1.5200e+02        9.7209e-03     
1.5300e+02        9.6538e-03     
1.5400e+02        9.5833e-03     
1.5500e+02        9.5429e-03     
1.5600e+02        9.5000e-03     
1.5700e+02        9.4167e-03     
1.5800e+02        9.3750e-03     
1.5900e+02        9.3333e-03     
1.6000e+02        9.2727e-03     
