C2H6 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      7.90000000e-24      
1.20000000e-01      8.00000000e-23      
2.40000000e-01      6.70000000e-22      
6.20000000e-01      1.10000000e-20      
1.26000000e+00      9.00000000e-20      
2.46000000e+00      5.70000000e-19      
4.08000000e+00      2.20000000e-18      
4.25000000e+00      9.00000000e-20      
6.21000000e+00      3.10000000e-19      
1.21700000e+01      1.10000000e-18      
2.48600000e+01      4.80000000e-18      
3.54000000e+01      1.00000000e-17      
3.65000000e+01      1.10000000e-17      
3.76000000e+01      1.20000000e-17      
3.87000000e+01      1.30000000e-17      
4.00000000e+01      1.40000000e-17      
4.13000000e+01      1.50000000e-17      
4.28000000e+01      1.80000000e-17      
4.42000000e+01      2.00000000e-17      
4.59000000e+01      2.50000000e-17      
4.77000000e+01      3.00000000e-17      
4.96000000e+01      3.50000000e-17      
5.17000000e+01      3.80000000e-17      
5.39000000e+01      4.20000000e-17      
5.64000000e+01      4.70000000e-17      
5.90000000e+01      5.20000000e-17      
6.20000000e+01      5.50000000e-17      
6.53000000e+01      6.20000000e-17      
6.89000000e+01      6.70000000e-17      
7.29000000e+01      7.20000000e-17      
7.75000000e+01      7.60000000e-17      
8.27000000e+01      7.50000000e-17      
8.86000000e+01      7.40000000e-17      
9.54000000e+01      6.50000000e-17      
1.03300000e+02      5.30000000e-17      
1.06400000e+02      5.00000000e-17      
1.12700000e+02      4.20000000e-17      
1.16000000e+02      3.34000000e-17      
1.18000000e+02      3.06000000e-17      
1.20000000e+02      2.44000000e-17      
1.22000000e+02      2.23000000e-17      
1.24000000e+02      2.27000000e-17      
1.26000000e+02      2.35000000e-17      
1.28000000e+02      2.44000000e-17      
1.30000000e+02      2.23000000e-17      
1.32000000e+02      1.83000000e-17      
1.34000000e+02      1.42000000e-17      
1.36000000e+02      1.08000000e-17      
1.38000000e+02      9.60000000e-18      
1.39600000e+02      6.30000000e-18      
1.40000000e+02      8.00000000e-18      
1.40900000e+02      6.00000000e-18      
1.41700000e+02      3.50000000e-18      
1.42000000e+02      6.70000000e-18      
1.42700000e+02      3.20000000e-18      
1.44000000e+02      2.70000000e-18      
1.45000000e+02      2.40000000e-18      
1.46000000e+02      2.00000000e-18      
1.47000000e+02      1.80000000e-18      
1.48000000e+02      1.50000000e-18      
1.49000000e+02      1.20000000e-18      
1.50000000e+02      9.20000000e-19      
1.51000000e+02      6.50000000e-19      
1.52000000e+02      4.30000000e-19      
1.53000000e+02      2.60000000e-19      
1.54000000e+02      1.20000000e-19      
1.55000000e+02      7.00000000e-20      
1.56000000e+02      2.80000000e-20      
1.57000000e+02      1.20000000e-20      
1.58000000e+02      4.80000000e-21      
1.59000000e+02      2.10000000e-21      
1.60000000e+02      1.10000000e-21      
