CH + hv => C + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.20000000e+00      0.00000000e+00      
3.10000000e+00      0.00000000e+00      
4.20000000e+00      0.00000000e+00      
4.30000000e+00      0.00000000e+00      
1.24000000e+01      0.00000000e+00      
3.45000000e+01      0.00000000e+00      
5.38000000e+01      0.00000000e+00      
5.39000000e+01      0.00000000e+00      
6.16000000e+01      0.00000000e+00      
6.17000000e+01      0.00000000e+00      
8.00000000e+01      0.00000000e+00      
8.27000000e+01      4.90830000e-02      
9.10000000e+01      2.00000000e-01      
9.11000000e+01      5.67690000e-01      
9.42000000e+01      5.67290000e-01      
9.43000000e+01      5.39650000e-01      
9.84000000e+01      5.49900000e-01      
9.85000000e+01      5.30790000e-01      
9.99000000e+01      5.30610000e-01      
1.00000000e+02      8.17840000e-01      
1.00100000e+02      5.32650000e-01      
1.05200000e+02      5.32420000e-01      
1.05300000e+02      7.48620000e-01      
1.17000000e+02      7.59120000e-01      
1.17100000e+02      1.00000000e+00      
1.19900000e+02      1.00000000e+00      
1.20000000e+02      1.00000000e+00      
1.20100000e+02      1.00000000e+00      
1.24000000e+02      1.00000000e+00      
1.30000000e+02      1.00000000e+00      
1.31900000e+02      1.00000000e+00      
1.32000000e+02      1.00000000e+00      
1.32100000e+02      1.00000000e+00      
1.36900000e+02      1.00000000e+00      
1.37000000e+02      1.00000000e+00      
1.37100000e+02      1.00000000e+00      
1.43900000e+02      1.00000000e+00      
1.44000000e+02      1.00000000e+00      
1.44100000e+02      1.00000000e+00      
1.44500000e+02      1.00000000e+00      
1.44600000e+02      1.00000000e+00      
1.44800000e+02      1.00000000e+00      
1.44900000e+02      1.00000000e+00      
1.45900000e+02      1.00000000e+00      
1.48500000e+02      1.00000000e+00      
1.48600000e+02      1.00000000e+00      
1.48700000e+02      1.00000000e+00      
1.49400000e+02      1.00000000e+00      
1.49800000e+02      1.00000000e+00      
1.50000000e+02      1.00000000e+00      
1.50200000e+02      1.00000000e+00      
1.51000000e+02      1.00000000e+00      
1.52500000e+02      1.00000000e+00      
1.53100000e+02      1.00000000e+00      
1.54000000e+02      1.00000000e+00      
1.54500000e+02      1.00000000e+00      
1.55000000e+02      1.00000000e+00      
1.55500000e+02      1.00000000e+00      
1.56000000e+02      1.00000000e+00      
1.56200000e+02      1.00000000e+00      
1.56300000e+02      1.00000000e+00      
1.56400000e+02      1.00000000e+00      
1.56800000e+02      1.00000000e+00      
1.57300000e+02      1.00000000e+00      
1.57400000e+02      1.00000000e+00      
1.57900000e+02      1.00000000e+00      
1.58700000e+02      1.00000000e+00      
1.60000000e+02      1.00000000e+00      
1.60100000e+02      1.00000000e+00      
1.60200000e+02      1.00000000e+00      
1.60300000e+02      1.00000000e+00      
1.62000000e+02      1.00000000e+00      
1.66000000e+02      1.00000000e+00      
1.67400000e+02      1.00000000e+00      
1.67500000e+02      1.00000000e+00      
1.67600000e+02      1.00000000e+00      
1.69800000e+02      1.00000000e+00      
1.70000000e+02      1.00000000e+00      
1.72000000e+02      1.00000000e+00      
1.72200000e+02      1.00000000e+00      
1.77100000e+02      1.00000000e+00      
1.82300000e+02      1.00000000e+00      
1.85100000e+02      1.00000000e+00      
1.87900000e+02      1.00000000e+00      
1.90700000e+02      1.00000000e+00      
1.93700000e+02      1.00000000e+00      
1.96800000e+02      1.00000000e+00      
1.98400000e+02      1.00000000e+00      
2.00000000e+02      1.00000000e+00      
2.01600000e+02      1.00000000e+00      
2.03300000e+02      1.00000000e+00      
2.06600000e+02      1.00000000e+00      
2.10100000e+02      1.00000000e+00      
2.15000000e+02      1.00000000e+00      
2.62800000e+02      1.00000000e+00      
3.14500000e+02      1.00000000e+00      
3.14600000e+02      1.00000000e+00      
3.14700000e+02      1.00000000e+00      
3.14800000e+02      1.00000000e+00      
3.14900000e+02      1.00000000e+00      
3.24300000e+02      1.00000000e+00      
3.34300000e+02      1.00000000e+00      
3.38800000e+02      1.00000000e+00      
3.43400000e+02      1.00000000e+00      
3.45700000e+02      1.00000000e+00      
3.48000000e+02      1.00000000e+00      
3.50600000e+02      1.00000000e+00      
3.53200000e+02      1.00000000e+00      
3.58300000e+02      1.00000000e+00      
3.58990000e+02      1.00000000e+00      
