CH (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
0.00000000e+00      1.00000000e-23      
1.20000000e+00      4.00000000e-20      
3.10000000e+00      5.00000000e-19      
4.20000000e+00      1.30000000e-18      
4.30000000e+00      5.00000000e-20      
1.24000000e+01      4.90000000e-19      
3.45000000e+01      5.00000000e-18      
5.38000000e+01      1.40000000e-17      
5.39000000e+01      1.30000000e-17      
6.16000000e+01      1.75000000e-17      
6.17000000e+01      1.55000000e-17      
8.00000000e+01      2.00000000e-17      
8.27000000e+01      2.18000000e-17      
9.10000000e+01      2.59000000e-17      
9.11000000e+01      4.58000000e-17      
9.42000000e+01      4.83000000e-17      
9.43000000e+01      4.54000000e-17      
9.84000000e+01      4.91000000e-17      
9.85000000e+01      4.71000000e-17      
9.99000000e+01      4.90000000e-17      
1.00000000e+02      2.69000000e-16      
1.00100000e+02      4.90000000e-17      
1.05200000e+02      5.09000000e-17      
1.05300000e+02      3.62000000e-17      
1.17000000e+02      4.11000000e-17      
1.17100000e+02      1.00000000e-19      
1.19900000e+02      1.00000000e-19      
1.20000000e+02      2.20000000e-16      
1.20100000e+02      1.00000000e-19      
1.24000000e+02      1.00000000e-19      
1.30000000e+02      1.00000000e-20      
1.31900000e+02      1.00000000e-20      
1.32000000e+02      7.10000000e-18      
1.32100000e+02      1.00000000e-20      
1.36900000e+02      1.00000000e-20      
1.37000000e+02      3.83000000e-16      
1.37100000e+02      1.00000000e-20      
1.43900000e+02      1.00000000e-20      
1.44000000e+02      4.60000000e-17      
1.44100000e+02      1.00000000e-20      
1.44500000e+02      1.00000000e-20      
1.44600000e+02      1.00000000e-19      
1.44800000e+02      2.50000000e-18      
1.44900000e+02      1.00000000e-19      
1.45900000e+02      1.00000000e-19      
1.48500000e+02      1.50000000e-18      
1.48600000e+02      2.00000000e-18      
1.48700000e+02      1.00000000e-19      
1.49400000e+02      2.50000000e-18      
1.49800000e+02      5.00000000e-18      
1.50000000e+02      2.25000000e-17      
1.50200000e+02      1.00000000e-19      
1.51000000e+02      5.00000000e-18      
1.52500000e+02      1.00000000e-17      
1.53100000e+02      2.00000000e-17      
1.54000000e+02      1.00000000e-19      
1.54500000e+02      1.00000000e-17      
1.55000000e+02      2.00000000e-17      
1.55500000e+02      3.00000000e-17      
1.56000000e+02      1.00000000e-16      
1.56200000e+02      2.00000000e-16      
1.56300000e+02      5.00000000e-17      
1.56400000e+02      1.00000000e-17      
1.56800000e+02      1.00000000e-20      
1.57300000e+02      1.00000000e-19      
1.57400000e+02      3.00000000e-17      
1.57900000e+02      2.90000000e-17      
1.58700000e+02      2.00000000e-17      
1.60000000e+02      8.00000000e-18      
1.60100000e+02      1.00000000e-19      
1.60200000e+02      1.60000000e-17      
1.60300000e+02      1.00000000e-17      
1.62000000e+02      5.00000000e-18      
1.66000000e+02      1.50000000e-18      
1.67400000e+02      1.00000000e-18      
1.67500000e+02      5.00000000e-17      
1.67600000e+02      1.00000000e-19      
1.69800000e+02      1.00000000e-19      
1.70000000e+02      5.00000000e-19      
1.72000000e+02      1.00000000e-19      
1.72200000e+02      2.00000000e-20      
1.77100000e+02      1.40000000e-19      
1.82300000e+02      7.70000000e-19      
1.85100000e+02      1.57000000e-18      
1.87900000e+02      3.03000000e-18      
1.90700000e+02      5.12000000e-18      
1.93700000e+02      7.16000000e-18      
1.96800000e+02      8.44000000e-18      
1.98400000e+02      8.50000000e-18      
2.00000000e+02      7.56000000e-18      
2.01600000e+02      5.53000000e-18      
2.03300000e+02      3.68000000e-18      
2.06600000e+02      1.31000000e-18      
2.10100000e+02      5.40000000e-19      
2.15000000e+02      1.00000000e-20      
2.62800000e+02      1.00000000e-20      
3.14500000e+02      1.00000000e-20      
3.14600000e+02      1.00000000e-19      
3.14700000e+02      6.60000000e-16      
3.14800000e+02      1.00000000e-19      
3.14900000e+02      1.00000000e-20      
3.24300000e+02      1.00000000e-20      
3.34300000e+02      5.00000000e-20      
3.38800000e+02      1.50000000e-19      
3.43400000e+02      2.40000000e-19      
3.45700000e+02      3.10000000e-19      
3.48000000e+02      3.40000000e-19      
3.50600000e+02      3.10000000e-19      
3.53200000e+02      2.40000000e-19      
3.58300000e+02      1.50000000e-19      
3.58990000e+02      5.00000000e-20      
