CH3OH + hv => CH3 + OH (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
2.00000000e+01      6.00000000e-03      
4.00000000e+01      1.50000000e-02      
6.00000000e+01      4.00000000e-02      
8.00000000e+01      5.00000000e-02      
9.70000000e+01      5.00000000e-02      
9.76000000e+01      5.00000000e-02      
1.00000000e+02      5.00000000e-02      
1.00600000e+02      5.00000000e-02      
1.10000000e+02      5.00000000e-02      
1.14300000e+02      5.00000000e-02      
1.19900000e+02      5.00000000e-02      
1.20800000e+02      5.00000000e-02      
1.22900000e+02      5.00000000e-02      
1.25600000e+02      5.00000000e-02      
1.26900000e+02      5.00000000e-02      
1.28700000e+02      5.00000000e-02      
1.35100000e+02      5.00000000e-02      
1.36400000e+02      5.00000000e-02      
1.36800000e+02      5.00000000e-02      
1.38900000e+02      5.00000000e-02      
1.39300000e+02      5.00000000e-02      
1.39900000e+02      5.00000000e-02      
1.41200000e+02      5.00000000e-02      
1.41800000e+02      5.00000000e-02      
1.43500000e+02      5.00000000e-02      
1.44700000e+02      5.00000000e-02      
1.45600000e+02      5.00000000e-02      
1.46800000e+02      5.00000000e-02      
1.47900000e+02      5.00000000e-02      
1.48800000e+02      5.00000000e-02      
1.49900000e+02      5.00000000e-02      
1.52000000e+02      5.00000000e-02      
1.52200000e+02      5.00000000e-02      
1.54800000e+02      5.00000000e-02      
1.56500000e+02      5.00000000e-02      
1.57000000e+02      5.00000000e-02      
1.57500000e+02      5.00000000e-02      
1.58200000e+02      5.00000000e-02      
1.58700000e+02      5.00000000e-02      
1.59200000e+02      5.00000000e-02      
1.59700000e+02      5.00000000e-02      
1.60500000e+02      5.00000000e-02      
1.62300000e+02      5.00000000e-02      
1.63900000e+02      5.00000000e-02      
1.66700000e+02      5.00000000e-02      
1.69500000e+02      5.00000000e-02      
1.75400000e+02      5.00000000e-02      
1.81800000e+02      5.00000000e-02      
1.85200000e+02      5.00000000e-02      
1.92300000e+02      5.00000000e-02      
2.00000000e+02      5.00000000e-02      
2.05300000e+02      5.00000000e-02      
2.05300000e+02      5.00000000e-02      
3.15000000e+02      5.00000000e-02      
3.15000000e+02      0.00000000e+00      
1.35000000e+03      0.00000000e+00      
