CH3OH (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      1.00000000e-23      
2.00000000e+01      1.00000000e-22      
4.00000000e+01      1.00000000e-19      
6.00000000e+01      2.50000000e-17      
8.00000000e+01      3.00000000e-17      
9.70000000e+01      2.10000000e-17      
9.76000000e+01      2.00000000e-17      
1.00000000e+02      1.70000000e-17      
1.00600000e+02      3.00000000e-17      
1.10000000e+02      2.10000000e-17      
1.14300000e+02      1.70000000e-17      
1.19900000e+02      1.30000000e-17      
1.20800000e+02      1.40000000e-17      
1.22900000e+02      1.30000000e-17      
1.25600000e+02      1.40000000e-17      
1.26900000e+02      1.40000000e-17      
1.28700000e+02      1.50000000e-17      
1.35100000e+02      7.00000000e-18      
1.36400000e+02      6.50000000e-18      
1.36800000e+02      6.00000000e-18      
1.38900000e+02      3.50000000e-18      
1.39300000e+02      3.30000000e-18      
1.39900000e+02      3.30000000e-18      
1.41200000e+02      3.00000000e-18      
1.41800000e+02      3.20000000e-18      
1.43500000e+02      4.00000000e-18      
1.44700000e+02      4.20000000e-18      
1.45600000e+02      7.00000000e-18      
1.46800000e+02      6.50000000e-18      
1.47900000e+02      1.25000000e-17      
1.48800000e+02      7.00000000e-18      
1.49900000e+02      1.20000000e-17      
1.52000000e+02      4.00000000e-18      
1.52200000e+02      3.50000000e-18      
1.54800000e+02      5.00000000e-18      
1.56500000e+02      6.00000000e-18      
1.57000000e+02      8.00000000e-18      
1.57500000e+02      7.00000000e-18      
1.58200000e+02      8.00000000e-18      
1.58700000e+02      1.00000000e-17      
1.59200000e+02      9.00000000e-18      
1.59700000e+02      6.00000000e-18      
1.60500000e+02      1.05000000e-17      
1.62300000e+02      2.00000000e-18      
1.63900000e+02      8.00000000e-19      
1.66700000e+02      3.50000000e-19      
1.69500000e+02      4.00000000e-19      
1.75400000e+02      5.00000000e-19      
1.81800000e+02      6.00000000e-19      
1.85200000e+02      6.00000000e-19      
1.92300000e+02      3.00000000e-19      
2.00000000e+02      5.00000000e-20      
2.05300000e+02      2.00000000e-21      
2.05300001e+02      1.00000000e-22      
3.15000000e+02      1.00000000e-23      
3.15000001e+02      1.00000000e-24      
1.35000000e+03      1.00000000e-25      
