CH4 + hv => 1CH2 + H2 (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
3.16000000e+00      0.00000000e+00      
3.98000000e+00      0.00000000e+00       
4.00000000e+00      0.00000000e+00      
4.27000000e+00      0.00000000e+00     
6.30000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.58000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
2.78000000e+01      0.00000000e+00      
3.03700000e+01      0.00000000e+00      
3.58400000e+01      0.00000000e+00      
3.63000000e+01      0.00000000e+00      
3.74000000e+01      0.00000000e+00      
4.18800000e+01      0.00000000e+00      
4.34000000e+01      0.00000000e+00      
4.52000000e+01      0.00000000e+00      
4.59600000e+01      0.00000000e+00      
4.75000000e+01      0.00000000e+00      
5.08400000e+01      0.00000000e+00      
5.25800000e+01      0.00000000e+00      
5.29500000e+01      0.00000000e+00      
5.33600000e+01      0.00000000e+00      
5.39000000e+01      0.00000000e+00      
5.55000000e+01      0.00000000e+00      
5.74700000e+01      0.00000000e+00      
5.80700000e+01      0.00000000e+00      
5.99600000e+01      0.00000000e+00      
6.04200000e+01      0.00000000e+00      
6.16300000e+01      0.00000000e+00      
6.29300000e+01      0.00000000e+00      
6.37300000e+01      0.00000000e+00      
6.60300000e+01      0.00000000e+00      
6.61900000e+01      0.00000000e+00      
6.71400000e+01      0.00000000e+00      
6.71600000e+01      0.00000000e+00      
6.79400000e+01      0.00000000e+00      
6.85800000e+01      0.00000000e+00      
6.88400000e+01      0.00000000e+00      
6.98500000e+01      0.00000000e+00      
7.18500000e+01      0.00000000e+00      
7.46400000e+01      0.00000000e+00      
7.64000000e+01      0.00000000e+00      
7.69300000e+01      0.00000000e+00      
7.73000000e+01      6.88310000e-03      
7.96700000e+01      5.44300000e-02      
8.06000000e+01      6.12770000e-02      
8.27000000e+01      1.20950000e-01      
8.33000000e+01      1.37940000e-01      
8.40000000e+01      1.73050000e-01      
8.43800000e+01      1.88080000e-01      
8.50600000e+01      2.15690000e-01      
8.58300000e+01      2.48050000e-01      
8.71100000e+01      3.14890000e-01      
8.75500000e+01      3.23470000e-01      
8.78700000e+01      3.56860000e-01      
8.83100000e+01      3.56860000e-01      
8.87400000e+01      3.78850000e-01      
9.06000000e+01      4.58590000e-01      
9.16000000e+01      4.98920000e-01      
9.19800000e+01      5.14510000e-01      
9.32100000e+01      5.71150000e-01      
9.45000000e+01      6.99630000e-01      
9.51900000e+01      7.01790000e-01      
9.54800000e+01      7.01790000e-01      
9.55500000e+01      7.01790000e-01      
9.58500000e+01      7.03330000e-01      
9.61500000e+01      7.03570000e-01      
9.77000000e+01      7.06820000e-01      
9.78000000e+01      7.07320000e-01      
9.79800000e+01      7.07320000e-01      
9.88800000e+01      7.08330000e-01      
9.89800000e+01      7.10530000e-01      
9.91500000e+01      7.11340000e-01      
1.02500000e+02      7.18180000e-01      
1.03630000e+02      7.19350000e-01      
1.03700000e+02      7.22030000e-01      
1.06590000e+02      7.25810000e-01      
1.07180000e+02      7.18750000e-01      
1.08460000e+02      7.00000000e-01      
1.08490000e+02      6.98470000e-01      
1.08550000e+02      6.97590000e-01      
1.13440000e+02      6.22860000e-01      
1.13500000e+02      6.24340000e-01      
1.15200000e+02      5.97830000e-01      
1.15210000e+02      5.97880000e-01      
1.17550000e+02      5.60870000e-01      
1.17640000e+02      5.57770000e-01      
1.17650000e+02      5.59410000e-01      
1.18300000e+02      5.47830000e-01      
1.18450000e+02      5.45000000e-01      
1.18900000e+02      5.40370000e-01      
1.19950000e+02      5.24740000e-01      
1.20070000e+02      5.22860000e-01      
1.20070001e+02      5.22630000e-01      
1.20690000e+02      5.13330000e-01      
1.21550000e+02      5.00570000e-01      
1.21570000e+02      5.00000000e-01      
1.21760000e+02      5.20530000e-01      
1.24330000e+02      8.00000000e-01      
1.27510000e+02      8.12500000e-01      
1.30220000e+02      8.21430000e-01      
1.30490000e+02      8.28570000e-01      
1.30600000e+02      8.28570000e-01      
1.32400000e+02      8.30770000e-01      
1.33000000e+02      8.36360000e-01      
1.33600000e+02      8.39000000e-01      
1.36200000e+02      8.49640000e-01      
1.37000000e+02      8.50000000e-01      
1.38000000e+02      8.50000000e-01      
1.39000000e+02      8.50000000e-01      
1.40000000e+02      8.50000000e-01      
1.41000000e+02      8.50000000e-01      
1.42000000e+02      8.50000000e-01      
1.43000000e+02      8.50000000e-01      
1.44000000e+02      8.50000000e-01      
1.45000000e+02      8.50000000e-01      
1.46000000e+02      8.50000000e-01      
1.47000000e+02      8.49370000e-01      
1.48000000e+02      8.50000000e-01      
1.49000000e+02      8.50000000e-01      
1.50000000e+02      8.50000000e-01      
1.51000000e+02      8.52170000e-01      
1.52000000e+02      8.43750000e-01      
1.53000000e+02      8.33330000e-01      
1.54000000e+02      8.22830000e-01      
1.55000000e+02      8.13580000e-01      
1.56000000e+02      8.04050000e-01      
1.57000000e+02      7.94370000e-01      
1.58000000e+02      7.83820000e-01      
1.59000000e+02      7.73440000e-01      
1.60000000e+02      7.63330000e-01      
1.85000000e+02      5.17500000e-01      
2.10000000e+02      2.70000000e-01      
2.37300000e+02      0.00000000e+00      
2.77000000e+02      0.00000000e+00      
