CH4 + hv => CH2 + H + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
3.16000000e+00      0.00000000e+00      
3.98000000e+00      0.00000000e+00      
4.27000000e+00      0.00000000e+00      
4.00000000e+00      0.00000000e+00      
6.30000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.58000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
2.78000000e+01      0.00000000e+00      
3.03700000e+01      0.00000000e+00      
3.58400000e+01      0.00000000e+00      
3.63000000e+01      0.00000000e+00      
3.74000000e+01      0.00000000e+00      
4.18800000e+01      0.00000000e+00      
4.34000000e+01      0.00000000e+00      
4.52000000e+01      0.00000000e+00      
4.59600000e+01      0.00000000e+00      
4.75000000e+01      0.00000000e+00      
5.08400000e+01      0.00000000e+00      
5.25800000e+01      0.00000000e+00      
5.29500000e+01      0.00000000e+00      
5.33600000e+01      0.00000000e+00      
5.39000000e+01      0.00000000e+00      
5.55000000e+01      0.00000000e+00      
5.74700000e+01      0.00000000e+00      
5.80700000e+01      0.00000000e+00      
5.99600000e+01      0.00000000e+00      
6.04200000e+01      0.00000000e+00      
6.16300000e+01      0.00000000e+00      
6.29300000e+01      0.00000000e+00      
6.37300000e+01      0.00000000e+00      
6.60300000e+01      0.00000000e+00      
6.61900000e+01      0.00000000e+00      
6.71400000e+01      0.00000000e+00      
6.71600000e+01      0.00000000e+00      
6.79400000e+01      0.00000000e+00      
6.85800000e+01      0.00000000e+00      
6.88400000e+01      0.00000000e+00      
6.98500000e+01      0.00000000e+00      
7.18500000e+01      0.00000000e+00      
7.46400000e+01      0.00000000e+00      
7.64000000e+01      0.00000000e+00      
7.69300000e+01      0.00000000e+00      
7.73000000e+01      2.00000000e-03      
7.96700000e+01      7.99580000e-03      
8.06000000e+01      7.95740000e-03      
8.27000000e+01      7.88380000e-03      
8.33000000e+01      7.85570000e-03      
8.40000000e+01      7.83160000e-03      
8.43800000e+01      7.80770000e-03      
8.50600000e+01      7.78430000e-03      
8.58300000e+01      7.75390000e-03      
8.71100000e+01      7.70990000e-03      
8.75500000e+01      7.69230000e-03      
8.78700000e+01      7.66670000e-03      
8.83100000e+01      7.64710000e-03      
8.87400000e+01      7.63460000e-03      
9.06000000e+01      7.55560000e-03      
9.16000000e+01      7.52690000e-03      
9.19800000e+01      7.50480000e-03      
9.32100000e+01      7.46150000e-03      
9.45000000e+01      7.41760000e-03      
9.51900000e+01      7.37500000e-03      
9.54800000e+01      7.37500000e-03      
9.55500000e+01      7.37500000e-03      
9.58500000e+01      7.35000000e-03      
9.61500000e+01      7.33930000e-03      
9.77000000e+01      7.27270000e-03      
9.78000000e+01      7.26830000e-03      
9.79800000e+01      7.26830000e-03      
9.88800000e+01      7.23210000e-03      
9.89800000e+01      7.23680000e-03      
9.91500000e+01      7.21650000e-03      
1.02500000e+02      7.09090000e-03      
1.03630000e+02      7.03230000e-03      
1.03700000e+02      7.05080000e-03      
1.06590000e+02      6.06450000e-03      
1.07180000e+02      1.87190000e-02      
1.08460000e+02      5.25930000e-02      
1.08490000e+02      5.34350000e-02      
1.08550000e+02      5.49830000e-02      
1.13440000e+02      1.84570000e-01      
1.13500000e+02      1.86240000e-01      
1.15200000e+02      2.30980000e-01      
1.15210000e+02      2.31750000e-01      
1.17550000e+02      2.93480000e-01      
1.17640000e+02      2.96020000e-01      
1.17650000e+02      2.95880000e-01      
1.18300000e+02      3.13480000e-01      
1.18450000e+02      3.17500000e-01      
1.18900000e+02      3.29190000e-01      
1.19950000e+02      3.56840000e-01      
1.20070000e+02      3.60000000e-01      
1.20070000e+02      3.60000000e-01      
1.20690000e+02      3.76670000e-01      
1.21550000e+02      3.99430000e-01      
1.21570000e+02      4.00000000e-01      
1.21760000e+02      3.72630000e-01      
1.24330000e+02      1.00560000e-01      
1.27510000e+02      6.00000000e-02      
1.30220000e+02      2.53570000e-02      
1.30490000e+02      2.18570000e-02      
1.30600000e+02      2.05000000e-02      
1.32400000e+02      0.00000000e+00      
1.33000000e+02      0.00000000e+00      
1.33600000e+02      0.00000000e+00      
1.36200000e+02      0.00000000e+00      
1.37000000e+02      0.00000000e+00      
1.38000000e+02      0.00000000e+00      
1.39000000e+02      0.00000000e+00      
1.40000000e+02      0.00000000e+00      
1.41000000e+02      0.00000000e+00      
1.42000000e+02      0.00000000e+00      
1.43000000e+02      0.00000000e+00      
1.44000000e+02      0.00000000e+00      
1.45000000e+02      0.00000000e+00      
1.46000000e+02      0.00000000e+00      
1.47000000e+02      0.00000000e+00      
1.48000000e+02      0.00000000e+00      
1.49000000e+02      0.00000000e+00      
1.50000000e+02      0.00000000e+00      
1.51000000e+02      0.00000000e+00      
1.52000000e+02      0.00000000e+00      
1.53000000e+02      0.00000000e+00      
1.54000000e+02      0.00000000e+00      
1.55000000e+02      0.00000000e+00      
1.56000000e+02      0.00000000e+00      
1.57000000e+02      0.00000000e+00      
1.58000000e+02      0.00000000e+00      
1.59000000e+02      0.00000000e+00      
1.60000000e+02      0.00000000e+00      
1.85000000e+02      0.00000000e+00      
2.10000000e+02      0.00000000e+00      
2.37300000e+02      0.00000000e+00      
2.77000000e+02      0.00000000e+00      
