CH4 + hv => CH3 + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
3.16000000e+00      0.00000000e+00      
3.98000000e+00      0.00000000e+00      
4.27000000e+00      0.00000000e+00      
4.00000000e+00      0.00000000e+00      
6.30000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.58000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
2.78000000e+01      0.00000000e+00      
3.03700000e+01      0.00000000e+00      
3.58400000e+01      0.00000000e+00      
3.63000000e+01      0.00000000e+00      
3.74000000e+01      0.00000000e+00      
4.18800000e+01      0.00000000e+00      
4.34000000e+01      0.00000000e+00      
4.52000000e+01      0.00000000e+00      
4.59600000e+01      0.00000000e+00      
4.75000000e+01      0.00000000e+00      
5.08400000e+01      0.00000000e+00      
5.25800000e+01      0.00000000e+00      
5.29500000e+01      0.00000000e+00      
5.33600000e+01      0.00000000e+00      
5.39000000e+01      0.00000000e+00      
5.55000000e+01      0.00000000e+00      
5.74700000e+01      0.00000000e+00      
5.80700000e+01      0.00000000e+00      
5.99600000e+01      0.00000000e+00      
6.04200000e+01      0.00000000e+00      
6.16300000e+01      0.00000000e+00      
6.29300000e+01      0.00000000e+00      
6.37300000e+01      0.00000000e+00      
6.60300000e+01      0.00000000e+00      
6.61900000e+01      0.00000000e+00      
6.71400000e+01      0.00000000e+00      
6.71600000e+01      0.00000000e+00      
6.79400000e+01      0.00000000e+00      
6.85800000e+01      0.00000000e+00      
6.88400000e+01      0.00000000e+00      
6.98500000e+01      0.00000000e+00      
7.18500000e+01      0.00000000e+00      
7.46400000e+01      0.00000000e+00      
7.64000000e+01      0.00000000e+00      
7.69300000e+01      0.00000000e+00      
7.73000000e+01      1.35930000e-03      
7.96700000e+01      9.43040000e-03      
8.06000000e+01      1.05110000e-02      
8.27000000e+01      2.11620000e-02      
8.33000000e+01      2.43300000e-02      
8.40000000e+01      3.05260000e-02      
8.43800000e+01      3.30770000e-02      
8.50600000e+01      3.76470000e-02      
8.58300000e+01      4.43360000e-02      
8.71100000e+01      5.41980000e-02      
8.75500000e+01      5.79880000e-02      
8.78700000e+01      6.29410000e-02      
8.83100000e+01      6.33330000e-02      
8.87400000e+01      6.53850000e-02      
9.06000000e+01      8.10100000e-02      
9.16000000e+01      8.90320000e-02      
9.19800000e+01      8.99420000e-02      
9.32100000e+01      1.00000000e-01      
9.45000000e+01      1.25090000e-01      
9.51900000e+01      1.22500000e-01      
9.54800000e+01      1.21430000e-01      
9.55500000e+01      1.21070000e-01      
9.58500000e+01      1.20000000e-01      
9.61500000e+01      1.18930000e-01      
9.77000000e+01      1.13180000e-01      
9.78000000e+01      1.12930000e-01      
9.79800000e+01      1.12200000e-01      
9.88800000e+01      1.08930000e-01      
9.89800000e+01      1.08420000e-01      
9.91500000e+01      1.07900000e-01      
1.02500000e+02      9.54550000e-02      
1.03630000e+02      9.12900000e-02      
1.03700000e+02      9.11860000e-02      
1.06590000e+02      8.61290000e-02      
1.07180000e+02      8.37500000e-02      
1.08460000e+02      7.81480000e-02      
1.08490000e+02      7.82440000e-02      
1.08550000e+02      7.76630000e-02      
1.13440000e+02      5.60570000e-02      
1.13500000e+02      5.55560000e-02      
1.15200000e+02      4.82610000e-02      
1.15210000e+02      4.82540000e-02      
1.17550000e+02      3.78260000e-02      
1.17640000e+02      3.74500000e-02      
1.17650000e+02      3.74120000e-02      
1.18300000e+02      3.45220000e-02      
1.18450000e+02      3.38500000e-02      
1.18900000e+02      3.18630000e-02      
1.19950000e+02      2.72110000e-02      
1.20070000e+02      2.66860000e-02      
1.20070000e+02      2.66320000e-02      
1.20690000e+02      2.38890000e-02      
1.21550000e+02      2.01140000e-02      
1.21570000e+02      2.00000000e-02      
1.21760000e+02      2.06840000e-02      
1.24330000e+02      3.00000000e-02      
1.27510000e+02      6.21250000e-02      
1.30220000e+02      8.92860000e-02      
1.30490000e+02      9.21430000e-02      
1.30600000e+02      9.35710000e-02      
1.32400000e+02      1.11540000e-01      
1.33000000e+02      1.17270000e-01      
1.33600000e+02      1.24000000e-01      
1.36200000e+02      1.50360000e-01      
1.37000000e+02      1.50000000e-01      
1.38000000e+02      1.50000000e-01      
1.39000000e+02      1.50000000e-01      
1.40000000e+02      1.50000000e-01      
1.41000000e+02      1.50000000e-01      
1.42000000e+02      1.50000000e-01      
1.43000000e+02      1.50000000e-01      
1.44000000e+02      1.50000000e-01      
1.45000000e+02      1.50000000e-01      
1.46000000e+02      1.50000000e-01      
1.47000000e+02      1.50630000e-01      
1.48000000e+02      1.50000000e-01      
1.49000000e+02      1.50000000e-01      
1.50000000e+02      1.50000000e-01      
1.51000000e+02      1.50000000e-01      
1.52000000e+02      1.56880000e-01      
1.53000000e+02      1.66670000e-01      
1.54000000e+02      1.77170000e-01      
1.55000000e+02      1.86420000e-01      
1.56000000e+02      1.95950000e-01      
1.57000000e+02      2.05630000e-01      
1.58000000e+02      2.16180000e-01      
1.59000000e+02      2.26560000e-01      
1.60000000e+02      2.36670000e-01      
1.85000000e+02      4.82500000e-01      
2.10000000e+02      7.30000000e-01      
2.37300000e+02      1.00000000e+00      
2.77000000e+02      1.00000000e+00      
