CH4 + hv => CH + H2 + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
3.16000000e+00      0.00000000e+00      
3.98000000e+00      0.00000000e+00       
4.00000000e+00      0.00000000e+00      
4.27000000e+00      0.00000000e+00     
6.30000000e+00      0.00000000e+00      
1.00000000e+01      0.00000000e+00      
1.58000000e+01      1.10770000e-16      
2.50000000e+01      0.00000000e+00      
2.78000000e+01      0.00000000e+00      
3.03700000e+01      1.11000000e-16      
3.58400000e+01      2.22220000e-16      
3.63000000e+01      1.11220000e-16      
3.74000000e+01      0.00000000e+00      
4.18800000e+01      0.00000000e+00      
4.34000000e+01      0.00000000e+00      
4.52000000e+01      0.00000000e+00      
4.59600000e+01      0.00000000e+00      
4.75000000e+01      0.00000000e+00      
5.08400000e+01      0.00000000e+00      
5.25800000e+01      0.00000000e+00      
5.29500000e+01      0.00000000e+00      
5.33600000e+01      1.10850000e-16      
5.39000000e+01      0.00000000e+00      
5.55000000e+01      0.00000000e+00      
5.74700000e+01      0.00000000e+00      
5.80700000e+01      1.11110000e-16      
5.99600000e+01      0.00000000e+00      
6.04200000e+01      0.00000000e+00      
6.16300000e+01      0.00000000e+00      
6.29300000e+01      0.00000000e+00      
6.37300000e+01      0.00000000e+00      
6.60300000e+01      0.00000000e+00      
6.61900000e+01      0.00000000e+00      
6.71400000e+01      1.11110000e-16      
6.71600000e+01      0.00000000e+00      
6.79400000e+01      0.00000000e+00      
6.85800000e+01      0.00000000e+00      
6.88400000e+01      0.00000000e+00      
6.98500000e+01      0.00000000e+00      
7.18500000e+01      1.10950000e-16      
7.46400000e+01      0.00000000e+00      
7.64000000e+01      0.00000000e+00      
7.69300000e+01      0.00000000e+00      
7.73000000e+01      5.00000000e-05      
7.96700000e+01      7.46840000e-03      
8.06000000e+01      9.14890000e-03      
8.27000000e+01      2.69710000e-02      
8.33000000e+01      3.09280000e-02      
8.40000000e+01      3.95790000e-02      
8.43800000e+01      4.30770000e-02      
8.50600000e+01      4.96080000e-02      
8.58300000e+01      5.78130000e-02      
8.71100000e+01      9.10310000e-02      
8.75500000e+01      7.53450000e-02      
8.78700000e+01      8.33330000e-02      
8.83100000e+01      8.31370000e-02      
8.87400000e+01      8.78850000e-02      
9.06000000e+01      1.05450000e-01      
9.16000000e+01      1.14410000e-01      
9.19800000e+01      1.17410000e-01      
9.32100000e+01      1.29620000e-01      
9.45000000e+01      1.67580000e-01      
9.51900000e+01      1.68570000e-01      
9.54800000e+01      1.69110000e-01      
9.55500000e+01      1.69110000e-01      
9.58500000e+01      1.70000000e-01      
9.61500000e+01      1.70000000e-01      
9.77000000e+01      1.72270000e-01      
9.78000000e+01      1.72440000e-01      
9.79800000e+01      1.72680000e-01      
9.88800000e+01      1.74110000e-01      
9.89800000e+01      1.74210000e-01      
9.91500000e+01      1.74570000e-01      
1.02500000e+02      1.79700000e-01      
1.03630000e+02      1.81290000e-01      
1.03700000e+02      1.81360000e-01      
1.06590000e+02      1.81940000e-01      
1.07180000e+02      1.78750000e-01      
1.08460000e+02      1.70000000e-01      
1.08490000e+02      1.69850000e-01      
1.08550000e+02      1.69420000e-01      
1.13440000e+02      1.36000000e-01      
1.13500000e+02      1.35450000e-01      
1.15200000e+02      1.23910000e-01      
1.15210000e+02      1.23810000e-01      
1.17550000e+02      1.07390000e-01      
1.17640000e+02      1.06770000e-01      
1.17650000e+02      1.07060000e-01      
1.18300000e+02      1.02610000e-01      
1.18450000e+02      1.01500000e-01      
1.18900000e+02      9.81370000e-02      
1.19950000e+02      9.10530000e-02      
1.20070000e+02      9.02860000e-02      
1.20070001e+02      9.05260000e-02      
1.20690000e+02      8.61110000e-02      
1.21550000e+02      8.00000000e-02      
1.21570000e+02      8.00000000e-02      
1.21760000e+02      8.57890000e-02      
1.24330000e+02      6.94440000e-02      
1.27510000e+02      6.43750000e-02      
1.30220000e+02      6.02860000e-02      
1.30490000e+02      5.99290000e-02      
1.30600000e+02      5.97140000e-02      
1.32400000e+02      5.43850000e-02      
1.33000000e+02      4.58180000e-02      
1.33600000e+02      3.72000000e-02      
1.36200000e+02      0.00000000e+00      
1.37000000e+02      0.00000000e+00      
1.38000000e+02      0.00000000e+00      
1.39000000e+02      0.00000000e+00      
1.40000000e+02      0.00000000e+00      
1.41000000e+02      0.00000000e+00      
1.42000000e+02      0.00000000e+00      
1.43000000e+02      0.00000000e+00      
1.44000000e+02      0.00000000e+00      
1.45000000e+02      0.00000000e+00      
1.46000000e+02      0.00000000e+00      
1.47000000e+02      0.00000000e+00      
1.48000000e+02      0.00000000e+00      
1.49000000e+02      0.00000000e+00      
1.50000000e+02      0.00000000e+00      
1.51000000e+02      0.00000000e+00      
1.52000000e+02      0.00000000e+00      
1.53000000e+02      0.00000000e+00      
1.54000000e+02      0.00000000e+00      
1.55000000e+02      0.00000000e+00      
1.56000000e+02      0.00000000e+00      
1.57000000e+02      0.00000000e+00      
1.58000000e+02      0.00000000e+00      
1.59000000e+02      0.00000000e+00      
1.60000000e+02      0.00000000e+00      
1.85000000e+02      1.11000000e-16      
2.10000000e+02      0.00000000e+00      
2.37300000e+02      0.00000000e+00      
2.77000000e+02      0.00000000e+00      
