CH4 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      1.00000000e-21      
2.36000000e+00      2.60000000e-19      
3.16000000e+00      5.30000000e-19      
3.98000000e+00      1.00000000e-18     
4.00000000e+00      5.90000000e-20       
4.27000000e+00      1.30000000e-18     
6.30000000e+00      1.50000000e-19      
1.00000000e+01      3.70000000e-19      
1.58000000e+01      1.30000000e-18      
2.50000000e+01      3.70000000e-18      
2.78000000e+01      4.00000000e-18      
3.03700000e+01      4.00000000e-18      
3.58400000e+01      1.17000000e-17      
3.63000000e+01      9.80000000e-18      
3.74000000e+01      1.31000000e-17      
4.18800000e+01      1.68000000e-17      
4.34000000e+01      1.61000000e-17      
4.52000000e+01      1.96000000e-17      
4.59600000e+01      1.82000000e-17      
4.75000000e+01      1.97000000e-17      
5.08400000e+01      2.30000000e-17      
5.25800000e+01      2.38000000e-17      
5.29500000e+01      2.16000000e-17      
5.33600000e+01      2.12000000e-17      
5.39000000e+01      2.50000000e-17      
5.55000000e+01      2.50000000e-17      
5.74700000e+01      2.97000000e-17      
5.80700000e+01      2.79000000e-17      
5.99600000e+01      3.13000000e-17      
6.04200000e+01      2.98000000e-17      
6.16300000e+01      3.41000000e-17      
6.29300000e+01      3.52000000e-17      
6.37300000e+01      3.53000000e-17      
6.60300000e+01      3.66000000e-17      
6.61900000e+01      3.56000000e-17      
6.71400000e+01      3.78000000e-17      
6.71600000e+01      3.96000000e-17      
6.79400000e+01      3.61000000e-17      
6.85800000e+01      3.94000000e-17      
6.88400000e+01      4.04000000e-17      
6.98500000e+01      3.78000000e-17      
7.18500000e+01      4.20000000e-17      
7.46400000e+01      4.14000000e-17      
7.64000000e+01      4.77000000e-17      
7.69300000e+01      4.30000000e-17      
7.73000000e+01      4.62000000e-17      
7.96700000e+01      4.74000000e-17      
8.06000000e+01      4.70000000e-17      
8.27000000e+01      4.82000000e-17      
8.33000000e+01      4.85000000e-17      
8.40000000e+01      4.75000000e-17      
8.43800000e+01      5.20000000e-17      
8.50600000e+01      5.10000000e-17      
8.58300000e+01      5.12000000e-17      
8.71100000e+01      5.24000000e-17      
8.75500000e+01      5.07000000e-17      
8.78700000e+01      5.10000000e-17      
8.83100000e+01      5.10000000e-17      
8.87400000e+01      5.20000000e-17      
9.06000000e+01      4.95000000e-17      
9.16000000e+01      4.65000000e-17      
9.19800000e+01      5.17000000e-17      
9.32100000e+01      5.20000000e-17      
9.45000000e+01      5.46000000e-17      
9.51900000e+01      5.60000000e-17      
9.54800000e+01      5.60000000e-17      
9.55500000e+01      5.60000000e-17      
9.58500000e+01      6.00000000e-17      
9.61500000e+01      5.60000000e-17      
9.77000000e+01      4.40000000e-17      
9.78000000e+01      4.10000000e-17      
9.79800000e+01      4.10000000e-17      
9.88800000e+01      3.36000000e-17      
9.89800000e+01      3.80000000e-17      
9.91500000e+01      2.91000000e-17      
1.02500000e+02      3.30000000e-17      
1.03630000e+02      3.10000000e-17      
1.03700000e+02      2.95000000e-17      
1.06590000e+02      3.10000000e-17      
1.07180000e+02      3.20000000e-17      
1.08460000e+02      2.70000000e-17      
1.08490000e+02      2.62000000e-17      
1.08550000e+02      2.91000000e-17      
1.13440000e+02      1.75000000e-17      
1.13500000e+02      1.89000000e-17      
1.15200000e+02      1.84000000e-17      
1.15210000e+02      1.89000000e-17      
1.17550000e+02      2.30000000e-17      
1.17640000e+02      2.51000000e-17      
1.17650000e+02      1.70000000e-17      
1.18300000e+02      2.30000000e-17      
1.18450000e+02      2.00000000e-17      
1.18900000e+02      1.61000000e-17      
1.19950000e+02      1.90000000e-17      
1.20070000e+02      1.75000000e-17      
1.20070001e+02      1.90000000e-17      
1.20690000e+02      1.80000000e-17      
1.21550000e+02      1.75000000e-17      
1.21570000e+02      1.60000000e-17      
1.21760000e+02      1.90000000e-17      
1.24330000e+02      1.80000000e-17      
1.27510000e+02      1.60000000e-17      
1.30220000e+02      1.40000000e-17      
1.30490000e+02      1.40000000e-17      
1.30600000e+02      1.40000000e-17      
1.32400000e+02      1.30000000e-17      
1.33000000e+02      1.10000000e-17      
1.33600000e+02      1.00000000e-17      
1.36200000e+02      6.85000000e-18      
1.37000000e+02      3.20000000e-18      
1.38000000e+02      2.20000000e-18      
1.39000000e+02      1.20000000e-18      
1.40000000e+02      6.80000000e-19      
1.41000000e+02      3.60000000e-19      
1.42000000e+02      1.60000000e-19      
1.43000000e+02      7.80000000e-20      
1.44000000e+02      2.20000000e-20      
1.45000000e+02      8.00000000e-21      
1.46000000e+02      2.80000000e-21      
1.47000000e+02      7.90000000e-22      
1.48000000e+02      2.80000000e-22      
1.49000000e+02      8.60000000e-23      
1.50000000e+02      3.80000000e-23      
1.51000000e+02      2.30000000e-23      
1.52000000e+02      1.60000000e-23      
1.53000000e+02      1.20000000e-23      
1.54000000e+02      9.20000000e-24      
1.55000000e+02      8.10000000e-24      
1.56000000e+02      7.40000000e-24      
1.57000000e+02      7.10000000e-24      
1.58000000e+02      6.80000000e-24      
1.59000000e+02      6.40000000e-24      
1.60000000e+02      6.00000000e-24      
1.85000000e+02      4.00000000e-24      
2.10000000e+02      1.00000000e-25      
2.37300000e+02      3.00000000e-26      
2.77000000e+02      1.00000000e-28      
