CN + hv => C + N
wavelength (nm)   quantum yield
6.1000e-02        1.0000e+00     
1.2400e-01        1.0000e+00     
2.4400e-01        1.0000e+00     
6.1500e-01        1.0000e+00     
1.2570e+00        1.0000e+00     
2.4620e+00        1.0000e+00     
2.9100e+00        1.0000e+00     
3.0400e+00        1.0000e+00     
4.0800e+00        1.0000e+00     
4.2500e+00        1.0000e+00     
6.2090e+00        1.0000e+00     
1.2170e+01        1.0000e+00     
2.4860e+01        1.0000e+00     
6.2680e+01        1.0000e+00     
6.5400e+01        1.0000e+00     
9.0580e+01        1.0000e+00     
9.1250e+01        1.0000e+00     
9.2610e+01        1.0000e+00     
9.4020e+01        1.0000e+00     
9.5460e+01        1.0000e+00     
9.6950e+01        1.0000e+00     
9.8490e+01        1.0000e+00     
9.8960e+01        1.0000e+00     
9.9440e+01        1.0000e+00     
1.0050e+02        1.0000e+00     
1.0160e+02        1.0000e+00     
1.0220e+02        1.0000e+00     
1.0330e+02        1.0000e+00     
1.0500e+02        1.0000e+00     
1.1080e+02        1.0000e+00     
1.1280e+02        1.0000e+00     
1.1490e+02        1.0000e+00     
1.1710e+02        1.0000e+00     
1.2000e+02        1.0000e+00     
1.3000e+02        1.0000e+00     
1.5900e+02        1.0000e+00     
