CN (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.10000000e-02      1.19000000e-23      
1.24000000e-01      1.20000000e-22      
2.44000000e-01      9.95000000e-22      
6.15000000e-01      6.77000000e-21      
1.25700000e+00      1.25000000e-19      
2.46200000e+00      7.56000000e-19      
2.91000000e+00      9.40000000e-19      
3.04000000e+00      2.50000000e-19      
4.08000000e+00      1.20000000e-18      
4.25000000e+00      1.10000000e-19      
6.20900000e+00      3.04000000e-19      
1.21700000e+01      1.39000000e-18      
2.48600000e+01      5.54000000e-18      
6.26800000e+01      1.85000000e-17      
6.54000000e+01      1.90000000e-17      
9.05800000e+01      2.25000000e-16      
9.12500000e+01      1.80000000e-16      
9.26100000e+01      1.05000000e-16      
9.40200000e+01      7.50000000e-17      
9.54600000e+01      2.30000000e-17      
9.69500000e+01      2.60000000e-17      
9.84900000e+01      8.00000000e-17      
9.89600000e+01      2.00000000e-16      
9.94400000e+01      2.12000000e-16      
1.00500000e+02      1.75000000e-16      
1.01600000e+02      3.60000000e-16      
1.02200000e+02      1.50000000e-17      
1.03300000e+02      1.00000000e-17      
1.05000000e+02      1.00000000e-18      
1.10800000e+02      1.00000000e-18      
1.12800000e+02      7.00000000e-19      
1.14900000e+02      5.00000000e-19      
1.17100000e+02      3.50000000e-19      
1.20000000e+02      2.50000000e-19      
1.30000000e+02      1.00000000e-19      
1.59000000e+02      1.00000000e-20      
