CO2 + hv => CO + O1D
wavelength (nm)   quantum yield
1.0000e-01        0.0000e+00     
4.0000e-01        0.0000e+00     
7.5000e-01        0.0000e+00     
1.2500e+00        0.0000e+00     
1.9000e+00        0.0000e+00     
2.6900e+00        0.0000e+00     
3.6000e+00        0.0000e+00     
5.1500e+00        0.0000e+00     
7.2500e+00        0.0000e+00     
9.3000e+00        0.0000e+00     
1.2050e+01        0.0000e+00     
1.5150e+01        0.0000e+00     
1.7250e+01        0.0000e+00     
1.8500e+01        0.0000e+00     
1.9750e+01        0.0000e+00     
2.1250e+01        0.0000e+00     
2.3000e+01        0.0000e+00     
2.5000e+01        0.0000e+00     
2.5700e+01        0.0000e+00     
2.7000e+01        0.0000e+00     
3.0380e+01        0.0000e+00     
4.3500e+01        0.0000e+00     
5.0740e+01        5.7000e-03     
5.0770e+01        5.8667e-03     
5.0820e+01        6.1246e-03     
5.2220e+01        1.3826e-02     
5.2580e+01        1.5801e-02     
5.3700e+01        2.1943e-02     
5.5330e+01        3.0769e-02     
5.5410e+01        3.1283e-02     
5.5450e+01        3.1627e-02     
5.5530e+01        3.1858e-02     
5.8270e+01        4.6977e-02     
5.8520e+01        4.4690e-02     
5.9000e+01        4.3913e-02     
6.0500e+01        4.1909e-02     
6.1000e+01        4.2437e-02     
6.1500e+01        4.0562e-02     
6.2000e+01        2.2691e-02     
6.2500e+01        3.9682e-02     
6.3000e+01        3.9682e-02     
6.3690e+01        3.4194e-02     
6.4000e+01        3.1898e-02     
6.5000e+01        2.3915e-02     
6.5950e+01        1.6618e-02     
6.6500e+01        3.9682e-02     
6.7000e+01        2.4279e-02     
6.7500e+01        1.5814e-02     
6.7700e+01        1.5991e-02     
6.8000e+01        3.4279e-02     
6.8200e+01        3.1898e-02     
6.8300e+01        3.6116e-02     
6.8500e+01        2.9487e-02     
6.8600e+01        5.4795e-02     
6.8700e+01        4.8193e-02     
6.8870e+01        6.5385e-02     
6.8930e+01        4.0562e-02     
6.8960e+01        5.2273e-02     
6.9000e+01        6.4516e-02     
6.9040e+01        6.5172e-02     
6.9090e+01        5.0249e-02     
6.9150e+01        5.8621e-02     
6.9210e+01        5.9064e-02     
6.9240e+01        3.4471e-02     
6.9290e+01        3.6201e-02     
6.9320e+01        3.3707e-02     
6.9360e+01        8.6250e-02     
6.9410e+01        5.7869e-02     
6.9440e+01        5.0182e-02     
6.9480e+01        5.0746e-02     
6.9570e+01        2.8427e-02     
6.9620e+01        4.3483e-02     
6.9660e+01        3.0872e-02     
6.9700e+01        3.0396e-02     
6.9730e+01        2.3105e-02     
6.9780e+01        7.8099e-02     
6.9850e+01        2.7802e-02     
6.9900e+01        3.1625e-02     
6.9950e+01        3.8492e-02     
7.0000e+01        5.1269e-02     
7.0050e+01        4.9204e-02     
7.0140e+01        3.4279e-02     
7.0190e+01        5.4795e-02     
7.0230e+01        6.9347e-02     
7.0300e+01        5.4795e-02     
7.0360e+01        4.1818e-02     
7.0410e+01        3.7097e-02     
7.0460e+01        4.6119e-02     
7.0500e+01        5.7692e-02     
7.0580e+01        4.8827e-02     
7.0630e+01        3.5025e-02     
7.0700e+01        1.1600e-01     
7.0760e+01        6.9355e-02     
7.0800e+01        5.4795e-02     
7.0850e+01        2.7802e-02     
7.0900e+01        4.1224e-02     
7.0930e+01        3.1898e-02     
7.0980e+01        6.0932e-02     
7.1060e+01        1.1201e-01     
7.1140e+01        7.4411e-02     
7.1170e+01        7.0248e-02     
7.1200e+01        6.6029e-02     
7.1240e+01        6.5934e-02     
7.1290e+01        7.4194e-02     
7.1330e+01        7.4510e-02     
7.1360e+01        6.5934e-02     
7.1410e+01        3.4897e-02     
7.1460e+01        6.1044e-02     
7.1490e+01        4.4091e-02     
7.1550e+01        4.6989e-02     
7.1600e+01        8.8000e-02     
7.1630e+01        8.2772e-02     
7.1680e+01        6.9485e-02     
7.1750e+01        9.6132e-02     
7.1800e+01        8.2428e-02     
7.1900e+01        9.0201e-02     
7.1940e+01        7.7273e-02     
7.1990e+01        6.9388e-02     
7.2040e+01        8.2796e-02     
7.2080e+01        7.3422e-02     
7.2130e+01        5.9701e-02     
7.2180e+01        1.0000e-01     
7.2230e+01        7.1429e-02     
7.2280e+01        8.5393e-02     
7.2350e+01        9.1701e-02     
7.2400e+01        8.1731e-02     
7.2500e+01        7.3089e-02     
7.2550e+01        6.9712e-02     
7.2620e+01        1.5489e-01     
7.2720e+01        8.6053e-02     
7.2760e+01        1.1705e-01     
7.2800e+01        7.2125e-02     
7.2840e+01        5.8723e-02     
7.2890e+01        6.0914e-02     
7.2940e+01        1.2714e-01     
7.3010e+01        8.4753e-02     
7.3080e+01        7.0175e-02     
7.3160e+01        6.3333e-02     
7.3210e+01        4.9886e-02     
7.3310e+01        5.7124e-02     
7.3360e+01        1.0895e-01     
7.3410e+01        6.5094e-02     
7.3480e+01        1.7004e-01     
7.3510e+01        1.0687e-01     
7.3550e+01        1.2589e-01     
7.3580e+01        5.3812e-02     
7.3620e+01        6.6029e-02     
7.3730e+01        4.6309e-02     
7.3830e+01        2.8000e-02     
7.3910e+01        4.1138e-02     
7.3980e+01        7.1698e-02     
7.4020e+01        3.4027e-02     
7.4070e+01        7.1134e-02     
7.4100e+01        8.8083e-02     
7.4150e+01        1.7092e-01     
7.4200e+01        1.3293e-01     
7.4320e+01        6.3125e-02     
7.4480e+01        6.8819e-02     
7.4510e+01        6.4744e-02     
7.4560e+01        1.0000e-01     
7.4620e+01        8.1818e-02     
7.4700e+01        7.2632e-02     
7.4770e+01        1.4109e-01     
7.4850e+01        1.3897e-01     
7.4950e+01        8.0702e-02     
7.5050e+01        7.7692e-02     
7.5150e+01        3.0735e-01     
7.5250e+01        1.6088e-01     
7.5380e+01        1.2302e-01     
7.5420e+01        8.4544e-02     
7.5470e+01        6.0050e-02     
