CO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.17790000e+02      4.82810000e-20      
1.17920000e+02      3.56950000e-20      
1.18060000e+02      3.65230000e-20      
1.18200000e+02      5.76910000e-20      
1.18340000e+02      1.17410000e-19      
1.18480000e+02      5.16700000e-20      
1.18620000e+02      2.58170000e-20      
1.18760000e+02      2.84510000e-20      
1.18910000e+02      2.86650000e-20      
1.19050000e+02      3.24430000e-20      
1.19190000e+02      4.25770000e-20      
1.19330000e+02      4.16170000e-20      
1.19470000e+02      3.95300000e-20      
1.19620000e+02      3.16070000e-20      
1.19760000e+02      3.15570000e-20      
1.19900000e+02      3.77180000e-20      
1.20050000e+02      4.24800000e-20      
1.20190000e+02      4.24270000e-20      
1.20340000e+02      3.79260000e-20      
1.20480000e+02      4.00300000e-20      
1.20630000e+02      4.36240000e-20      
1.20770000e+02      4.88140000e-20      
1.20920000e+02      5.42770000e-20      
1.21070000e+02      5.22420000e-20      
1.21210000e+02      5.30250000e-20      
1.21360000e+02      5.10240000e-20      
1.21510000e+02      5.93170000e-20      
1.21650000e+02      7.30880000e-20      
1.21800000e+02      7.27870000e-20      
1.21950000e+02      7.50060000e-20      
1.22100000e+02      7.36490000e-20      
1.22250000e+02      7.24290000e-20      
1.22400000e+02      9.06900000e-20      
1.22550000e+02      9.69000000e-20      
1.22700000e+02      8.40860000e-20      
1.22850000e+02      9.11170000e-20      
1.23000000e+02      9.59050000e-20      
1.23150000e+02      1.00050000e-19      
1.23300000e+02      1.23080000e-19      
1.23460000e+02      1.19190000e-19      
1.23610000e+02      1.13550000e-19      
1.23760000e+02      1.29520000e-19      
1.23920000e+02      1.49280000e-19      
1.24070000e+02      1.49060000e-19      
1.24220000e+02      1.76630000e-19      
1.24380000e+02      1.71380000e-19      
1.24530000e+02      1.44790000e-19      
1.24690000e+02      1.59280000e-19      
1.24840000e+02      2.19660000e-19      
1.25000000e+02      2.07740000e-19      
1.25160000e+02      2.32230000e-19      
1.25310000e+02      2.33890000e-19      
1.25470000e+02      1.84970000e-19      
1.25630000e+02      1.88370000e-19      
1.25790000e+02      2.51780000e-19      
1.25940000e+02      3.23610000e-19      
1.26100000e+02      3.30330000e-19      
1.26260000e+02      3.41370000e-19      
1.26420000e+02      2.63920000e-19      
1.26580000e+02      2.21120000e-19      
1.26740000e+02      2.59360000e-19      
1.26900000e+02      4.30470000e-19      
1.27060000e+02      4.24160000e-19      
1.27230000e+02      5.04250000e-19      
1.27390000e+02      3.86170000e-19      
1.27550000e+02      2.88690000e-19      
1.27710000e+02      2.93200000e-19      
1.27880000e+02      4.29410000e-19      
1.28040000e+02      6.23030000e-19      
1.28210000e+02      5.64640000e-19      
1.28370000e+02      5.75530000e-19      
1.28530000e+02      4.31560000e-19      
1.28700000e+02      3.54900000e-19      
1.28870000e+02      3.95590000e-19      
1.29030000e+02      7.50420000e-19      
1.29200000e+02      7.92020000e-19      
1.29370000e+02      6.64310000e-19      
1.29530000e+02      5.67780000e-19      
1.29700000e+02      4.36690000e-19      
1.29870000e+02      4.18840000e-19      
1.30040000e+02      5.85360000e-19      
1.30210000e+02      1.12840000e-18      
1.30380000e+02      8.39470000e-19      
1.30550000e+02      6.96980000e-19      
1.30720000e+02      5.66510000e-19      
1.30890000e+02      4.82410000e-19      
1.31060000e+02      5.36030000e-19      
1.31230000e+02      9.69520000e-19      
1.31410000e+02      1.00600000e-18      
1.31580000e+02      9.09160000e-19      
1.31750000e+02      7.64260000e-19      
1.31930000e+02      5.96130000e-19      
1.32100000e+02      5.42790000e-19      
1.32280000e+02      7.85480000e-19      
1.32450000e+02      1.09790000e-18      
1.32630000e+02      9.03590000e-19      
1.32800000e+02      8.44250000e-19      
1.32980000e+02      6.95280000e-19      
1.33160000e+02      5.96880000e-19      
1.33330000e+02      7.50190000e-19      
1.33510000e+02      1.03120000e-18      
1.33690000e+02      8.43890000e-19      
1.33870000e+02      8.47800000e-19      
1.34050000e+02      6.95970000e-19      
1.34230000e+02      5.86970000e-19      
1.34410000e+02      5.83210000e-19      
1.34590000e+02      8.00950000e-19      
1.34770000e+02      1.22230000e-18      
1.34950000e+02      7.12740000e-19      
1.35140000e+02      6.14060000e-19      
1.35320000e+02      5.71570000e-19      
1.35500000e+02      5.28690000e-19      
1.35690000e+02      5.77430000e-19      
1.35870000e+02      8.81240000e-19      
1.36050000e+02      8.14950000e-19      
1.36240000e+02      5.89290000e-19      
1.36430000e+02      5.63740000e-19      
1.36610000e+02      5.31490000e-19      
1.36800000e+02      6.15410000e-19      
1.36990000e+02      6.58920000e-19      
1.37170000e+02      5.62880000e-19      
1.37360000e+02      5.12360000e-19      
1.37550000e+02      4.91540000e-19      
1.37740000e+02      4.93200000e-19      
1.37930000e+02      6.59030000e-19      
1.38120000e+02      5.50870000e-19      
1.38310000e+02      4.93160000e-19      
1.38500000e+02      5.18510000e-19      
1.38700000e+02      4.78680000e-19      
1.38890000e+02      4.61260000e-19      
1.39080000e+02      4.99290000e-19      
1.39280000e+02      5.12910000e-19      
1.39470000e+02      5.03880000e-19      
1.39660000e+02      4.50670000e-19      
1.39860000e+02      4.76280000e-19      
1.40060000e+02      5.19380000e-19      
