ClNO_+_hv_=>_Cl_+_NO.txt
wavelength          300K                
1.00000000e-01      1.00000000e+00      
5.00000000e-01      1.00000000e+00      
1.20000000e+00      1.00000000e+00      
2.60000000e+00      1.00000000e+00      
4.50000000e+00      1.00000000e+00      
6.00000000e+00      1.00000000e+00      
1.20000000e+01      1.00000000e+00      
2.00000000e+01      1.00000000e+00      
2.50000000e+01      1.00000000e+00      
3.00000000e+01      1.00000000e+00      
3.50000000e+01      1.00000000e+00      
4.00000000e+01      1.00000000e+00      
4.50000000e+01      1.00000000e+00      
5.00000000e+01      1.00000000e+00      
5.50000000e+01      1.00000000e+00      
6.22500000e+01      1.00000000e+00      
8.41500000e+01      1.00000000e+00      
8.77900000e+01      1.00000000e+00      
1.15000000e+02      1.00000000e+00      
1.20000000e+02      1.00000000e+00      
1.25000000e+02      1.00000000e+00      
1.30000000e+02      1.00000000e+00      
1.35000000e+02      1.00000000e+00      
1.40000000e+02      1.00000000e+00      
1.45000000e+02      1.00000000e+00      
1.50000000e+02      1.00000000e+00      
1.55000000e+02      1.00000000e+00      
1.60000000e+02      1.00000000e+00      
1.65000000e+02      1.00000000e+00      
1.70000000e+02      1.00000000e+00      
1.75000000e+02      1.00000000e+00      
1.80000000e+02      1.00000000e+00      
1.85000000e+02      1.00000000e+00      
1.90000000e+02      1.00000000e+00      
2.00000000e+02      1.00000000e+00      
2.10000000e+02      1.00000000e+00      
2.20000000e+02      1.00000000e+00      
2.30000000e+02      1.00000000e+00      
2.40000000e+02      1.00000000e+00      
2.60000000e+02      1.00000000e+00      
2.80000000e+02      1.00000000e+00      
3.00000000e+02      1.00000000e+00      
3.20000000e+02      1.00000000e+00      
3.40000000e+02      1.00000000e+00      
3.60000000e+02      1.00000000e+00      
3.80000000e+02      1.00000000e+00      
4.00000000e+02      1.00000000e+00      
4.20000000e+02      1.00000000e+00      
4.36000000e+02      1.00000000e+00      
4.40000000e+02      1.00000000e+00      
4.60000000e+02      1.00000000e+00      
4.72000000e+02      1.00000000e+00      
4.80000000e+02      1.00000000e+00      
5.00000000e+02      1.00000000e+00      
5.20000000e+02      1.00000000e+00      
5.40000000e+02      1.00000000e+00      
5.41000000e+02      1.00000000e+00      
5.48000000e+02      1.00000000e+00      
5.56000000e+02      1.00000000e+00      
5.63000000e+02      1.00000000e+00      
5.71000000e+02      1.00000000e+00      
5.80000000e+02      1.00000000e+00      
5.88000000e+02      1.00000000e+00      
5.97000000e+02      1.00000000e+00      
6.06000000e+02      1.00000000e+00      
6.15000000e+02      1.00000000e+00      
6.25000000e+02      1.00000000e+00      
6.35000000e+02      1.00000000e+00      
6.45000000e+02      1.00000000e+00      
6.56000000e+02      1.00000000e+00      
6.67000000e+02      1.00000000e+00      
6.70000000e+02      1.00000000e+00      
7.74800000e+02      1.00000000e+00      
