ClNO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      3.47000000e-21      
5.00000000e-01      2.56000000e-20      
1.20000000e+00      3.52000000e-19      
2.60000000e+00      1.50000000e-18      
4.50000000e+00      3.17000000e-18      
6.00000000e+00      7.95000000e-19      
1.20000000e+01      3.75000000e-18      
2.00000000e+01      8.76000000e-18      
2.50000000e+01      1.19000000e-17      
3.00000000e+01      1.45000000e-17      
3.50000000e+01      1.72000000e-17      
4.00000000e+01      2.02000000e-17      
4.50000000e+01      2.62000000e-17      
5.00000000e+01      3.53000000e-17      
5.50000000e+01      4.35000000e-17      
6.22500000e+01      5.56000000e-17      
8.41500000e+01      6.32000000e-17      
8.77900000e+01      6.99000000e-17      
1.15000000e+02      3.74000000e-17      
1.20000000e+02      3.41000000e-17      
1.25000000e+02      3.25000000e-17      
1.30000000e+02      2.07000000e-17      
1.35000000e+02      2.64000000e-17      
1.40000000e+02      3.98000000e-17      
1.45000000e+02      3.00000000e-17      
1.50000000e+02      3.86000000e-17      
1.55000000e+02      2.44000000e-17      
1.60000000e+02      6.33000000e-18      
1.65000000e+02      3.78000000e-18      
1.70000000e+02      3.57000000e-18      
1.75000000e+02      3.05000000e-18      
1.80000000e+02      5.48000000e-18      
1.85000000e+02      1.42000000e-17      
1.90000000e+02      5.27000000e-17      
2.00000000e+02      6.97000000e-17      
2.10000000e+02      3.18000000e-17      
2.20000000e+02      1.17000000e-17      
2.30000000e+02      3.77000000e-18      
2.40000000e+02      1.34000000e-18      
2.60000000e+02      1.80000000e-19      
2.80000000e+02      1.03000000e-19      
3.00000000e+02      9.50000000e-20      
3.20000000e+02      1.21000000e-19      
3.40000000e+02      1.37000000e-19      
3.60000000e+02      1.22000000e-19      
3.80000000e+02      8.32000000e-20      
4.00000000e+02      5.14000000e-20      
4.20000000e+02      2.83000000e-20      
4.36000000e+02      2.32000000e-20      
4.40000000e+02      2.28000000e-20      
4.60000000e+02      2.16000000e-20      
4.72000000e+02      2.74000000e-20      
4.80000000e+02      2.56000000e-20      
5.00000000e+02      1.39000000e-20      
5.20000000e+02      5.58000000e-21      
5.40000000e+02      2.24000000e-21      
5.41000000e+02      2.30000000e-21      
5.48000000e+02      2.70000000e-21      
5.56000000e+02      1.71000000e-21      
5.63000000e+02      1.52000000e-21      
5.71000000e+02      8.55000000e-22      
5.80000000e+02      8.55000000e-22      
5.88000000e+02      2.15000000e-21      
5.97000000e+02      3.82000000e-21      
6.06000000e+02      2.70000000e-21      
6.15000000e+02      2.70000000e-21      
6.25000000e+02      1.71000000e-21      
6.35000000e+02      1.21000000e-21      
6.45000000e+02      5.40000000e-22      
6.56000000e+02      3.82000000e-22      
6.67000000e+02      2.70000000e-22      
6.70000000e+02      2.41000000e-22      
7.74800000e+02      1.00000000e-22      
