ClO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
2.17630000e+02      8.62000000e-20      
2.19310000e+02      1.38000000e-19      
2.20600000e+02      1.82000000e-19      
2.21890000e+02      1.96000000e-19      
2.23130000e+02      2.70000000e-19      
2.24420000e+02      2.99000000e-19      
2.25590000e+02      3.80000000e-19      
2.26940000e+02      4.24000000e-19      
2.28170000e+02      4.90000000e-19      
2.29290000e+02      5.87000000e-19      
2.30580000e+02      6.53000000e-19      
2.31700000e+02      7.41000000e-19      
2.32880000e+02      8.38000000e-19      
2.33950000e+02      9.48000000e-19      
2.34900000e+02      1.06000000e-18      
2.35960000e+02      1.16000000e-18      
2.36860000e+02      1.29000000e-18      
2.37870000e+02      1.41000000e-18      
2.38820000e+02      1.54000000e-18      
2.39720000e+02      1.67000000e-18      
2.40610000e+02      1.80000000e-18      
2.41510000e+02      1.94000000e-18      
2.42410000e+02      2.10000000e-18      
2.43300000e+02      2.24000000e-18      
2.44090000e+02      2.38000000e-18      
2.44870000e+02      2.53000000e-18      
2.45600000e+02      2.68000000e-18      
2.46380000e+02      2.83000000e-18      
2.47170000e+02      2.97000000e-18      
2.47900000e+02      3.13000000e-18      
2.48620000e+02      3.26000000e-18      
2.49070000e+02      3.38000000e-18      
2.49850000e+02      3.53000000e-18      
2.50530000e+02      3.69000000e-18      
2.51250000e+02      3.85000000e-18      
2.51980000e+02      4.01000000e-18      
2.52710000e+02      4.16000000e-18      
2.53700000e+02      4.35000000e-18      
2.54280000e+02      4.49000000e-18      
2.55010000e+02      4.64000000e-18      
2.55730000e+02      4.79000000e-18      
2.56570000e+02      4.93000000e-18      
2.57360000e+02      5.08000000e-18      
2.58140000e+02      5.22000000e-18      
2.59040000e+02      5.35000000e-18      
2.59990000e+02      5.49000000e-18      
2.60890000e+02      5.61000000e-18      
2.61840000e+02      5.74000000e-18      
2.62900000e+02      5.87000000e-18      
2.63970000e+02      5.97000000e-18      
2.65200000e+02      6.04000000e-18      
2.66490000e+02      6.06000000e-18      
2.67670000e+02      6.05000000e-18      
2.68910000e+02      6.07000000e-18      
2.69580000e+02      6.01000000e-18      
2.69970000e+02      6.26000000e-18      
2.70200000e+02      6.06000000e-18      
2.70650000e+02      5.77000000e-18      
2.70920000e+02      6.14000000e-18      
2.71150000e+02      6.51000000e-18      
2.71430000e+02      6.18000000e-18      
2.71600000e+02      5.83000000e-18      
2.71890000e+02      5.38000000e-18      
2.72050000e+02      5.86000000e-18      
2.72270000e+02      6.26000000e-18      
2.72600000e+02      6.70000000e-18      
2.72770000e+02      6.23000000e-18      
2.72950000e+02      5.94000000e-18      
2.73170000e+02      5.51000000e-18      
2.73350000e+02      4.83000000e-18      
2.73460000e+02      5.25000000e-18      
2.73730000e+02      5.62000000e-18      
2.73840000e+02      6.05000000e-18      
2.74170000e+02      6.85000000e-18      
2.74400000e+02      6.11000000e-18      
2.74580000e+02      5.68000000e-18      
2.74860000e+02      4.95000000e-18      
2.75040000e+02      4.34000000e-18      
2.75480000e+02      5.32000000e-18      
2.75690000e+02      6.10000000e-18      
2.75960000e+02      7.06000000e-18      
2.76250000e+02      6.50000000e-18      
2.76310000e+02      5.79000000e-18      
2.76600000e+02      5.06000000e-18      
2.76720000e+02      4.14000000e-18      
2.76950000e+02      3.66000000e-18      
2.77330000e+02      4.77000000e-18      
2.77550000e+02      5.60000000e-18      
2.77710000e+02      6.22000000e-18      
2.77870000e+02      7.18000000e-18      
2.78160000e+02      6.38000000e-18      
2.78500000e+02      5.49000000e-18      
2.78680000e+02      4.72000000e-18      
2.79020000e+02      3.86000000e-18      
2.79200000e+02      3.14000000e-18      
2.79530000e+02      3.99000000e-18      
2.79580000e+02      4.75000000e-18      
2.79740000e+02      5.53000000e-18      
2.79840000e+02      6.28000000e-18      
2.80060000e+02      7.02000000e-18      
2.80350000e+02      6.06000000e-18      
2.80580000e+02      5.26000000e-18      
2.80760000e+02      4.54000000e-18      
2.80930000e+02      3.83000000e-18      
2.81220000e+02      3.22000000e-18      
2.81510000e+02      2.51000000e-18      
2.81670000e+02      3.07000000e-18      
2.81830000e+02      3.71000000e-18      
2.82050000e+02      4.42000000e-18      
2.82210000e+02      5.28000000e-18      
2.82430000e+02      6.11000000e-18      
2.82640000e+02      6.85000000e-18      
2.82820000e+02      5.91000000e-18      
2.83000000e+02      5.14000000e-18      
2.83230000e+02      4.28000000e-18      
2.83400000e+02      3.70000000e-18      
2.83690000e+02      2.53000000e-18      
2.84200000e+02      2.03000000e-18      
2.84530000e+02      2.52000000e-18      
2.84700000e+02      3.10000000e-18      
2.84800000e+02      3.70000000e-18      
2.84900000e+02      4.33000000e-18      
2.84910000e+02      4.32000000e-18      
2.85120000e+02      5.54000000e-18      
2.85340000e+02      6.20000000e-18      
2.85580000e+02      5.19000000e-18      
2.85810000e+02      4.46000000e-18      
2.85930000e+02      3.76000000e-18      
2.86160000e+02      3.17000000e-18      
2.86270000e+02      2.61000000e-18      
2.86670000e+02      2.02000000e-18      
2.87180000e+02      1.57000000e-18      
2.87460000e+02      2.03000000e-18      
2.87560000e+02      2.52000000e-18      
2.87730000e+02      3.03000000e-18      
2.87780000e+02      3.65000000e-18      
2.87990000e+02      4.58000000e-18      
2.88040000e+02      5.21000000e-18      
2.88260000e+02      5.58000000e-18      
2.88380000e+02      5.05000000e-18      
2.88610000e+02      4.33000000e-18      
2.88730000e+02      3.59000000e-18      
2.88960000e+02      2.93000000e-18      
2.89080000e+02      2.41000000e-18      
2.89310000e+02      1.94000000e-18      
2.89760000e+02      1.38000000e-18      
2.90380000e+02      1.11000000e-18      
2.90550000e+02      1.46000000e-18      
2.90660000e+02      1.85000000e-18      
2.90760000e+02      2.30000000e-18      
2.90870000e+02      2.84000000e-18      
2.90980000e+02      3.45000000e-18      
2.91250000e+02      3.96000000e-18      
2.91470000e+02      4.51000000e-18      
2.91700000e+02      3.90000000e-18      
2.91880000e+02      3.32000000e-18      
2.92110000e+02      2.73000000e-18      
2.92170000e+02      2.18000000e-18      
2.92340000e+02      1.74000000e-18      
2.92680000e+02      1.23000000e-18      
2.93580000e+02      8.45000000e-19      
2.93920000e+02      1.19000000e-18      
2.94080000e+02      1.59000000e-18      
2.94300000e+02      2.16000000e-18      
2.94630000e+02      2.76000000e-18      
2.94790000e+02      3.40000000e-18      
2.95080000e+02      2.78000000e-18      
2.95370000e+02      2.15000000e-18      
2.95590000e+02      1.64000000e-18      
2.95710000e+02      1.20000000e-18      
2.96280000e+02      7.69000000e-19      
2.97230000e+02      5.24000000e-19      
2.97570000e+02      8.21000000e-19      
2.97730000e+02      1.23000000e-18      
2.97900000e+02      1.61000000e-18      
2.98170000e+02      2.04000000e-18      
2.98390000e+02      2.40000000e-18      
2.98620000e+02      2.09000000e-18      
2.98900000e+02      1.72000000e-18      
2.99129999e+02      1.41000000e-18      
2.99130000e+02      1.39000000e-18      
2.99360000e+02      8.20000000e-19      
2.99700000e+02      4.94000000e-19      
3.01110000e+02      2.78000000e-19      
3.01500000e+02      5.08000000e-19      
3.01720000e+02      7.75000000e-19      
3.01880000e+02      1.10000000e-18      
3.02380000e+02      1.55000000e-18      
3.02670000e+02      1.15000000e-18      
3.03060000e+02      7.22000000e-19      
3.03400000e+02      3.66000000e-19      
3.03970000e+02      1.73000000e-19      
3.04530000e+02      2.40000000e-19      
3.05090000e+02      1.35000000e-19      
3.05480000e+02      2.91000000e-19      
3.05870000e+02      5.73000000e-19      
3.06430000e+02      7.58000000e-19      
3.06940000e+02      4.61000000e-19      
3.07560000e+02      1.72000000e-19      
3.08120000e+02      3.78000000e-20      
3.08740000e+02      1.41000000e-19      
3.09350000e+02      2.99000000e-20      
3.09860000e+02      1.71000000e-19      
3.10640000e+02      3.19000000e-19      
3.11650000e+02      9.59000000e-20      
3.13230000e+02      3.59000000e-20      
3.15240000e+02      5.74000000e-20      
3.16870000e+02      4.87000000e-21      
3.18560000e+02      4.25000000e-21      
