H2CO + hv => CO + H + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      1.00000000e-03      
1.00000000e+00      8.49450000e-03      
2.25000000e+00      1.89470000e-02      
2.35000000e+00      1.97500000e-02      
4.10000000e+00      3.43640000e-02      
4.30000000e+00      3.60000000e-02      
5.00000000e+00      4.20000000e-02      
1.00000000e+01      8.38460000e-02      
2.00000000e+01      1.66780000e-01      
3.00000000e+01      2.50000000e-01      
4.00000000e+01      3.33100000e-01      
5.00000000e+01      4.16570000e-01      
6.00000000e+01      5.00000000e-01      
6.15000000e+01      5.60610000e-01      
6.24000000e+01      5.06450000e-01      
6.28000000e+01      6.00000000e-01      
6.34000000e+01      5.74290000e-01      
6.42000000e+01      5.43240000e-01      
6.60000000e+01      4.41180000e-01      
6.70000000e+01      3.00000000e-01      
6.80000000e+01      4.69440000e-01      
6.90000000e+01      4.29800000e-01      
7.04000000e+01      3.89680000e-01      
7.19000000e+01      3.96970000e-01      
7.21000000e+01      3.91890000e-01      
7.23000000e+01      3.75680000e-01      
7.25000000e+01      3.56670000e-01      
7.35000000e+01      2.72120000e-01      
7.37000000e+01      2.54980000e-01      
7.41000000e+01      2.38930000e-01      
7.44000000e+01      2.66000000e-01      
7.50000000e+01      3.20590000e-01      
7.52000000e+01      3.22980000e-01      
7.60000000e+01      3.40630000e-01      
7.70000000e+01      3.51350000e-01      
7.74000000e+01      3.97140000e-01      
7.78000000e+01      4.45450000e-01      
7.80000000e+01      4.70730000e-01      
7.85000000e+01      4.45830000e-01      
7.91000000e+01      4.25000000e-01      
7.93000000e+01      4.35210000e-01      
8.00000000e+01      4.70210000e-01      
8.01000000e+01      4.61540000e-01      
8.05000000e+01      4.34150000e-01      
8.07000000e+01      4.21210000e-01      
8.12000000e+01      4.00000000e-01      
8.13000000e+01      4.00000000e-01      
8.15000000e+01      4.00000000e-01      
8.30000000e+01      4.00000000e-01      
8.32000000e+01      4.00000000e-01      
8.38000000e+01      4.00000000e-01      
8.40000000e+01      4.00000000e-01      
8.44000000e+01      4.00000000e-01      
8.50000000e+01      3.99170000e-01      
8.53000000e+01      4.00000000e-01      
8.57000000e+01      4.00000000e-01      
8.60000000e+01      4.00000000e-01      
8.67000000e+01      2.21160000e-01      
8.70000000e+01      2.51000000e-01      
8.75000000e+01      3.00000000e-01      
8.79000000e+01      3.16960000e-01      
8.81000000e+01      3.23850000e-01      
8.82000000e+01      3.50000000e-01      
9.00000000e+01      4.00000000e-01      
9.06000000e+01      4.61110000e-01      
9.10000000e+01      5.00000000e-01      
9.15000000e+01      5.00000000e-01      
9.19000000e+01      5.00000000e-01      
9.27000000e+01      4.44000000e-01      
9.28000000e+01      4.35590000e-01      
9.30000000e+01      4.19230000e-01      
9.33000000e+01      4.01920000e-01      
9.35000000e+01      3.90140000e-01      
9.38000000e+01      3.72340000e-01      
9.44000000e+01      3.23880000e-01      
9.50000000e+01      2.71060000e-01      
9.56000000e+01      2.75860000e-01      
9.60000000e+01      2.80000000e-01      
9.65000000e+01      2.00000000e-01      
9.70000000e+01      1.20000000e-01      
9.72000000e+01      1.76120000e-01      
9.81000000e+01      3.68750000e-01      
9.90000000e+01      1.00000000e-01      
1.00000000e+02      5.00000000e-02      
1.04300000e+02      1.00000000e-01      
1.04310000e+02      1.00620000e-01      
1.10000000e+02      6.20530000e-01      
1.14170000e+02      1.00000000e+00      
1.15000000e+02      1.00000000e+00      
1.16000000e+02      1.00000000e+00      
1.16400000e+02      1.00000000e+00      
1.16800000e+02      1.00000000e+00      
1.17200000e+02      1.00000000e+00      
1.17700000e+02      1.00000000e+00      
1.18100000e+02      1.00000000e+00      
1.18500000e+02      1.00000000e+00      
1.18900000e+02      1.00000000e+00      
1.19200000e+02      1.00000000e+00      
1.20500000e+02      1.00000000e+00      
1.21000000e+02      1.00000000e+00      
1.21500000e+02      1.00000000e+00      
1.22200000e+02      1.00000000e+00      
1.22600000e+02      1.00000000e+00      
1.23400000e+02      1.00000000e+00      
1.23700000e+02      1.00000000e+00      
1.24000000e+02      1.00000000e+00      
1.25600000e+02      1.00000000e+00      
1.26000000e+02      1.00000000e+00      
1.26600000e+02      1.00000000e+00      
1.28300000e+02      1.00000000e+00      
1.28800000e+02      1.00000000e+00      
1.29100000e+02      1.00000000e+00      
1.29300000e+02      1.00000000e+00      
1.29800000e+02      1.00000000e+00      
1.30200000e+02      1.00000000e+00      
1.30600000e+02      1.00000000e+00      
1.32100000e+02      1.00000000e+00      
1.33000000e+02      1.00000000e+00      
1.33900000e+02      1.00000000e+00      
1.34700000e+02      1.00000000e+00      
1.35000000e+02      1.00000000e+00      
1.35800000e+02      1.00000000e+00      
1.37000000e+02      1.00000000e+00      
1.37400000e+02      1.00000000e+00      
1.37700000e+02      1.00000000e+00      
1.38800000e+02      1.00000000e+00      
1.39400000e+02      1.00000000e+00      
1.39800000e+02      1.00000000e+00      
1.40000000e+02      1.00000000e+00      
1.41000000e+02      1.00000000e+00      
1.45000000e+02      1.00000000e+00      
1.47500000e+02      1.00000000e+00      
1.49000000e+02      1.00000000e+00      
1.50100000e+02      1.00000000e+00      
1.50600000e+02      1.00000000e+00      
1.51500000e+02      1.00000000e+00      
1.52000000e+02      1.00000000e+00      
1.52400000e+02      1.00000000e+00      
1.52800000e+02      1.00000000e+00      
1.53300000e+02      1.00000000e+00      
1.55000000e+02      1.00000000e+00      
1.55700000e+02      1.00000000e+00      
1.56000000e+02      1.00000000e+00      
1.57000000e+02      1.00000000e+00      
1.66000000e+02      1.00000000e+00      
1.68000000e+02      1.00000000e+00      
1.70000000e+02      1.00000000e+00      
1.71000000e+02      1.00000000e+00      
1.72400000e+02      1.00000000e+00      
1.73200000e+02      1.00000000e+00      
1.74000000e+02      1.00000000e+00      
1.74500000e+02      1.00000000e+00      
1.75000000e+02      1.00000000e+00      
1.75800000e+02      1.00000000e+00      
1.76000000e+02      1.00000000e+00      
1.80000000e+02      1.00000000e+00      
1.85000000e+02      1.00000000e+00      
2.00000000e+02      8.61540000e-01      
2.10000000e+02      7.17500000e-01      
2.20000000e+02      5.76000000e-01      
2.30000000e+02      4.36110000e-01      
2.40000000e+02      2.94000000e-01      
2.50000000e+02      1.52080000e-01      
2.56000000e+02      1.21000000e-01      
2.58500000e+02      1.44040000e-01      
2.60000000e+02      1.58000000e-01      
2.61200000e+02      1.70000000e-01      
2.61800000e+02      1.74800000e-01      
2.62500000e+02      1.81600000e-01      
2.63470000e+02      1.90910000e-01      
2.64000000e+02      1.95000000e-01      
2.64500000e+02      1.99600000e-01      
2.66500000e+02      2.18400000e-01      
2.67250000e+02      2.25000000e-01      
2.67500000e+02      2.27500000e-01      
2.68250000e+02      2.34620000e-01      
2.69000000e+02      2.41540000e-01      
2.70000000e+02      2.50770000e-01      
2.71000000e+02      2.33000000e-01      
2.71360000e+02      2.16190000e-01      
2.71600000e+02      2.05000000e-01      
2.73000000e+02      1.40000000e-01      
2.74500000e+02      6.96000000e-02      
2.75000000e+02      4.61540000e-02      
2.75000001e+02      0.00000000e+00      
2.75500000e+02      0.00000000e+00      
2.76260000e+02      0.00000000e+00      
2.76650000e+02      0.00000000e+00      
2.78000000e+02      0.00000000e+00      
2.79760000e+02      0.00000000e+00      
2.80700000e+02      0.00000000e+00      
2.81000000e+02      0.00000000e+00      
2.82500000e+02      0.00000000e+00      
2.83000000e+02      0.00000000e+00      
2.83500000e+02      0.00000000e+00      
2.84700000e+02      0.00000000e+00      
2.85000000e+02      0.00000000e+00      
2.87000000e+02      0.00000000e+00      
2.87500000e+02      0.00000000e+00      
2.88590000e+02      0.00000000e+00      
2.90000000e+02      0.00000000e+00      
2.91000000e+02      0.00000000e+00      
2.92000000e+02      0.00000000e+00      
2.92500000e+02      0.00000000e+00      
2.93810000e+02      0.00000000e+00      
2.94800000e+02      0.00000000e+00      
2.95000000e+02      0.00000000e+00      
2.95500000e+02      0.00000000e+00      
2.97000000e+02      0.00000000e+00      
2.98570000e+02      0.00000000e+00      
2.99500000e+02      0.00000000e+00      
3.00700000e+02      0.00000000e+00      
3.01200000e+02      0.00000000e+00      
3.02000000e+02      0.00000000e+00      
3.02800000e+02      0.00000000e+00      
3.04180000e+02      0.00000000e+00      
3.05000000e+02      0.00000000e+00      
3.05490000e+02      0.00000000e+00      
3.06000000e+02      0.00000000e+00      
3.07400000e+02      0.00000000e+00      
3.07700000e+02      0.00000000e+00      
3.08000000e+02      0.00000000e+00      
3.09100000e+02      0.00000000e+00      
3.09500000e+02      0.00000000e+00      
3.10500000e+02      0.00000000e+00      
3.11200000e+02      0.00000000e+00      
3.11800000e+02      0.00000000e+00      
3.12300000e+02      0.00000000e+00      
3.13000000e+02      0.00000000e+00      
3.14430000e+02      0.00000000e+00      
3.15000000e+02      0.00000000e+00      
3.16000000e+02      0.00000000e+00      
3.17120000e+02      0.00000000e+00      
3.17300000e+02      0.00000000e+00      
3.19500000e+02      0.00000000e+00      
3.19800000e+02      0.00000000e+00      
3.20300000e+02      0.00000000e+00      
3.21500000e+02      0.00000000e+00      
3.22500000e+02      0.00000000e+00      
3.22800000e+02      0.00000000e+00      
3.24100000e+02      0.00000000e+00      
3.24800000e+02      0.00000000e+00      
3.26180000e+02      0.00000000e+00      
3.27000000e+02      0.00000000e+00      
3.27600000e+02      0.00000000e+00      
3.28200000e+02      0.00000000e+00      
3.29580000e+02      0.00000000e+00      
3.30000000e+02      0.00000000e+00      
3.31000000e+02      0.00000000e+00      
3.32000000e+02      0.00000000e+00      
3.34000000e+02      0.00000000e+00      
3.34500000e+02      0.00000000e+00      
3.35000000e+02      0.00000000e+00      
3.36000000e+02      0.00000000e+00      
3.37000000e+02      0.00000000e+00      
3.37500000e+02      0.00000000e+00      
3.39030000e+02      0.00000000e+00      
3.40000000e+02      0.00000000e+00      
3.42000000e+02      0.00000000e+00      
3.43190000e+02      0.00000000e+00      
3.45000000e+02      0.00000000e+00      
3.46000000e+02      0.00000000e+00      
3.51700000e+02      0.00000000e+00      
3.53170000e+02      0.00000000e+00      
3.55300000e+02      0.00000000e+00      
3.56000000e+02      0.00000000e+00      
3.60000000e+02      0.00000000e+00      
3.70000000e+02      0.00000000e+00      
