H2O + hv => H2 + O1D
wavelength (nm)   quantum yield
1.0000e-01        2.5000e-02     
5.0000e-01        2.5200e-02     
1.0000e+00        2.5294e-02     
2.0000e+00        2.5692e-02     
2.2500e+00        2.5714e-02     
2.3500e+00        2.5828e-02     
1.0000e+01        2.8480e-02     
1.8000e+01        3.1400e-02     
2.0000e+01        3.1930e-02     
2.2000e+01        3.2727e-02     
2.4000e+01        3.3421e-02     
2.6000e+01        3.4096e-02     
2.8000e+01        3.4792e-02     
3.0000e+01        3.5545e-02     
3.2000e+01        3.6226e-02     
3.4000e+01        3.6870e-02     
3.6000e+01        3.7561e-02     
3.8000e+01        3.8333e-02     
4.0000e+01        3.9021e-02     
4.2000e+01        3.9679e-02     
4.4000e+01        4.0407e-02     
4.6000e+01        4.1124e-02     
4.8000e+01        4.1808e-02     
5.0000e+01        4.2514e-02     
5.2000e+01        4.3211e-02     
5.4000e+01        4.3920e-02     
5.6000e+01        4.4589e-02     
5.8000e+01        4.5305e-02     
6.0000e+01        4.6119e-02     
6.2000e+01        4.4444e-02     
6.4000e+01        4.2996e-02     
6.6000e+01        4.4298e-02     
6.8000e+01        7.4890e-02     
7.0000e+01        7.2603e-02     
7.2000e+01        7.4312e-02     
7.2280e+01        7.4312e-02     
7.3450e+01        7.3394e-02     
7.4200e+01        7.0000e-02     
7.5000e+01        7.6037e-02     
7.5870e+01        6.3731e-02     
7.6660e+01        6.5641e-02     
7.7670e+01        5.3315e-02     
7.8400e+01        4.8023e-02     
7.9360e+01        4.3473e-02     
8.0000e+01        4.0812e-02     
8.0250e+01        4.1280e-02     
8.0860e+01        4.6310e-02     
8.1560e+01        5.2807e-02     
8.2220e+01        5.8192e-02     
8.2970e+01        6.5556e-02     
8.3370e+01        6.8182e-02     
8.3650e+01        7.4194e-02     
8.4420e+01        8.7766e-02     
8.4880e+01        8.4699e-02     
8.5110e+01        9.7475e-02     
8.5260e+01        9.5699e-02     
8.5520e+01        9.6809e-02     
8.5750e+01        1.0505e-01     
8.5920e+01        1.0508e-01     
8.6100e+01        1.0281e-01     
8.6250e+01        1.0524e-01     
8.6500e+01        1.1218e-01     
8.6680e+01        1.1111e-01     
8.6790e+01        1.1307e-01     
8.7020e+01        1.2293e-01     
8.7240e+01        1.2282e-01     
8.7410e+01        1.2488e-01     
8.7770e+01        1.2488e-01     
8.7900e+01        1.2705e-01     
8.8330e+01        1.2585e-01     
8.8580e+01        1.3717e-01     
8.8740e+01        1.3798e-01     
8.9140e+01        1.3380e-01     
8.9300e+01        1.4388e-01     
8.9440e+01        1.4605e-01     
9.0030e+01        1.4711e-01     
9.0300e+01        1.4416e-01     
9.0500e+01        1.4712e-01     
9.0810e+01        1.5708e-01     
9.0900e+01        1.5785e-01     
9.1000e+01        1.6121e-01     
9.1150e+01        1.5498e-01     
9.1550e+01        1.5600e-01     
9.1670e+01        1.6187e-01     
9.1750e+01        1.6183e-01     
9.1860e+01        1.6419e-01     
9.2380e+01        1.5511e-01     
9.2530e+01        1.5992e-01     
9.2620e+01        1.6811e-01     
9.2740e+01        1.6795e-01     
9.3000e+01        1.5907e-01     
9.3240e+01        1.6417e-01     
9.3380e+01        1.6214e-01     
9.3480e+01        1.6383e-01     
9.3630e+01        1.6409e-01     
9.4120e+01        1.6681e-01     
9.4260e+01        1.6390e-01     
9.4340e+01        1.6009e-01     
9.4530e+01        1.6019e-01     
9.4800e+01        1.6100e-01     
9.4940e+01        1.6505e-01     
9.5110e+01        1.5891e-01     
9.5210e+01        1.5891e-01     
9.5820e+01        1.6720e-01     
9.5980e+01        1.6598e-01     
9.6080e+01        1.6102e-01     
9.6330e+01        1.6573e-01     
9.6540e+01        1.5988e-01     
9.6730e+01        1.6477e-01     
9.6840e+01        1.6328e-01     
9.7000e+01        1.5435e-01     
9.7720e+01        1.6093e-01     
9.7800e+01        1.6424e-01     
9.8400e+01        1.0000e-01     
1.0000e+02        1.0000e-01     
1.0200e+02        1.0000e-01     
1.0400e+02        1.0000e-01     
1.0600e+02        1.0000e-01     
1.0650e+02        1.0000e-01     
1.0700e+02        1.0000e-01     
1.0750e+02        1.0000e-01     
1.0800e+02        1.0000e-01     
1.0850e+02        1.0000e-01     
1.0900e+02        1.0000e-01     
1.0950e+02        1.0000e-01     
1.1000e+02        1.0000e-01     
1.1050e+02        1.0000e-01     
1.1100e+02        1.0000e-01     
1.1120e+02        1.0000e-01     
1.1150e+02        1.0000e-01     
1.1180e+02        1.0000e-01     
1.1200e+02        1.0000e-01     
1.1250e+02        1.0000e-01     
1.1260e+02        1.0000e-01     
1.1300e+02        1.0000e-01     
1.1350e+02        1.0000e-01     
1.1400e+02        1.0000e-01     
1.1500e+02        1.0000e-01     
1.1600e+02        1.0000e-01     
1.1720e+02        1.0000e-01     
1.1800e+02        1.0000e-01     
1.1900e+02        1.0000e-01     
1.2000e+02        1.0000e-01     
1.2050e+02        1.0000e-01     
1.2100e+02        1.0000e-01     
1.2150e+02        1.0000e-01     
1.2180e+02        1.0000e-01     
1.2200e+02        1.0000e-01     
1.2250e+02        1.0000e-01     
1.2300e+02        1.0000e-01     
1.2350e+02        1.0000e-01     
1.2400e+02        1.0000e-01     
1.2450e+02        1.0000e-01     
1.2500e+02        1.0000e-01     
1.3000e+02        1.0000e-01     
1.3040e+02        1.0000e-01     
1.3041e+02        2.5000e-01     
1.3500e+02        2.5000e-01     
1.4000e+02        2.5000e-01     
1.4300e+02        2.5000e-01     
1.4500e+02        0.0000e+00     
1.5000e+02        0.0000e+00     
1.5500e+02        0.0000e+00     
1.6000e+02        0.0000e+00     
1.6500e+02        0.0000e+00     
1.7000e+02        0.0000e+00     
1.7500e+02        0.0000e+00     
1.8000e+02        0.0000e+00     
1.8500e+02        0.0000e+00     
1.8600e+02        0.0000e+00     
1.8605e+02        0.0000e+00     
2.4246e+02        0.0000e+00     
