H2O + hv => H + OH
wavelength (nm)   quantum yield
1.0000e-01        7.5100e-02     
5.0000e-01        7.5500e-02     
1.0000e+00        7.6029e-02     
2.0000e+00        7.6923e-02     
2.2500e+00        7.7321e-02     
2.3500e+00        7.7586e-02     
1.0000e+01        8.5600e-02     
1.8000e+01        9.3800e-02     
2.0000e+01        9.5965e-02     
2.2000e+01        9.8030e-02     
2.4000e+01        1.0026e-01     
2.6000e+01        1.0229e-01     
2.8000e+01        1.0417e-01     
3.0000e+01        1.0693e-01     
3.2000e+01        1.0849e-01     
3.4000e+01        1.1043e-01     
3.6000e+01        1.1301e-01     
3.8000e+01        1.1515e-01     
4.0000e+01        1.1678e-01     
4.2000e+01        1.1923e-01     
4.4000e+01        1.2093e-01     
4.6000e+01        1.2303e-01     
4.8000e+01        1.2542e-01     
5.0000e+01        1.2732e-01     
5.2000e+01        1.2947e-01     
5.4000e+01        1.3166e-01     
5.6000e+01        1.3382e-01     
5.8000e+01        1.3568e-01     
6.0000e+01        1.3790e-01     
6.2000e+01        1.3422e-01     
6.4000e+01        1.2907e-01     
6.6000e+01        1.3421e-01     
6.8000e+01        2.2379e-01     
7.0000e+01        2.1781e-01     
7.2000e+01        2.2339e-01     
7.2280e+01        2.2385e-01     
7.3450e+01        2.2110e-01     
7.4200e+01        2.1000e-01     
7.5000e+01        2.2811e-01     
7.5870e+01        1.9119e-01     
7.6660e+01        1.9692e-01     
7.7670e+01        1.6011e-01     
7.8400e+01        1.4419e-01     
7.9360e+01        1.3114e-01     
8.0000e+01        1.2187e-01     
8.0250e+01        1.2378e-01     
8.0860e+01        1.3929e-01     
8.1560e+01        1.5789e-01     
8.2220e+01        1.7401e-01     
8.2970e+01        1.9611e-01     
8.3370e+01        2.0511e-01     
8.3650e+01        2.2204e-01     
8.4420e+01        2.6277e-01     
8.4880e+01        2.5410e-01     
8.5110e+01        2.9192e-01     
8.5260e+01        2.8710e-01     
8.5520e+01        2.9096e-01     
8.5750e+01        3.1414e-01     
8.5920e+01        3.1624e-01     
8.6100e+01        3.0787e-01     
8.6250e+01        3.1414e-01     
8.6500e+01        3.3503e-01     
8.6680e+01        3.3283e-01     
8.6790e+01        3.3920e-01     
8.7020e+01        3.6976e-01     
8.7240e+01        3.6796e-01     
8.7410e+01        3.7415e-01     
8.7770e+01        3.7415e-01     
8.7900e+01        3.8019e-01     
8.8330e+01        3.7707e-01     
8.8580e+01        4.1195e-01     
8.8740e+01        4.1490e-01     
8.9140e+01        4.0278e-01     
8.9300e+01        4.3038e-01     
8.9440e+01        4.3684e-01     
9.0030e+01        4.3802e-01     
9.0300e+01        4.3096e-01     
9.0500e+01        4.3979e-01     
9.0810e+01        4.7083e-01     
9.0900e+01        4.7521e-01     
9.1000e+01        4.8276e-01     
9.1150e+01        4.6588e-01     
9.1550e+01        4.6667e-01     
9.1670e+01        4.8638e-01     
9.1750e+01        4.8548e-01     
9.1860e+01        4.8908e-01     
9.2380e+01        4.6222e-01     
9.2530e+01        4.8101e-01     
9.2620e+01        5.0394e-01     
9.2740e+01        5.0427e-01     
9.3000e+01        4.7824e-01     
9.3240e+01        4.9167e-01     
9.3380e+01        4.8560e-01     
9.3480e+01        4.8936e-01     
9.3630e+01        4.9091e-01     
9.4120e+01        5.0218e-01     
9.4260e+01        4.9378e-01     
9.4340e+01        4.7706e-01     
9.4530e+01        4.8107e-01     
9.4800e+01        4.8400e-01     
9.4940e+01        4.9515e-01     
9.5110e+01        4.7624e-01     
9.5210e+01        4.7624e-01     
9.5820e+01        5.0000e-01     
9.5980e+01        4.9897e-01     
9.6080e+01        4.8305e-01     
9.6330e+01        4.9719e-01     
9.6540e+01        4.8084e-01     
9.6730e+01        4.9375e-01     
9.6840e+01        4.8814e-01     
9.7000e+01        4.6232e-01     
9.7720e+01        4.8212e-01     
9.7800e+01        4.9205e-01     
9.8400e+01        7.5000e-01     
1.0000e+02        7.5000e-01     
1.0200e+02        7.5000e-01     
1.0400e+02        7.5000e-01     
1.0600e+02        7.4737e-01     
1.0650e+02        7.4925e-01     
1.0700e+02        7.5217e-01     
1.0750e+02        7.5048e-01     
1.0800e+02        7.5135e-01     
1.0850e+02        7.5000e-01     
1.0900e+02        7.5000e-01     
1.0950e+02        7.4878e-01     
1.1000e+02        7.5135e-01     
1.1050e+02        7.5000e-01     
1.1100e+02        7.5000e-01     
1.1120e+02        7.5263e-01     
1.1150e+02        7.5000e-01     
1.1180e+02        7.5000e-01     
1.1200e+02        7.5135e-01     
1.1250e+02        7.5000e-01     
1.1260e+02        7.5263e-01     
1.1300e+02        7.5000e-01     
1.1350e+02        7.5000e-01     
1.1400e+02        7.4706e-01     
1.1500e+02        7.4878e-01     
1.1600e+02        7.5135e-01     
1.1720e+02        7.5000e-01     
1.1800e+02        7.5000e-01     
1.1900e+02        7.5000e-01     
1.2000e+02        7.5000e-01     
1.2050e+02        7.5135e-01     
1.2100e+02        7.5000e-01     
1.2150e+02        7.4706e-01     
1.2180e+02        7.5135e-01     
1.2200e+02        7.5000e-01     
1.2250e+02        7.5135e-01     
1.2300e+02        7.5000e-01     
1.2350e+02        7.5000e-01     
1.2400e+02        7.5000e-01     
1.2450e+02        7.5000e-01     
1.2500e+02        7.4925e-01     
1.3000e+02        7.5000e-01     
1.3040e+02        7.5000e-01     
1.3041e+02        7.5000e-01     
1.3500e+02        7.4857e-01     
1.4000e+02        7.5000e-01     
1.4300e+02        7.5000e-01     
1.4500e+02        1.0000e+00     
1.5000e+02        1.0000e+00     
