H2O + hv => O + H + H
wavelength (nm)   quantum yield
1.0000e-01        0.0000e+00     
5.0000e-01        0.0000e+00     
1.0000e+00        0.0000e+00     
2.0000e+00        0.0000e+00     
2.2500e+00        0.0000e+00     
2.3500e+00        0.0000e+00     
1.0000e+01        0.0000e+00     
1.8000e+01        0.0000e+00     
2.0000e+01        0.0000e+00     
2.2000e+01        0.0000e+00     
2.4000e+01        0.0000e+00     
2.6000e+01        0.0000e+00     
2.8000e+01        0.0000e+00     
3.0000e+01        0.0000e+00     
3.2000e+01        0.0000e+00     
3.4000e+01        0.0000e+00     
3.6000e+01        0.0000e+00     
3.8000e+01        0.0000e+00     
4.0000e+01        0.0000e+00     
4.2000e+01        0.0000e+00     
4.4000e+01        0.0000e+00     
4.6000e+01        0.0000e+00     
4.8000e+01        0.0000e+00     
5.0000e+01        0.0000e+00     
5.2000e+01        0.0000e+00     
5.4000e+01        0.0000e+00     
5.6000e+01        0.0000e+00     
5.8000e+01        0.0000e+00     
6.0000e+01        0.0000e+00     
6.2000e+01        0.0000e+00     
6.4000e+01        0.0000e+00     
6.6000e+01        0.0000e+00     
6.8000e+01        0.0000e+00     
7.0000e+01        0.0000e+00     
7.2000e+01        0.0000e+00     
7.2280e+01        0.0000e+00     
7.3450e+01        0.0000e+00     
7.4200e+01        0.0000e+00     
7.5000e+01        0.0000e+00     
7.5870e+01        0.0000e+00     
7.6660e+01        0.0000e+00     
7.7670e+01        0.0000e+00     
7.8400e+01        0.0000e+00     
7.9360e+01        0.0000e+00     
8.0000e+01        0.0000e+00     
8.0250e+01        0.0000e+00     
8.0860e+01        0.0000e+00     
8.1560e+01        0.0000e+00     
8.2220e+01        0.0000e+00     
8.2970e+01        0.0000e+00     
8.3370e+01        0.0000e+00     
8.3650e+01        0.0000e+00     
8.4420e+01        0.0000e+00     
8.4880e+01        0.0000e+00     
8.5110e+01        0.0000e+00     
8.5260e+01        0.0000e+00     
8.5520e+01        0.0000e+00     
8.5750e+01        0.0000e+00     
8.5920e+01        0.0000e+00     
8.6100e+01        0.0000e+00     
8.6250e+01        0.0000e+00     
8.6500e+01        0.0000e+00     
8.6680e+01        0.0000e+00     
8.6790e+01        0.0000e+00     
8.7020e+01        0.0000e+00     
8.7240e+01        0.0000e+00     
8.7410e+01        0.0000e+00     
8.7770e+01        0.0000e+00     
8.7900e+01        0.0000e+00     
8.8330e+01        0.0000e+00     
8.8580e+01        0.0000e+00     
8.8740e+01        0.0000e+00     
8.9140e+01        0.0000e+00     
8.9300e+01        0.0000e+00     
8.9440e+01        0.0000e+00     
9.0030e+01        0.0000e+00     
9.0300e+01        0.0000e+00     
9.0500e+01        0.0000e+00     
9.0810e+01        0.0000e+00     
9.0900e+01        0.0000e+00     
9.1000e+01        0.0000e+00     
9.1150e+01        0.0000e+00     
9.1550e+01        0.0000e+00     
9.1670e+01        0.0000e+00     
9.1750e+01        0.0000e+00     
9.1860e+01        0.0000e+00     
9.2380e+01        0.0000e+00     
9.2530e+01        0.0000e+00     
9.2620e+01        0.0000e+00     
9.2740e+01        0.0000e+00     
9.3000e+01        0.0000e+00     
9.3240e+01        0.0000e+00     
9.3380e+01        0.0000e+00     
9.3480e+01        0.0000e+00     
9.3630e+01        0.0000e+00     
9.4120e+01        0.0000e+00     
9.4260e+01        0.0000e+00     
9.4340e+01        0.0000e+00     
9.4530e+01        0.0000e+00     
9.4800e+01        0.0000e+00     
9.4940e+01        0.0000e+00     
9.5110e+01        0.0000e+00     
9.5210e+01        0.0000e+00     
9.5820e+01        0.0000e+00     
9.5980e+01        0.0000e+00     
9.6080e+01        0.0000e+00     
9.6330e+01        0.0000e+00     
9.6540e+01        0.0000e+00     
9.6730e+01        0.0000e+00     
9.6840e+01        0.0000e+00     
9.7000e+01        0.0000e+00     
9.7720e+01        0.0000e+00     
9.7800e+01        0.0000e+00     
9.8400e+01        1.5000e-01     
1.0000e+02        1.5000e-01     
1.0200e+02        1.5000e-01     
1.0400e+02        1.5000e-01     
1.0600e+02        1.5000e-01     
1.0650e+02        1.4985e-01     
1.0700e+02        1.5000e-01     
1.0750e+02        1.4952e-01     
1.0800e+02        1.5000e-01     
1.0850e+02        1.5000e-01     
1.0900e+02        1.5000e-01     
1.0950e+02        1.5000e-01     
1.1000e+02        1.5000e-01     
1.1050e+02        1.5000e-01     
1.1100e+02        1.5000e-01     
1.1120e+02        1.5000e-01     
1.1150e+02        1.5000e-01     
1.1180e+02        1.5000e-01     
1.1200e+02        1.4973e-01     
1.1250e+02        1.5000e-01     
1.1260e+02        1.5000e-01     
1.1300e+02        1.5000e-01     
1.1350e+02        1.5000e-01     
1.1400e+02        1.5000e-01     
1.1500e+02        1.5000e-01     
1.1600e+02        1.5027e-01     
1.1720e+02        1.5000e-01     
1.1800e+02        1.5000e-01     
1.1900e+02        1.5000e-01     
1.2000e+02        1.5000e-01     
1.2050e+02        1.5000e-01     
1.2100e+02        1.5000e-01     
1.2150e+02        1.5000e-01     
1.2180e+02        1.4973e-01     
1.2200e+02        1.5000e-01     
