H2O
wavelength (nm)   cross section (cm2/molecule)
1.0000e-01        1.0000e-22     
5.0000e-01        1.0000e-20     
1.0000e+00        6.8000e-20     
2.0000e+00        1.3000e-19     
2.2500e+00        5.6000e-19     
2.3500e+00        2.9000e-20     
1.0000e+01        1.2500e-18     
1.8000e+01        5.0000e-18     
2.0000e+01        5.7000e-18     
2.2000e+01        6.6000e-18     
2.4000e+01        7.6000e-18     
2.6000e+01        8.3000e-18     
2.8000e+01        9.6000e-18     
3.0000e+01        1.0100e-17     
3.2000e+01        1.0600e-17     
3.4000e+01        1.1500e-17     
3.6000e+01        1.2300e-17     
3.8000e+01        1.3200e-17     
4.0000e+01        1.4300e-17     
4.2000e+01        1.5600e-17     
4.4000e+01        1.7200e-17     
4.6000e+01        1.7800e-17     
4.8000e+01        1.7700e-17     
5.0000e+01        1.8300e-17     
5.2000e+01        1.9000e-17     
5.4000e+01        1.9900e-17     
5.6000e+01        2.0700e-17     
5.8000e+01        2.1300e-17     
6.0000e+01        2.1900e-17     
6.2000e+01        2.2500e-17     
6.4000e+01        2.2700e-17     
6.6000e+01        2.2800e-17     
6.8000e+01        2.2700e-17     
7.0000e+01        2.1900e-17     
7.2000e+01        2.1800e-17     
7.2280e+01        2.1800e-17     
7.3450e+01        2.1800e-17     
7.4200e+01        2.0000e-17     
7.5000e+01        2.1700e-17     
7.5870e+01        1.9300e-17     
7.6660e+01        1.9500e-17     
7.7670e+01        1.7800e-17     
7.8400e+01        1.7200e-17     
7.9360e+01        1.6700e-17     
8.0000e+01        1.6000e-17     
8.0250e+01        1.6400e-17     
8.0860e+01        1.6800e-17     
8.1560e+01        1.7100e-17     
8.2220e+01        1.7700e-17     
8.2970e+01        1.8000e-17     
8.3370e+01        1.7600e-17     
8.3650e+01        1.8600e-17     
8.4420e+01        1.8800e-17     
8.4880e+01        1.8300e-17     
8.5110e+01        1.9800e-17     
8.5260e+01        1.8600e-17     
8.5520e+01        1.8800e-17     
8.5750e+01        1.9800e-17     
8.5920e+01        1.9700e-17     
8.6100e+01        1.7800e-17     
8.6250e+01        1.9100e-17     
8.6500e+01        1.9700e-17     
8.6680e+01        1.9800e-17     
8.6790e+01        1.9900e-17     
8.7020e+01        2.0500e-17     
8.7240e+01        2.0600e-17     
8.7410e+01        2.0500e-17     
8.7770e+01        2.0500e-17     
8.7900e+01        2.0700e-17     
8.8330e+01        2.0500e-17     
8.8580e+01        2.2600e-17     
8.8740e+01        2.0800e-17     
8.9140e+01        2.1600e-17     
8.9300e+01        2.3700e-17     
8.9440e+01        2.2800e-17     
9.0030e+01        2.4200e-17     
9.0300e+01        1.9700e-17     
9.0500e+01        1.9100e-17     
9.0810e+01        2.4000e-17     
9.0900e+01        2.4200e-17     
9.1000e+01        2.3200e-17     
9.1150e+01        2.1100e-17     
9.1550e+01        2.2500e-17     
9.1670e+01        2.5700e-17     
9.1750e+01        2.4100e-17     
9.1860e+01        2.2900e-17     
9.2380e+01        2.2500e-17     
9.2530e+01        2.3700e-17     
9.2620e+01        2.5400e-17     
9.2740e+01        2.3400e-17     
9.3000e+01        1.9300e-17     
9.3240e+01        2.4000e-17     
9.3380e+01        2.4300e-17     
9.3480e+01        2.3500e-17     
9.3630e+01        2.2000e-17     
9.4120e+01        2.2900e-17     
9.4260e+01        2.4100e-17     
9.4340e+01        2.1800e-17     
9.4530e+01        2.0600e-17     
9.4800e+01        2.0000e-17     
9.4940e+01        2.0600e-17     
9.5110e+01        2.0200e-17     
9.5210e+01        2.0200e-17     
9.5820e+01        1.8600e-17     
9.5980e+01        1.9400e-17     
9.6080e+01        1.7700e-17     
9.6330e+01        1.7800e-17     
9.6540e+01        1.6700e-17     
9.6730e+01        1.7600e-17     
9.6840e+01        1.7700e-17     
9.7000e+01        1.3800e-17     
9.7720e+01        1.5100e-17     
9.7800e+01        1.5100e-17     
9.8400e+01        1.3200e-17     
1.0000e+02        8.0000e-18     
1.0200e+02        5.0000e-18     
1.0400e+02        3.0000e-18     
1.0600e+02        1.9000e-18     
1.0650e+02        3.3500e-18     
1.0700e+02        2.3000e-18     
1.0750e+02        1.0500e-17     
1.0800e+02        3.7000e-18     
1.0850e+02        5.2000e-18     
1.0900e+02        1.1000e-17     
1.0950e+02        4.1000e-18     
1.1000e+02        3.7000e-18     
1.1050e+02        2.4000e-18     
1.1100e+02        1.8000e-17     
1.1120e+02        1.9000e-17     
1.1150e+02        1.8000e-17     
1.1180e+02        3.0000e-18     
1.1200e+02        1.8500e-17     
1.1250e+02        1.8000e-17     
1.1260e+02        1.9000e-17     
1.1300e+02        7.4000e-18     
1.1350e+02        2.2000e-18     
1.1400e+02        1.7000e-18     
1.1500e+02        4.1000e-18     
1.1600e+02        1.8500e-18     
1.1720e+02        7.8000e-18     
1.1800e+02        2.6000e-18     
1.1900e+02        1.1000e-17     
1.2000e+02        6.0000e-18     
1.2050e+02        3.7000e-18     
1.2100e+02        7.4000e-18     
1.2150e+02        1.7000e-17     
1.2180e+02        1.8500e-17     
1.2200e+02        1.3000e-17     
1.2250e+02        3.7000e-18     
1.2300e+02        2.6000e-18     
