H2S + hv => HS + H (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      0.00000000e+00      
1.20000000e-01      0.00000000e+00      
2.40000000e-01      0.00000000e+00      
5.00000000e-01      0.00000000e+00      
5.20000000e-01      0.00000000e+00      
6.20000000e-01      0.00000000e+00      
1.26000000e+00      0.00000000e+00      
2.46000000e+00      0.00000000e+00      
5.03000000e+00      0.00000000e+00      
5.69000000e+00      0.00000000e+00      
6.21000000e+00      0.00000000e+00      
7.04000000e+00      0.00000000e+00      
7.35000000e+00      0.00000000e+00      
1.22000000e+01      0.00000000e+00      
2.49000000e+01      0.00000000e+00      
4.87000000e+01      0.00000000e+00      
5.08000000e+01      0.00000000e+00      
5.36000000e+01      0.00000000e+00      
5.53000000e+01      0.00000000e+00      
7.70000000e+01      0.00000000e+00      
8.67000000e+01      0.00000000e+00      
9.27000000e+01      3.00000000e-01      
1.06000000e+02      3.80950000e-01      
1.06800000e+02      3.89470000e-01      
1.07200000e+02      4.29550000e-01      
1.08000000e+02      4.39580000e-01      
1.08500000e+02      4.20930000e-01      
1.09000000e+02      4.60870000e-01      
1.09700000e+02      4.39020000e-01      
1.10200000e+02      4.60000000e-01      
1.11500000e+02      5.08890000e-01      
1.13000000e+02      5.30560000e-01      
1.13300000e+02      5.41030000e-01      
1.14000000e+02      5.61110000e-01      
1.14400000e+02      6.00000000e-01      
1.15300000e+02      5.78950000e-01      
1.15800000e+02      6.40910000e-01      
1.16500000e+02      5.68570000e-01      
1.16800000e+02      5.79490000e-01      
1.17300000e+02      5.78790000e-01      
1.17500000e+02      6.40480000e-01      
1.18000000e+02      6.39390000e-01      
1.18520000e+02      6.00000000e-01      
1.18530000e+02      1.00000000e+00      
1.19200000e+02      1.00000000e+00      
1.19500000e+02      1.00000000e+00      
1.20000000e+02      1.00000000e+00      
1.21000000e+02      1.00000000e+00      
1.21200000e+02      1.00000000e+00      
1.21900000e+02      1.00000000e+00      
1.22200000e+02      1.00000000e+00      
1.23000000e+02      1.00000000e+00      
1.24200000e+02      1.00000000e+00      
1.24800000e+02      1.00000000e+00      
1.25900000e+02      1.00000000e+00      
1.26200000e+02      1.00000000e+00      
1.26500000e+02      1.00000000e+00      
1.29000000e+02      1.00000000e+00      
1.29500000e+02      1.00000000e+00      
1.30000000e+02      1.00000000e+00      
1.30500000e+02      1.00000000e+00      
1.31500000e+02      1.00000000e+00      
1.32000000e+02      1.00000000e+00      
1.33500000e+02      1.00000000e+00      
1.33700000e+02      1.00000000e+00      
1.38000000e+02      1.00000000e+00      
1.39000000e+02      1.00000000e+00      
1.39500000e+02      1.00000000e+00      
1.41000000e+02      1.00000000e+00      
1.42000000e+02      1.00000000e+00      
1.43000000e+02      1.00000000e+00      
1.43800000e+02      1.00000000e+00      
1.44300000e+02      1.00000000e+00      
1.44500000e+02      1.00000000e+00      
1.46500000e+02      1.00000000e+00      
1.48000000e+02      1.00000000e+00      
1.48500000e+02      1.00000000e+00      
1.49500000e+02      1.00000000e+00      
1.50000000e+02      1.00000000e+00      
1.50500000e+02      1.00000000e+00      
1.51500000e+02      1.00000000e+00      
1.53000000e+02      1.00000000e+00      
1.54500000e+02      1.00000000e+00      
1.56000000e+02      1.00000000e+00      
1.58000000e+02      1.00000000e+00      
1.60000000e+02      1.00000000e+00      
1.61000000e+02      1.00000000e+00      
1.62000000e+02      1.00000000e+00      
1.70000000e+02      1.00000000e+00      
1.80000000e+02      1.00000000e+00      
1.90000000e+02      1.00000000e+00      
1.96000000e+02      1.00000000e+00      
2.00000000e+02      1.00000000e+00      
2.10000000e+02      1.00000000e+00      
2.20000000e+02      1.00000000e+00      
2.35000000e+02      1.00000000e+00      
2.50000000e+02      1.00000000e+00      
2.65000000e+02      1.00000000e+00      
