H2S (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      3.10000000e-22      
1.20000000e-01      2.60000000e-21      
2.40000000e-01      1.80000000e-20      
5.00000000e-01      1.20000000e-19      
5.20000000e-01      1.20000000e-20      
6.20000000e-01      1.90000000e-20      
1.26000000e+00      1.30000000e-19      
2.46000000e+00      7.30000000e-19      
5.03000000e+00      3.50000000e-18      
5.69000000e+00      3.30000000e-18      
6.21000000e+00      4.40000000e-18      
7.04000000e+00      2.50000000e-18      
7.35000000e+00      3.20000000e-19      
1.22000000e+01      7.20000000e-19      
2.49000000e+01      1.20000000e-18      
4.87000000e+01      5.50000000e-18      
5.08000000e+01      6.50000000e-18      
5.36000000e+01      7.50000000e-18      
5.53000000e+01      9.00000000e-18      
7.70000000e+01      2.00000000e-17      
8.67000000e+01      2.50000000e-17      
9.27000000e+01      3.00000000e-17      
1.06000000e+02      4.20000000e-17      
1.06800000e+02      4.75000000e-17      
1.07200000e+02      4.40000000e-17      
1.08000000e+02      4.80000000e-17      
1.08500000e+02      4.30000000e-17      
1.09000000e+02      4.60000000e-17      
1.09700000e+02      4.10000000e-17      
1.10200000e+02      5.00000000e-17      
1.11500000e+02      4.50000000e-17      
1.13000000e+02      3.60000000e-17      
1.13300000e+02      3.90000000e-17      
1.14000000e+02      3.60000000e-17      
1.14400000e+02      4.20000000e-17      
1.15300000e+02      3.80000000e-17      
1.15800000e+02      4.40000000e-17      
1.16500000e+02      3.50000000e-17      
1.16800000e+02      3.90000000e-17      
1.17300000e+02      3.30000000e-17      
1.17500000e+02      4.20000000e-17      
1.18000000e+02      3.30000000e-17      
1.18520000e+02      3.25000000e-17      
1.18530000e+02      3.25000000e-17      
1.19200000e+02      3.20000000e-17      
1.19500000e+02      3.40000000e-17      
1.20000000e+02      2.80000000e-17      
1.21000000e+02      4.30000000e-17      
1.21200000e+02      2.30000000e-17      
1.21900000e+02      7.50000000e-17      
1.22200000e+02      1.30000000e-17      
1.23000000e+02      8.50000000e-17      
1.24200000e+02      1.90000000e-17      
1.24800000e+02      7.30000000e-17      
1.25900000e+02      9.00000000e-18      
1.26200000e+02      3.10000000e-17      
1.26500000e+02      1.70000000e-17      
1.29000000e+02      7.00000000e-17      
1.29500000e+02      2.80000000e-17      
1.30000000e+02      8.00000000e-17      
1.30500000e+02      1.30000000e-17      
1.31500000e+02      2.10000000e-17      
1.32000000e+02      1.70000000e-17      
1.33500000e+02      9.00000000e-17      
1.33700000e+02      2.10000000e-17      
1.38000000e+02      1.50000000e-17      
1.39000000e+02      9.50000000e-17      
1.39500000e+02      2.90000000e-17      
1.41000000e+02      1.60000000e-16      
1.42000000e+02      2.00000000e-17      
1.43000000e+02      6.50000000e-17      
1.43800000e+02      1.00000000e-17      
1.44300000e+02      1.80000000e-17      
1.44500000e+02      9.00000000e-18      
1.46500000e+02      3.30000000e-17      
1.48000000e+02      4.00000000e-18      
1.48500000e+02      2.50000000e-17      
1.49500000e+02      9.50000000e-18      
1.50000000e+02      6.50000000e-17      
1.50500000e+02      1.40000000e-17      
1.51500000e+02      3.20000000e-17      
1.53000000e+02      3.50000000e-18      
1.54500000e+02      4.50000000e-17      
1.56000000e+02      8.50000000e-19      
1.58000000e+02      1.00000000e-17      
1.60000000e+02      2.50000000e-19      
1.61000000e+02      4.00000000e-19      
1.62000000e+02      2.00000000e-19      
1.70000000e+02      3.50000000e-19      
1.80000000e+02      2.00000000e-18      
1.90000000e+02      6.00000000e-18      
1.96000000e+02      7.50000000e-18      
2.00000000e+02      6.00000000e-18      
2.10000000e+02      3.20000000e-18      
2.20000000e+02      1.35000000e-18      
2.35000000e+02      3.40000000e-19      
2.50000000e+02      2.00000000e-20      
2.65000000e+02      6.00000000e-22      
