H2SO4 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.18130000e+02      1.21000000e-17      
1.18250000e+02      1.43000000e-17      
1.18450000e+02      1.67000000e-17      
1.18600000e+02      1.96000000e-17      
1.18800000e+02      2.29000000e-17      
1.18990000e+02      2.86000000e-17      
1.19180000e+02      3.43000000e-17      
1.19310000e+02      3.80000000e-17      
1.19640000e+02      4.58000000e-17      
1.20000000e+02      5.38000000e-17      
1.20330000e+02      6.24000000e-17      
1.20960000e+02      6.86000000e-17      
1.21530000e+02      6.77000000e-17      
1.22080000e+02      5.80000000e-17      
1.22430000e+02      5.08000000e-17      
1.22740000e+02      4.35000000e-17      
1.23050000e+02      3.70000000e-17      
1.23340000e+02      3.17000000e-17      
1.23580000e+02      2.72000000e-17      
1.23870000e+02      2.33000000e-17      
1.24150000e+02      1.93000000e-17      
1.24550000e+02      1.59000000e-17      
1.24760000e+02      1.43000000e-17      
1.25010000e+02      1.31000000e-17      
1.25450000e+02      1.14000000e-17      
1.25920000e+02      9.88000000e-18      
1.26360000e+02      8.59000000e-18      
1.26810000e+02      7.46000000e-18      
1.27030000e+02      6.79000000e-18      
1.27330000e+02      5.82000000e-18      
1.27630000e+02      4.99000000e-18      
1.27820000e+02      4.60000000e-18      
1.28080000e+02      3.92000000e-18      
1.28390000e+02      3.34000000e-18      
1.28660000e+02      2.86000000e-18      
1.29000000e+02      2.45000000e-18      
1.29430000e+02      2.07000000e-18      
1.29930000e+02      1.81000000e-18      
1.30710000e+02      1.65000000e-18      
1.31620000e+02      1.63000000e-18      
1.32580000e+02      1.65000000e-18      
1.33600000e+02      1.65000000e-18      
1.34550000e+02      1.62000000e-18      
1.35550000e+02      1.58000000e-18      
1.36580000e+02      1.54000000e-18      
1.37660000e+02      1.53000000e-18      
1.38660000e+02      1.50000000e-18      
1.39780000e+02      1.50000000e-18      
1.40910000e+02      1.52000000e-18      
1.42010000e+02      1.54000000e-18      
1.43080000e+02      1.54000000e-18      
1.44220000e+02      1.54000000e-18      
1.45430000e+02      1.54000000e-18      
1.46600000e+02      1.52000000e-18      
1.47750000e+02      1.46000000e-18      
1.48860000e+02      1.39000000e-18      
1.49940000e+02      1.29000000e-18      
1.51030000e+02      1.18000000e-18      
1.52030000e+02      1.07000000e-18      
1.52780000e+02      9.73000000e-19      
1.54030000e+02      8.39000000e-19      
1.54910000e+02      7.49000000e-19      
1.55740000e+02      6.55000000e-19      
1.56530000e+02      5.81000000e-19      
1.57330000e+02      5.05000000e-19      
1.58130000e+02      4.41000000e-19      
1.58239999e+02      4.34000000e-19      
1.58240000e+02      4.34000000e-19      
1.59060000e+02      3.68000000e-19      
1.59760000e+02      3.20000000e-19      
1.60230000e+02      2.86000000e-19      
1.61070000e+02      2.42000000e-19      
1.61670000e+02      2.07000000e-19      
1.62340000e+02      1.79000000e-19      
1.62950000e+02      1.54000000e-19      
1.63560000e+02      1.33000000e-19      
1.63940000e+02      1.19000000e-19      
1.64310000e+02      1.04000000e-19      
1.65060000e+02      9.14000000e-20      
1.65500000e+02      7.94000000e-20      
1.66010000e+02      6.80000000e-20      
1.66720000e+02      5.68000000e-20      
1.67490000e+02      4.64000000e-20      
1.68140000e+02      3.80000000e-20      
1.68800000e+02      3.10000000e-20      
1.69660000e+02      2.50000000e-20      
1.70130000e+02      2.15000000e-20      
1.70730000e+02      1.81000000e-20      
1.71210000e+02      1.53000000e-20      
1.71820000e+02      1.31000000e-20      
1.72300000e+02      1.10000000e-20      
1.72650000e+02      9.59000000e-21      
1.73130000e+02      8.17000000e-21      
1.73620000e+02      7.00000000e-21      
1.74040000e+02      6.29000000e-21      
1.74460000e+02      5.42000000e-21      
1.75030000e+02      4.62000000e-21      
1.75380000e+02      3.98000000e-21      
1.75810000e+02      3.41000000e-21      
1.76240000e+02      2.91000000e-21      
1.76750000e+02      2.49000000e-21      
1.77190000e+02      2.13000000e-21      
1.77770000e+02      1.78000000e-21      
1.78210000e+02      1.50000000e-21      
1.78730000e+02      1.26000000e-21      
1.79320000e+02      1.02000000e-21      
1.80000000e+02      8.18000000e-22      
1.80600000e+02      6.42000000e-22      
1.81290000e+02      5.04000000e-22      
