HCN + hv => H + CN
wavelength (nm)   quantum yield
1.0000e-01        0.0000e+00     
3.0000e+00        0.0000e+00     
3.1000e+00        0.0000e+00     
4.1000e+00        0.0000e+00     
4.3000e+00        0.0000e+00     
5.0000e+00        0.0000e+00     
1.0000e+01        0.0000e+00     
2.0000e+01        0.0000e+00     
3.0000e+01        0.0000e+00     
4.0000e+01        0.0000e+00     
5.0000e+01        0.0000e+00     
6.0000e+01        0.0000e+00     
7.0000e+01        0.0000e+00     
8.0000e+01        0.0000e+00     
9.0000e+01        0.0000e+00     
9.1120e+01        0.0000e+00     
9.1200e+01        1.0000e+00     
1.0500e+02        1.0000e+00     
1.0515e+02        1.0000e+00     
1.0527e+02        1.0000e+00     
1.0558e+02        1.0000e+00     
1.0590e+02        1.0000e+00     
1.0601e+02        1.0000e+00     
1.0633e+02        1.0000e+00     
1.0646e+02        1.0000e+00     
1.0664e+02        1.0000e+00     
1.0679e+02        1.0000e+00     
1.0688e+02        1.0000e+00     
1.0700e+02        1.0000e+00     
1.0733e+02        1.0000e+00     
1.0756e+02        1.0000e+00     
1.0774e+02        1.0000e+00     
1.0809e+02        1.0000e+00     
1.0820e+02        1.0000e+00     
1.0839e+02        1.0000e+00     
1.0857e+02        1.0000e+00     
1.0889e+02        1.0000e+00     
1.0903e+02        1.0000e+00     
1.0945e+02        1.0000e+00     
1.0983e+02        1.0000e+00     
1.1033e+02        1.0000e+00     
1.1050e+02        1.0000e+00     
1.1070e+02        1.0000e+00     
1.1081e+02        1.0000e+00     
1.1106e+02        1.0000e+00     
1.1115e+02        1.0000e+00     
1.1143e+02        1.0000e+00     
1.1217e+02        1.0000e+00     
1.1258e+02        1.0000e+00     
1.1266e+02        1.0000e+00     
1.1307e+02        1.0000e+00     
1.1354e+02        1.0000e+00     
1.1369e+02        1.0000e+00     
1.1393e+02        1.0000e+00     
1.1411e+02        1.0000e+00     
1.1429e+02        1.0000e+00     
1.1513e+02        1.0000e+00     
1.1561e+02        1.0000e+00     
1.1722e+02        1.0000e+00     
1.1745e+02        1.0000e+00     
1.1774e+02        1.0000e+00     
1.1803e+02        1.0000e+00     
1.1841e+02        1.0000e+00     
1.1853e+02        1.0000e+00     
1.1894e+02        1.0000e+00     
1.1952e+02        1.0000e+00     
1.1971e+02        1.0000e+00     
1.2038e+02        1.0000e+00     
1.2076e+02        1.0000e+00     
1.2105e+02        1.0000e+00     
1.2150e+02        1.0000e+00     
1.2198e+02        1.0000e+00     
1.2231e+02        1.0000e+00     
1.2241e+02        1.0000e+00     
1.2290e+02        1.0000e+00     
1.2307e+02        1.0000e+00     
1.2342e+02        1.0000e+00     
1.2396e+02        1.0000e+00     
1.2460e+02        1.0000e+00     
1.2487e+02        1.0000e+00     
1.2582e+02        1.0000e+00     
1.2700e+02        1.0000e+00     
1.2903e+02        1.0000e+00     
1.2952e+02        1.0000e+00     
1.3000e+02        1.0000e+00     
1.3014e+02        1.0000e+00     
1.3046e+02        1.0000e+00     
1.3087e+02        1.0000e+00     
1.3099e+02        1.0000e+00     
1.3109e+02        1.0000e+00     
1.3117e+02        1.0000e+00     
1.3148e+02        1.0000e+00     
1.3162e+02        1.0000e+00     
1.3212e+02        1.0000e+00     
1.3241e+02        1.0000e+00     
1.3267e+02        1.0000e+00     
1.3284e+02        1.0000e+00     
1.3303e+02        1.0000e+00     
1.3322e+02        1.0000e+00     
1.3324e+02        1.0000e+00     
1.3371e+02        1.0000e+00     
1.3387e+02        1.0000e+00     
1.3397e+02        1.0000e+00     
1.3406e+02        1.0000e+00     
1.3444e+02        1.0000e+00     
1.3463e+02        1.0000e+00     
1.3493e+02        1.0000e+00     
1.3517e+02        1.0000e+00     
1.3540e+02        1.0000e+00     
1.3557e+02        1.0000e+00     
1.3594e+02        1.0000e+00     
1.3616e+02        1.0000e+00     
1.3629e+02        1.0000e+00     
1.3642e+02        1.0000e+00     
1.3658e+02        1.0000e+00     
1.3671e+02        1.0000e+00     
1.3679e+02        1.0000e+00     
1.3722e+02        1.0000e+00     
1.3735e+02        1.0000e+00     
1.3778e+02        1.0000e+00     
1.3805e+02        1.0000e+00     
1.3821e+02        1.0000e+00     
1.3875e+02        1.0000e+00     
1.3920e+02        1.0000e+00     
1.3969e+02        1.0000e+00     
1.3972e+02        1.0000e+00     
1.4000e+02        1.0000e+00     
1.4080e+02        1.0000e+00     
1.4115e+02        1.0000e+00     
1.4124e+02        1.0000e+00     
1.4166e+02        1.0000e+00     
1.4200e+02        1.0000e+00     
1.4263e+02        1.0000e+00     
1.4287e+02        1.0000e+00     
1.4290e+02        1.0000e+00     
1.4339e+02        1.0000e+00     
1.4443e+02        1.0000e+00     
1.4468e+02        1.0000e+00     
1.4477e+02        1.0000e+00     
1.4505e+02        1.0000e+00     
1.4630e+02        1.0000e+00     
1.4648e+02        1.0000e+00     
1.4660e+02        1.0000e+00     
1.4681e+02        1.0000e+00     
1.4707e+02        1.0000e+00     
1.4830e+02        1.0000e+00     
1.4845e+02        1.0000e+00     
1.4860e+02        1.0000e+00     
1.5023e+02        1.0000e+00     
1.5031e+02        1.0000e+00     
1.5056e+02        1.0000e+00     
1.5227e+02        1.0000e+00     
1.5240e+02        1.0000e+00     
1.5254e+02        1.0000e+00     
1.5500e+02        1.0000e+00     
1.5610e+02        1.0000e+00     
1.5645e+02        1.0000e+00     
1.5675e+02        1.0000e+00     
1.5755e+02        1.0000e+00     
1.5870e+02        1.0000e+00     
1.5920e+02        1.0000e+00     
1.6070e+02        1.0000e+00     
1.6135e+02        1.0000e+00     
1.6250e+02        1.0000e+00     
1.6325e+02        1.0000e+00     
1.6450e+02        1.0000e+00     
1.6525e+02        1.0000e+00     
1.6660e+02        1.0000e+00     
1.6705e+02        1.0000e+00     
1.6730e+02        1.0000e+00     
1.6760e+02        1.0000e+00     
1.6840e+02        1.0000e+00     
1.6845e+02        1.0000e+00     
1.6880e+02        1.0000e+00     
1.6905e+02        1.0000e+00     
1.6915e+02        1.0000e+00     
1.6935e+02        1.0000e+00     
1.7080e+02        1.0000e+00     
1.7105e+02        1.0000e+00     
1.7115e+02        1.0000e+00     
1.7140e+02        1.0000e+00     
1.7160e+02        1.0000e+00     
1.7185e+02        1.0000e+00     
1.7230e+02        1.0000e+00     
1.7260e+02        1.0000e+00     
1.7345e+02        1.0000e+00     
1.7385e+02        1.0000e+00     
1.7425e+02        1.0000e+00     
1.7440e+02        1.0000e+00     
1.7515e+02        1.0000e+00     
1.7545e+02        1.0000e+00     
1.7595e+02        1.0000e+00     
1.7625e+02        1.0000e+00     
1.7690e+02        1.0000e+00     
1.7715e+02        1.0000e+00     
1.7745e+02        1.0000e+00     
1.7800e+02        1.0000e+00     
1.7815e+02        1.0000e+00     
1.7855e+02        1.0000e+00     
1.7875e+02        1.0000e+00     
1.7885e+02        1.0000e+00     
1.7895e+02        1.0000e+00     
1.7925e+02        1.0000e+00     
1.7930e+02        1.0000e+00     
1.7970e+02        1.0000e+00     
1.7990e+02        1.0000e+00     
1.8025e+02        1.0000e+00     
1.8050e+02        1.0000e+00     
1.8080e+02        1.0000e+00     
1.8085e+02        1.0000e+00     
1.8125e+02        1.0000e+00     
1.8145e+02        1.0000e+00     
1.8170e+02        1.0000e+00     
1.8185e+02        1.0000e+00     
1.8225e+02        1.0000e+00     
1.8235e+02        1.0000e+00     
1.8265e+02        1.0000e+00     
1.8290e+02        1.0000e+00     
1.8340e+02        1.0000e+00     
1.8360e+02        1.0000e+00     
1.8375e+02        1.0000e+00     
1.8395e+02        1.0000e+00     
1.8410e+02        1.0000e+00     
1.8435e+02        1.0000e+00     
1.8455e+02        1.0000e+00     
1.8485e+02        1.0000e+00     
1.8525e+02        1.0000e+00     
1.8550e+02        1.0000e+00     
1.8590e+02        1.0000e+00     
1.8610e+02        1.0000e+00     
1.8645e+02        1.0000e+00     
1.8660e+02        1.0000e+00     
1.8685e+02        1.0000e+00     
1.8705e+02        1.0000e+00     
1.8725e+02        1.0000e+00     
1.8740e+02        1.0000e+00     
1.8765e+02        1.0000e+00     
1.8805e+02        1.0000e+00     
1.8855e+02        1.0000e+00     
1.8865e+02        1.0000e+00     
1.8900e+02        1.0000e+00     
1.8915e+02        1.0000e+00     
1.8950e+02        1.0000e+00     
1.8980e+02        1.0000e+00     
1.9005e+02        1.0000e+00     
1.9025e+02        1.0000e+00     
1.9050e+02        1.0000e+00     
1.9070e+02        1.0000e+00     
1.9120e+02        1.0000e+00     
1.9145e+02        1.0000e+00     
1.9190e+02        1.0000e+00     
1.9235e+02        1.0000e+00     
1.9255e+02        1.0000e+00     
1.9270e+02        1.0000e+00     
1.9315e+02        1.0000e+00     
1.9325e+02        1.0000e+00     
1.9365e+02        1.0000e+00     
1.9395e+02        1.0000e+00     
1.9410e+02        1.0000e+00     
1.9430e+02        1.0000e+00     
1.9470e+02        1.0000e+00     
1.9500e+02        1.0000e+00     
