HCN
wavelength (nm)   cross section (cm2/molecule)
1.0000e-01        6.0000e-23     
3.0000e+00        1.2000e-18     
3.1000e+00        5.0000e-19     
4.1000e+00        1.1000e-18     
4.3000e+00        1.2000e-19     
5.0000e+00        1.8000e-19     
1.0000e+01        9.2000e-19     
2.0000e+01        3.6500e-18     
3.0000e+01        7.3300e-18     
4.0000e+01        1.1200e-17     
5.0000e+01        1.6200e-17     
6.0000e+01        2.0600e-17     
7.0000e+01        2.4300e-17     
8.0000e+01        2.7000e-17     
9.0000e+01        1.5600e-17     
9.1120e+01        1.5500e-17     
9.1200e+01        1.5500e-17     
1.0500e+02        1.4600e-17     
1.0515e+02        1.4600e-17     
1.0527e+02        2.0600e-17     
1.0558e+02        1.4500e-17     
1.0590e+02        2.2600e-17     
1.0601e+02        2.0500e-17     
1.0633e+02        2.3300e-17     
1.0646e+02        2.0300e-17     
1.0664e+02        2.5500e-17     
1.0679e+02        1.8800e-17     
1.0688e+02        2.8900e-17     
1.0700e+02        2.6900e-17     
1.0733e+02        6.3800e-17     
1.0756e+02        3.7700e-17     
1.0774e+02        5.8900e-17     
1.0809e+02        2.7900e-17     
1.0820e+02        2.8500e-17     
1.0839e+02        2.4900e-17     
1.0857e+02        3.3300e-17     
1.0889e+02        2.1500e-17     
1.0903e+02        4.3600e-17     
1.0945e+02        1.9100e-17     
1.0983e+02        2.4700e-17     
1.1033e+02        1.7400e-17     
1.1050e+02        2.8200e-17     
1.1070e+02        2.3700e-17     
1.1081e+02        2.4200e-17     
1.1106e+02        2.1900e-17     
1.1115e+02        3.6800e-17     
1.1143e+02        2.2200e-17     
1.1217e+02        8.1600e-17     
1.1258e+02        4.4600e-17     
1.1266e+02        4.5100e-17     
1.1307e+02        3.7300e-17     
1.1354e+02        4.5500e-17     
1.1369e+02        4.3200e-17     
1.1393e+02        4.4300e-17     
1.1411e+02        4.1700e-17     
1.1429e+02        4.3600e-17     
1.1513e+02        3.6100e-17     
1.1561e+02        4.5100e-17     
1.1722e+02        1.7300e-17     
1.1745e+02        1.6700e-17     
1.1774e+02        2.2400e-17     
1.1803e+02        1.9700e-17     
1.1841e+02        2.8900e-17     
1.1853e+02        2.9000e-17     
1.1894e+02        3.6900e-17     
1.1952e+02        2.5000e-17     
1.1971e+02        2.8700e-17     
1.2038e+02        2.0300e-17     
1.2076e+02        2.8200e-17     
1.2105e+02        2.3200e-17     
1.2150e+02        4.2400e-17     
1.2198e+02        3.6600e-17     
1.2231e+02        2.6400e-17     
1.2241e+02        2.5400e-17     
1.2290e+02        1.7200e-17     
