HNCO + hv => NH + CO
wavelength (nm)   quantum yield
6.0000e-02        4.9814e-01     
1.2000e-01        5.0000e-01     
2.4000e-01        4.9767e-01     
6.2000e-01        5.0147e-01     
1.2600e+00        5.0000e-01     
2.4600e+00        4.9937e-01     
6.2100e+00        5.0000e-01     
1.2170e+01        5.0166e-01     
2.4860e+01        5.0000e-01     
6.2680e+01        4.9855e-01     
1.2000e+02        5.0000e-01     
1.2200e+02        5.0000e-01     
1.2400e+02        5.0000e-01     
1.2600e+02        4.9846e-01     
1.2800e+02        5.0000e-01     
1.3000e+02        5.0149e-01     
1.3200e+02        5.0000e-01     
1.3400e+02        5.0050e-01     
1.3450e+02        5.0000e-01     
1.3520e+02        5.0103e-01     
1.3600e+02        5.0000e-01     
1.3700e+02        5.0000e-01     
1.3800e+02        5.0000e-01     
1.4000e+02        5.0000e-01     
1.4200e+02        5.0000e-01     
1.4400e+02        5.0000e-01     
1.4600e+02        5.0224e-01     
1.4800e+02        5.0000e-01     
1.5000e+02        5.0000e-01     
1.5200e+02        4.9863e-01     
1.5400e+02        5.0000e-01     
1.5600e+02        5.0000e-01     
1.5800e+02        5.0000e-01     
1.6000e+02        5.0000e-01     
1.6200e+02        4.9863e-01     
1.6400e+02        4.9893e-01     
1.6600e+02        4.9899e-01     
1.6800e+02        4.9893e-01     
1.7000e+02        5.0112e-01     
1.7200e+02        5.0000e-01     
1.7400e+02        5.0158e-01     
1.7600e+02        5.0224e-01     
1.7800e+02        5.0000e-01     
1.8000e+02        5.0000e-01     
1.8500e+02        5.0068e-01     
1.9000e+02        4.9918e-01     
1.9500e+02        4.9897e-01     
2.0000e+02        5.0154e-01     
2.1000e+02        5.0000e-01     
2.2000e+02        5.0000e-01     
2.3000e+02        5.0000e-01     
2.4000e+02        5.0000e-01     
2.5000e+02        5.0000e-01     
2.5500e+02        1.0000e+00     
3.5400e+02        1.0000e+00     
