HNCO
wavelength (nm)   cross section (cm2/molecule)
6.0000e-02        2.6900e-23     
1.2000e-01        2.6400e-22     
2.4000e-01        2.1500e-21     
6.2000e-01        3.4100e-20     
1.2600e+00        2.5400e-19     
2.4600e+00        7.9100e-19     
6.2100e+00        6.5600e-19     
1.2170e+01        3.0100e-18     
2.4860e+01        1.1200e-17     
6.2680e+01        3.4500e-17     
1.2000e+02        5.2800e-17     
1.2200e+02        2.6400e-17     
1.2400e+02        4.0600e-17     
1.2600e+02        3.2500e-17     
1.2800e+02        2.6400e-17     
1.3000e+02        3.3500e-17     
1.3200e+02        1.4200e-17     
1.3400e+02        9.9500e-17     
1.3450e+02        1.7300e-17     
1.3520e+02        4.8700e-17     
1.3600e+02        1.6200e-17     
1.3700e+02        1.2600e-16     
1.3800e+02        2.7400e-17     
1.4000e+02        1.1200e-17     
1.4200e+02        3.7400e-18     
1.4400e+02        3.0000e-18     
1.4600e+02        2.2300e-18     
1.4800e+02        2.5200e-18     
1.5000e+02        2.7600e-18     
1.5200e+02        3.6500e-18     
1.5400e+02        3.7400e-18     
1.5600e+02        4.2600e-18     
1.5800e+02        4.3400e-18     
1.6000e+02        3.9800e-18     
1.6200e+02        3.6500e-18     
1.6400e+02        4.6700e-18     
1.6600e+02        4.9500e-18     
1.6800e+02        4.6700e-18     
1.7000e+02        4.4700e-18     
1.7200e+02        3.7400e-18     
1.7400e+02        3.1700e-18     
1.7600e+02        2.2300e-18     
1.7800e+02        1.6200e-18     
1.8000e+02        1.2200e-18     
1.8500e+02        7.3100e-19     
1.9000e+02        6.0900e-19     
1.9500e+02        4.8700e-19     
2.0000e+02        3.2500e-19     
2.1000e+02        3.0000e-20     
2.2000e+02        8.0000e-21     
2.3000e+02        3.0000e-21     
2.4000e+02        1.0000e-21     
2.5000e+02        5.0000e-22     
2.5500e+02        3.0000e-22     
3.5400e+02        1.0000e-24     
