HNO3 + hv => OH + NO2
wavelength (nm)   quantum yield
6.1000e-02        1.0000e+00     
1.1200e-01        1.0000e+00     
2.4400e-01        1.0000e+00     
6.1500e-01        1.0000e+00     
1.2570e+00        1.0000e+00     
2.2640e+00        1.0000e+00     
2.3610e+00        1.0000e+00     
2.4620e+00        1.0000e+00     
2.9130e+00        1.0000e+00     
3.0380e+00        1.0000e+00     
6.2090e+00        1.0000e+00     
1.2170e+01        1.0000e+00     
2.4860e+01        1.0000e+00     
6.2580e+01        1.0000e+00     
9.1500e+01        1.0000e+00     
9.4000e+01        1.0000e+00     
1.0800e+02        1.0000e+00     
1.1000e+02        1.0000e+00     
1.1200e+02        1.0000e+00     
1.1400e+02        1.0000e+00     
1.1600e+02        1.0000e+00     
1.1800e+02        1.0000e+00     
1.2000e+02        1.0000e+00     
1.2200e+02        1.0000e+00     
1.2400e+02        1.0000e+00     
1.2600e+02        1.0000e+00     
1.2800e+02        1.0000e+00     
1.3000e+02        1.0000e+00     
1.3200e+02        1.0000e+00     
1.3400e+02        1.0000e+00     
1.3600e+02        1.0000e+00     
1.3800e+02        1.0000e+00     
1.4000e+02        1.0000e+00     
1.4200e+02        1.0000e+00     
1.4400e+02        1.0000e+00     
1.4600e+02        1.0000e+00     
1.4800e+02        1.0000e+00     
1.5000e+02        1.0000e+00     
1.5500e+02        1.0000e+00     
1.6000e+02        1.0000e+00     
1.6500e+02        1.0000e+00     
1.7000e+02        1.0000e+00     
1.7500e+02        1.0000e+00     
1.8000e+02        1.0000e+00     
1.8500e+02        1.0000e+00     
1.9000e+02        1.0000e+00     
1.9500e+02        1.0000e+00     
2.0000e+02        1.0000e+00     
2.0500e+02        1.0000e+00     
2.1000e+02        1.0000e+00     
2.1500e+02        1.0000e+00     
2.2000e+02        1.0000e+00     
2.2500e+02        1.0000e+00     
2.3000e+02        1.0000e+00     
2.3500e+02        1.0000e+00     
2.4000e+02        1.0000e+00     
2.4500e+02        1.0000e+00     
2.5000e+02        1.0000e+00     
2.5500e+02        1.0000e+00     
2.6000e+02        1.0000e+00     
2.6500e+02        1.0000e+00     
2.7000e+02        1.0000e+00     
2.7500e+02        1.0000e+00     
2.8000e+02        1.0000e+00     
2.8500e+02        1.0000e+00     
2.9000e+02        1.0000e+00     
2.9500e+02        1.0000e+00     
3.0000e+02        1.0000e+00     
3.0500e+02        1.0000e+00     
3.1000e+02        1.0000e+00     
3.1500e+02        1.0000e+00     
3.2000e+02        1.0000e+00     
3.2500e+02        1.0000e+00     
3.3000e+02        1.0000e+00     
