HNO3
wavelength (nm)   cross section (cm2/molecule)
6.1000e-02        5.3000e-23     
1.1200e-01        5.1000e-22     
2.4400e-01        4.2000e-21     
6.1500e-01        6.4000e-20     
1.2570e+00        4.7000e-19     
2.2640e+00        2.5000e-18     
2.3610e+00        5.2000e-19     
2.4620e+00        5.8000e-19     
2.9130e+00        9.2000e-19     
3.0380e+00        2.6000e-19     
6.2090e+00        1.4000e-18     
1.2170e+01        5.7000e-18     
2.4860e+01        2.1000e-17     
6.2580e+01        5.3000e-17     
9.1500e+01        4.5000e-17     
9.4000e+01        3.0000e-17     
1.0800e+02        1.0200e-17     
1.1000e+02        1.4200e-17     
1.1200e+02        1.1300e-17     
1.1400e+02        1.0800e-17     
1.1600e+02        1.1700e-17     
1.1800e+02        1.1100e-17     
1.2000e+02        1.4000e-17     
1.2200e+02        1.8000e-17     
1.2400e+02        1.1500e-17     
1.2600e+02        1.7800e-17     
1.2800e+02        1.8800e-17     
1.3000e+02        1.8000e-17     
1.3200e+02        1.7200e-17     
1.3400e+02        2.0000e-17     
1.3600e+02        2.6500e-17     
1.3800e+02        2.3000e-17     
1.4000e+02        1.9400e-17     
1.4200e+02        1.3000e-17     
1.4400e+02        9.5000e-18     
1.4600e+02        7.0000e-18     
1.4800e+02        6.1000e-18     
1.5000e+02        6.3000e-18     
1.5500e+02        7.7000e-18     
1.6000e+02        7.9000e-18     
1.6500e+02        8.6000e-18     
1.7000e+02        9.9000e-18     
1.7500e+02        1.1700e-17     
1.8000e+02        1.3300e-17     
1.8500e+02        1.2600e-17     
1.9000e+02        1.5600e-17     
1.9500e+02        1.1500e-17     
2.0000e+02        6.6100e-18     
2.0500e+02        2.9300e-18     
2.1000e+02        1.0500e-18     
2.1500e+02        3.5600e-19     
2.2000e+02        1.5100e-19     
2.2500e+02        8.6200e-20     
2.3000e+02        5.6500e-20     
2.3500e+02        3.7200e-20     
2.4000e+02        2.5700e-20     
2.4500e+02        2.1000e-20     
2.5000e+02        1.9100e-20     
2.5500e+02        1.9000e-20     
2.6000e+02        1.8800e-20     
2.6500e+02        1.7100e-20     
2.7000e+02        1.5900e-20     
2.7500e+02        1.3500e-20     
2.8000e+02        1.1000e-20     
2.8500e+02        8.4800e-21     
2.9000e+02        6.0700e-21     
2.9500e+02        4.0900e-21     
3.0000e+02        2.4100e-21     
3.0500e+02        1.4600e-21     
3.1000e+02        7.1000e-22     
3.1500e+02        3.2000e-22     
3.2000e+02        1.2000e-22     
3.2500e+02        5.0000e-23     
3.3000e+02        2.0000e-23     
