HO2 + hv => OH + O
wavelength (nm)   quantum yield
1.0000e-01        1.0000e+00     
5.0000e-01        1.0000e+00     
1.0000e+00        1.0000e+00     
2.2600e+00        1.0000e+00     
2.3600e+00        1.0000e+00     
1.0000e+01        1.0000e+00     
2.0000e+01        1.0000e+00     
3.0000e+01        1.0000e+00     
4.0000e+01        1.0000e+00     
5.0000e+01        1.0000e+00     
6.0000e+01        1.0000e+00     
7.0000e+01        1.0000e+00     
8.0000e+01        1.0000e+00     
9.0000e+01        1.0000e+00     
1.0000e+02        1.0000e+00     
1.2000e+02        1.0000e+00     
1.2500e+02        1.0000e+00     
1.3000e+02        1.0000e+00     
1.3500e+02        1.0000e+00     
1.4000e+02        1.0000e+00     
1.4500e+02        1.0000e+00     
1.5000e+02        1.0000e+00     
1.5500e+02        1.0000e+00     
1.6000e+02        1.0000e+00     
1.6500e+02        1.0000e+00     
1.7000e+02        1.0000e+00     
1.7500e+02        1.0000e+00     
1.8000e+02        1.0000e+00     
1.8500e+02        1.0000e+00     
1.9000e+02        1.0000e+00     
2.0000e+02        1.0000e+00     
2.1000e+02        1.0000e+00     
2.2000e+02        1.0000e+00     
2.3000e+02        1.0000e+00     
2.4000e+02        1.0000e+00     
2.5000e+02        1.0000e+00     
