HO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.76200000e+02      4.00000000e-18      
1.77800000e+02      4.00000000e-18      
1.79400000e+02      4.00000000e-18      
1.81000000e+02      4.00000000e-18      
1.82650000e+02      4.00000000e-18      
1.84350000e+02      4.00000000e-18      
1.86050000e+02      4.00000000e-18      
1.87800000e+02      4.00000000e-18      
1.89600000e+02      4.20000000e-18      
1.91400000e+02      4.40000000e-18      
1.93250000e+02      4.50000000e-18      
1.95150000e+02      4.70000000e-18      
1.97050000e+02      4.80000000e-18      
1.99000000e+02      4.80000000e-18      
2.01000000e+02      4.90000000e-18      
2.03050000e+02      4.90000000e-18      
2.05150000e+02      4.90000000e-18      
2.07250000e+02      4.90000000e-18      
2.09400000e+02      4.90000000e-18      
2.11650000e+02      4.90000000e-18      
2.13950000e+02      4.60000000e-18      
2.16250000e+02      4.40000000e-18      
2.18700000e+02      4.20000000e-18      
2.21100000e+02      3.80000000e-18      
2.23450000e+02      3.50000000e-18      
2.26000000e+02      3.20000000e-18      
2.28600000e+02      2.80000000e-18      
2.31250000e+02      2.40000000e-18      
2.33950000e+02      2.00000000e-18      
2.36700000e+02      1.60000000e-18      
2.39550000e+02      1.30000000e-18      
2.42450000e+02      1.00000000e-18      
2.45400000e+02      7.70000000e-19      
2.48450000e+02      5.80000000e-19      
2.51600000e+02      4.50000000e-19      
