HO2NO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      5.70000000e-22      
6.00000000e-01      6.60000000e-20      
2.26000000e+00      3.00000000e-18      
2.36000000e+00      5.50000000e-19      
2.00000000e+01      2.00000000e-17      
6.00000000e+01      7.30000000e-17      
9.00000000e+01      6.90000000e-17      
1.20000000e+02      1.77000000e-17      
1.30000000e+02      2.43000000e-17      
1.40000000e+02      1.81000000e-17      
1.50000000e+02      1.55000000e-17      
1.60000000e+02      1.99000000e-17      
1.65000000e+02      2.12000000e-17      
1.70000000e+02      2.14000000e-17      
1.75000000e+02      1.35000000e-17      
1.80000000e+02      8.20000000e-18      
1.85000000e+02      1.30000000e-18      
1.90000000e+02      1.01000000e-17      
1.95000000e+02      8.16000000e-18      
2.00000000e+02      5.63000000e-18      
2.05000000e+02      3.67000000e-18      
2.10000000e+02      2.41000000e-18      
2.15000000e+02      1.64000000e-18      
2.20000000e+02      1.20000000e-18      
2.25000000e+02      9.52000000e-19      
2.30000000e+02      8.08000000e-19      
2.35000000e+02      6.98000000e-19      
2.40000000e+02      5.91000000e-19      
2.45000000e+02      4.97000000e-19      
2.50000000e+02      4.18000000e-19      
2.55000000e+02      3.51000000e-19      
2.60000000e+02      2.78000000e-19      
2.65000000e+02      2.24000000e-19      
2.70000000e+02      1.78000000e-19      
2.75000000e+02      1.34000000e-19      
2.80000000e+02      9.30000000e-20      
2.85000000e+02      6.30000000e-20      
2.90000000e+02      4.00000000e-20      
2.95000000e+02      2.60000000e-20      
3.00000000e+02      1.60000000e-20      
3.05000000e+02      1.10000000e-20      
3.10000000e+02      7.00000000e-21      
3.15000000e+02      4.00000000e-21      
3.20000000e+02      3.00000000e-21      
3.25000000e+02      2.00000000e-21      
3.30000000e+02      1.00000000e-21      
3.40000000e+02      1.00000000e-22      
3.50000000e+02      3.70000000e-23      
3.60000000e+02      1.60000000e-23      
7.30000000e+02      1.00000000e-30      
1.34000000e+03      1.00000000e-35      
