N2 + hv => N + N
wavelength (nm)   quantum yield
1.0000e-01        0.0000e+00     
9.9000e-01        0.0000e+00     
1.3400e+00        0.0000e+00     
2.9000e+00        0.0000e+00     
3.0000e+00        0.0000e+00     
4.4600e+00        0.0000e+00     
6.8000e+00        0.0000e+00     
1.0000e+01        0.0000e+00     
1.5000e+01        0.0000e+00     
2.0930e+01        0.0000e+00     
2.4720e+01        0.0000e+00     
3.0380e+01        0.0000e+00     
3.4800e+01        0.0000e+00     
3.9500e+01        0.0000e+00     
4.3000e+01        0.0000e+00     
4.3500e+01        0.0000e+00     
4.9800e+01        0.0000e+00     
5.0750e+01        0.0000e+00     
5.0820e+01        0.0000e+00     
5.1040e+01        0.0000e+00     
5.1960e+01        2.0000e-02     
5.2220e+01        3.5000e-02     
5.2580e+01        2.0000e-02     
5.3700e+01        3.5000e-02     
5.5330e+01        4.0000e-02     
5.5410e+01        5.4941e-02     
5.5450e+01        7.4797e-02     
5.5530e+01        4.5161e-02     
5.8430e+01        5.0216e-03     
5.9780e+01        3.0000e-02     
5.9960e+01        4.6154e-02     
6.0000e+01        4.4161e-02     
6.0840e+01        5.0000e-03     
6.0980e+01        5.0000e-03     
6.1080e+01        1.0000e-02     
6.1700e+01        2.0000e-02     
6.2000e+01        2.3931e-02     
6.2460e+01        3.0000e-02     
6.2510e+01        3.0000e-02     
6.2580e+01        2.0000e-02     
6.2970e+01        3.0000e-02     
6.3000e+01        3.1130e-02     
6.4000e+01        6.9048e-02     
6.5000e+01        1.0680e-01     
6.6000e+01        1.4480e-01     
6.7000e+01        1.8281e-01     
6.7140e+01        1.8782e-01     
6.7410e+01        1.5509e-01     
6.7510e+01        2.1012e-01     
6.7970e+01        1.8796e-01     
6.8190e+01        1.7897e-01     
6.8500e+01        4.4856e-02     
6.8570e+01        4.0161e-02     
6.8630e+01        4.4813e-02     
6.9090e+01        1.6106e-01     
6.9490e+01        1.5791e-01     
7.0000e+01        2.3403e-01     
7.1000e+01        2.4427e-01     
7.1530e+01        2.4978e-01     
7.2130e+01        2.8507e-01     
7.2340e+01        1.6701e-01     
7.2600e+01        2.4591e-01     
7.2950e+01        2.8885e-01     
7.3300e+01        2.8397e-01     
7.3480e+01        2.2406e-01     
7.3590e+01        1.5318e-01     
