N2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
9.25000000e+01      1.00000000e-17      
9.75000000e+01      2.50000000e-16      
1.02500000e+02      1.00000000e-17      
1.07500000e+02      0.00000000e+00      
1.12500000e+02      0.00000000e+00      
1.17500000e+02      0.00000000e+00      
1.21600000e+02      0.00000000e+00      
1.27500000e+02      0.00000000e+00      
1.32500000e+02      0.00000000e+00      
1.37500000e+02      0.00000000e+00      
1.42500000e+02      0.00000000e+00      
1.47500000e+02      0.00000000e+00      
1.52500000e+02      0.00000000e+00      
1.57500000e+02      0.00000000e+00      
1.62500000e+02      0.00000000e+00      
1.67500000e+02      0.00000000e+00      
1.72500000e+02      0.00000000e+00      
