N2O + hv => N2 + O (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      1.00000000e+00      
1.10000000e-01      1.00000000e+00      
2.40000000e-01      1.00000000e+00      
6.20000000e-01      1.00000000e+00      
1.26000000e+00      1.00000000e+00      
2.26000000e+00      1.00000000e+00      
2.36000000e+00      1.00000000e+00      
2.46000000e+00      1.00000000e+00      
2.91000000e+00      1.00000000e+00      
3.04000000e+00      1.00000000e+00      
6.21000000e+00      1.00000000e+00      
1.21700000e+01      1.00000000e+00      
2.48600000e+01      1.00000000e+00      
6.25800000e+01      1.00000000e+00      
1.08000000e+02      1.00000000e+00      
1.09000000e+02      1.00000000e+00      
1.10000000e+02      1.00000000e+00      
1.11000000e+02      1.00000000e+00      
1.12000000e+02      1.00000000e+00      
1.13000000e+02      1.00000000e+00      
1.14000000e+02      1.00000000e+00      
1.15000000e+02      1.00000000e+00      
1.16000000e+02      1.00000000e+00      
1.17000000e+02      1.00000000e+00      
1.18000000e+02      1.00000000e+00      
1.19000000e+02      1.00000000e+00      
1.20000000e+02      1.00000000e+00      
1.21000000e+02      1.00000000e+00      
1.22000000e+02      1.00000000e+00      
1.23000000e+02      1.00000000e+00      
1.24500000e+02      1.00000000e+00      
1.26000000e+02      1.00000000e+00      
1.27500000e+02      1.00000000e+00      
1.29000000e+02      1.00000000e+00      
1.30500000e+02      1.00000000e+00      
1.32000000e+02      1.00000000e+00      
1.33500000e+02      1.00000000e+00      
1.35000000e+02      1.00000000e+00      
1.36500000e+02      1.00000000e+00      
1.38000000e+02      1.00000000e+00      
1.39500000e+02      1.00000000e+00      
1.41000000e+02      9.83610000e-01      
1.42500000e+02      9.64210000e-01      
1.44000000e+02      9.43660000e-01      
1.44500000e+02      9.36690000e-01      
1.45000000e+02      9.30390000e-01      
1.45600000e+02      9.21970000e-01      
1.46200000e+02      9.12410000e-01      
1.46700000e+02      9.05940000e-01      
1.47000000e+02      9.01500000e-01      
1.47600000e+02      8.93850000e-01      
1.48500000e+02      8.81970000e-01      
1.50000000e+02      8.58020000e-01      
1.51500000e+02      8.38750000e-01      
1.53000000e+02      8.17730000e-01      
1.54500000e+02      7.98210000e-01      
1.56000000e+02      7.75860000e-01      
1.57500000e+02      7.56160000e-01      
1.59000000e+02      7.35380000e-01      
1.60000000e+02      7.20360000e-01      
1.62500000e+02      6.85610000e-01      
1.65000000e+02      6.50240000e-01      
1.67500000e+02      6.15600000e-01      
1.70000000e+02      5.80300000e-01      
1.73000000e+02      5.38050000e-01      
1.74000000e+02      5.24370000e-01      
1.75000000e+02      5.10320000e-01      
1.76000000e+02      4.96270000e-01      
1.77000000e+02      4.82860000e-01      
1.78000000e+02      4.68350000e-01      
1.79000000e+02      4.54860000e-01      
1.80000000e+02      4.40410000e-01      
1.81000000e+02      4.26710000e-01      
1.82000000e+02      4.12930000e-01      
1.83000000e+02      3.98630000e-01      
1.84000000e+02      3.84720000e-01      
1.85000000e+02      3.70630000e-01      
1.86000000e+02      3.56620000e-01      
1.87000000e+02      3.42750000e-01      
1.88000000e+02      3.28800000e-01      
1.89000000e+02      3.14530000e-01      
1.90000000e+02      3.00900000e-01      
1.91000000e+02      2.86540000e-01      
1.92000000e+02      2.72820000e-01      
1.93000000e+02      2.59220000e-01      
1.94000000e+02      2.44140000e-01      
1.95000000e+02      2.31180000e-01      
1.96000000e+02      2.17010000e-01      
1.97000000e+02      2.03280000e-01      
1.98000000e+02      1.88790000e-01      
1.99000000e+02      1.74890000e-01      
2.00000000e+02      1.60880000e-01      
2.01000000e+02      1.46930000e-01      
2.02000000e+02      1.33010000e-01      
2.03000000e+02      1.18730000e-01      
2.04000000e+02      1.04780000e-01      
2.05000000e+02      9.07690000e-02      
2.06000000e+02      7.69700000e-02      
2.07000000e+02      6.29710000e-02      
2.08000000e+02      4.89660000e-02      
2.09000000e+02      3.50000000e-02      
2.10000000e+02      2.09270000e-02      
2.11000000e+02      6.99520000e-03      
2.12000000e+02      0.00000000e+00      
2.13000000e+02      0.00000000e+00      
2.14000000e+02      0.00000000e+00      
2.15000000e+02      0.00000000e+00      
2.16000000e+02      0.00000000e+00      
2.17000000e+02      0.00000000e+00      
2.18000000e+02      0.00000000e+00      
2.19000000e+02      0.00000000e+00      
2.20000000e+02      0.00000000e+00      
2.21000000e+02      0.00000000e+00      
2.22000000e+02      0.00000000e+00      
2.23000000e+02      0.00000000e+00      
2.24000000e+02      0.00000000e+00      
2.25000000e+02      0.00000000e+00      
2.26000000e+02      0.00000000e+00      
2.27000000e+02      0.00000000e+00      
2.28000000e+02      0.00000000e+00      
2.29000000e+02      0.00000000e+00      
2.30000000e+02      0.00000000e+00      
2.31000000e+02      0.00000000e+00      
2.32000000e+02      0.00000000e+00      
2.33000000e+02      0.00000000e+00      
2.34000000e+02      0.00000000e+00      
2.35000000e+02      0.00000000e+00      
2.36000000e+02      0.00000000e+00      
2.37000000e+02      0.00000000e+00      
2.38000000e+02      0.00000000e+00      
2.39000000e+02      0.00000000e+00      
2.40000000e+02      0.00000000e+00      
