N2O + hv => N2 + O1D (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      0.00000000e+00      
1.10000000e-01      0.00000000e+00      
2.40000000e-01      0.00000000e+00      
6.20000000e-01      0.00000000e+00      
1.26000000e+00      0.00000000e+00      
2.26000000e+00      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
2.46000000e+00      0.00000000e+00      
2.91000000e+00      0.00000000e+00      
3.04000000e+00      0.00000000e+00      
6.21000000e+00      0.00000000e+00      
1.21700000e+01      0.00000000e+00      
2.48600000e+01      0.00000000e+00      
6.25800000e+01      0.00000000e+00      
1.08000000e+02      0.00000000e+00      
1.09000000e+02      0.00000000e+00      
1.10000000e+02      0.00000000e+00      
1.11000000e+02      0.00000000e+00      
1.12000000e+02      0.00000000e+00      
1.13000000e+02      0.00000000e+00      
1.14000000e+02      0.00000000e+00      
1.15000000e+02      0.00000000e+00      
1.16000000e+02      0.00000000e+00      
1.17000000e+02      0.00000000e+00      
1.18000000e+02      0.00000000e+00      
1.19000000e+02      0.00000000e+00      
1.20000000e+02      0.00000000e+00      
1.21000000e+02      0.00000000e+00      
1.22000000e+02      0.00000000e+00      
1.23000000e+02      0.00000000e+00      
1.24500000e+02      0.00000000e+00      
1.26000000e+02      0.00000000e+00      
1.27500000e+02      0.00000000e+00      
1.29000000e+02      0.00000000e+00      
1.30500000e+02      0.00000000e+00      
1.32000000e+02      0.00000000e+00      
1.33500000e+02      0.00000000e+00      
1.35000000e+02      0.00000000e+00      
1.36500000e+02      0.00000000e+00      
1.38000000e+02      0.00000000e+00      
1.39500000e+02      0.00000000e+00      
1.41000000e+02      1.39890000e-02      
1.42500000e+02      3.48990000e-02      
1.44000000e+02      5.59860000e-02      
1.44500000e+02      6.29540000e-02      
1.45000000e+02      6.99490000e-02      
1.45600000e+02      7.83370000e-02      
1.46200000e+02      8.66790000e-02      
1.46700000e+02      9.37290000e-02      
1.47000000e+02      9.78590000e-02      
1.47600000e+02      1.06310000e-01      
1.48500000e+02      1.19020000e-01      
1.50000000e+02      1.40120000e-01      
1.51500000e+02      1.61250000e-01      
1.53000000e+02      1.81770000e-01      
1.54500000e+02      2.02690000e-01      
1.56000000e+02      2.24140000e-01      
1.57500000e+02      2.44830000e-01      
1.59000000e+02      2.65850000e-01      
1.60000000e+02      2.79640000e-01      
1.62500000e+02      3.14390000e-01      
1.65000000e+02      3.49760000e-01      
1.67500000e+02      3.84400000e-01      
1.70000000e+02      4.19700000e-01      
1.73000000e+02      4.61950000e-01      
1.74000000e+02      4.75630000e-01      
1.75000000e+02      4.89680000e-01      
1.76000000e+02      5.03730000e-01      
1.77000000e+02      5.17140000e-01      
1.78000000e+02      5.31650000e-01      
1.79000000e+02      5.45140000e-01      
1.80000000e+02      5.59590000e-01      
1.81000000e+02      5.73290000e-01      
1.82000000e+02      5.87070000e-01      
1.83000000e+02      6.01370000e-01      
1.84000000e+02      6.15280000e-01      
1.85000000e+02      6.29370000e-01      
1.86000000e+02      6.43380000e-01      
1.87000000e+02      6.57250000e-01      
1.88000000e+02      6.71200000e-01      
1.89000000e+02      6.85470000e-01      
1.90000000e+02      6.99100000e-01      
1.91000000e+02      7.13460000e-01      
1.92000000e+02      7.27180000e-01      
1.93000000e+02      7.40780000e-01      
1.94000000e+02      7.55860000e-01      
1.95000000e+02      7.68820000e-01      
1.96000000e+02      7.82990000e-01      
1.97000000e+02      7.96720000e-01      
1.98000000e+02      8.11210000e-01      
1.99000000e+02      8.25530000e-01      
2.00000000e+02      8.38630000e-01      
2.01000000e+02      8.51960000e-01      
2.02000000e+02      8.67310000e-01      
2.03000000e+02      8.80150000e-01      
2.04000000e+02      8.95650000e-01      
2.05000000e+02      9.07690000e-01      
2.06000000e+02      9.21210000e-01      
2.07000000e+02      9.34780000e-01      
2.08000000e+02      9.48280000e-01      
2.09000000e+02      9.65310000e-01      
2.10000000e+02      9.78810000e-01      
2.11000000e+02      9.93540000e-01      
2.12000000e+02      1.00000000e+00      
2.13000000e+02      1.00000000e+00      
2.14000000e+02      1.00000000e+00      
2.15000000e+02      1.00000000e+00      
2.16000000e+02      1.00000000e+00      
2.17000000e+02      1.00000000e+00      
2.18000000e+02      1.00000000e+00      
2.19000000e+02      1.00000000e+00      
2.20000000e+02      1.00000000e+00      
2.21000000e+02      1.00000000e+00      
2.22000000e+02      1.00000000e+00      
2.23000000e+02      1.00000000e+00      
2.24000000e+02      1.00000000e+00      
2.25000000e+02      1.00000000e+00      
2.26000000e+02      1.00000000e+00      
2.27000000e+02      1.00000000e+00      
2.28000000e+02      1.00000000e+00      
2.29000000e+02      1.00000000e+00      
2.30000000e+02      1.00000000e+00      
2.31000000e+02      1.00000000e+00      
2.32000000e+02      1.00000000e+00      
2.33000000e+02      1.00000000e+00      
2.34000000e+02      1.00000000e+00      
2.35000000e+02      1.00000000e+00      
2.36000000e+02      1.00000000e+00      
2.37000000e+02      1.00000000e+00      
2.38000000e+02      1.00000000e+00      
2.39000000e+02      1.00000000e+00      
2.40000000e+02      1.00000000e+00      
