N2O (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      3.10000000e-23      
1.10000000e-01      3.00000000e-22      
2.40000000e-01      2.50000000e-21      
6.20000000e-01      3.90000000e-20      
1.26000000e+00      2.90000000e-19      
2.26000000e+00      1.30000000e-18      
2.36000000e+00      8.30000000e-19      
2.46000000e+00      9.80000000e-19      
2.91000000e+00      1.50000000e-18      
3.04000000e+00      1.40000000e-19      
6.21000000e+00      7.50000000e-19      
1.21700000e+01      3.40000000e-18      
2.48600000e+01      1.30000000e-17      
6.25800000e+01      3.60000000e-17      
1.08000000e+02      3.45000000e-17      
1.09000000e+02      6.09000000e-17      
1.10000000e+02      6.50000000e-17      
1.11000000e+02      4.47000000e-17      
1.12000000e+02      3.65000000e-17      
1.13000000e+02      3.45000000e-17      
1.14000000e+02      2.23000000e-17      
1.15000000e+02      1.32000000e-17      
1.16000000e+02      1.42000000e-17      
1.17000000e+02      1.22000000e-17      
1.18000000e+02      1.22000000e-16      
1.19000000e+02      5.08000000e-18      
1.20000000e+02      3.25000000e-18      
1.21000000e+02      3.05000000e-18      
1.22000000e+02      3.05000000e-18      
1.23000000e+02      6.09000000e-18      
1.24500000e+02      1.83000000e-17      
1.26000000e+02      4.67000000e-17      
1.27500000e+02      8.93000000e-17      
1.29000000e+02      9.74000000e-17      
1.30500000e+02      7.11000000e-17      
1.32000000e+02      3.65000000e-17      
1.33500000e+02      1.83000000e-17      
1.35000000e+02      6.09000000e-18      
1.36500000e+02      2.03000000e-18      
1.38000000e+02      8.12000000e-19      
1.39500000e+02      8.93000000e-19      
1.41000000e+02      1.83000000e-18      
1.42500000e+02      4.47000000e-18      
1.44000000e+02      5.68000000e-18      
1.44500000e+02      8.53000000e-18      
1.45000000e+02      5.89000000e-18      
1.45600000e+02      9.74000000e-18      
1.46200000e+02      5.48000000e-18      
1.46700000e+02      8.93000000e-18      
1.47000000e+02      4.67000000e-18      
1.47600000e+02      6.50000000e-18      
1.48500000e+02      3.05000000e-18      
1.50000000e+02      1.62000000e-18      
1.51500000e+02      8.93000000e-19      
1.53000000e+02      4.06000000e-19      
1.54500000e+02      2.23000000e-19      
1.56000000e+02      8.12000000e-20      
1.57500000e+02      4.06000000e-20      
1.59000000e+02      3.25000000e-20      
1.60000000e+02      4.47000000e-20      
1.62500000e+02      5.28000000e-20      
1.65000000e+02      6.29000000e-20      
1.67500000e+02      7.31000000e-20      
1.70000000e+02      9.34000000e-20      
1.73000000e+02      1.13000000e-19      
1.74000000e+02      1.19000000e-19      
1.75000000e+02      1.26000000e-19      
1.76000000e+02      1.34000000e-19      
1.77000000e+02      1.40000000e-19      
1.78000000e+02      1.39000000e-19      
1.79000000e+02      1.44000000e-19      
1.80000000e+02      1.46000000e-19      
1.81000000e+02      1.46000000e-19      
1.82000000e+02      1.47000000e-19      
1.83000000e+02      1.46000000e-19      
1.84000000e+02      1.44000000e-19      
1.85000000e+02      1.43000000e-19      
1.86000000e+02      1.36000000e-19      
1.87000000e+02      1.31000000e-19      
1.88000000e+02      1.25000000e-19      
1.89000000e+02      1.17000000e-19      
1.90000000e+02      1.11000000e-19      
1.91000000e+02      1.04000000e-19      
1.92000000e+02      9.75000000e-20      
1.93000000e+02      8.95000000e-20      
1.94000000e+02      8.11000000e-20      
1.95000000e+02      7.57000000e-20      
1.96000000e+02      6.82000000e-20      
1.97000000e+02      6.10000000e-20      
1.98000000e+02      5.35000000e-20      
1.99000000e+02      4.70000000e-20      
2.00000000e+02      4.09000000e-20      
2.01000000e+02      3.58000000e-20      
2.02000000e+02      3.09000000e-20      
2.03000000e+02      2.67000000e-20      
2.04000000e+02      2.30000000e-20      
2.05000000e+02      1.95000000e-20      
2.06000000e+02      1.65000000e-20      
2.07000000e+02      1.38000000e-20      
2.08000000e+02      1.16000000e-20      
2.09000000e+02      9.80000000e-21      
2.10000000e+02      7.55000000e-21      
2.11000000e+02      6.19000000e-21      
2.12000000e+02      5.18000000e-21      
2.13000000e+02      4.21000000e-21      
2.14000000e+02      3.42000000e-21      
2.15000000e+02      2.76000000e-21      
2.16000000e+02      2.23000000e-21      
2.17000000e+02      1.79000000e-21      
2.18000000e+02      1.42000000e-21      
2.19000000e+02      1.15000000e-21      
2.20000000e+02      9.22000000e-22      
2.21000000e+02      7.39000000e-22      
2.22000000e+02      5.88000000e-22      
2.23000000e+02      4.74000000e-22      
2.24000000e+02      3.75000000e-22      
2.25000000e+02      3.03000000e-22      
2.26000000e+02      2.39000000e-22      
2.27000000e+02      1.90000000e-22      
2.28000000e+02      1.51000000e-22      
2.29000000e+02      1.20000000e-22      
2.30000000e+02      9.55000000e-23      
2.31000000e+02      7.60000000e-23      
2.32000000e+02      6.05000000e-23      
2.33000000e+02      4.78000000e-23      
2.34000000e+02      3.60000000e-23      
2.35000000e+02      3.01000000e-23      
2.36000000e+02      2.40000000e-23      
2.37000000e+02      1.91000000e-23      
2.38000000e+02      1.52000000e-23      
2.39000000e+02      1.23000000e-23      
2.40000000e+02      1.01000000e-23      
