NH2 + hv => NH + H (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      1.00000000e+00      
5.00000000e-01      1.00000000e+00      
1.00000000e+00      1.00000000e+00      
1.50000000e+00      1.00000000e+00      
2.00000000e+00      1.00000000e+00      
2.43000000e+00      1.00000000e+00      
3.00000000e+00      1.00000000e+00      
3.50000000e+00      1.00000000e+00      
4.00000000e+00      1.00000000e+00      
4.50000000e+00      1.00000000e+00      
5.00000000e+00      1.00000000e+00      
6.00000000e+00      1.00000000e+00      
7.00000000e+00      1.00000000e+00      
8.00000000e+00      1.00000000e+00      
9.00000000e+00      1.00000000e+00      
1.00000000e+01      1.00000000e+00      
1.10000000e+01      1.00000000e+00      
1.20000000e+01      1.00000000e+00      
1.30000000e+01      1.00000000e+00      
1.40000000e+01      1.00000000e+00      
1.50000000e+01      1.00000000e+00      
1.70000000e+01      1.00000000e+00      
1.80000000e+01      1.00000000e+00      
2.00000000e+01      1.00000000e+00      
2.10000000e+01      1.00000000e+00      
2.20000000e+01      1.00000000e+00      
2.30000000e+01      1.00000000e+00      
2.40000000e+01      1.00000000e+00      
2.50000000e+01      1.00000000e+00      
2.60000000e+01      1.00000000e+00      
2.70000000e+01      1.00000000e+00      
2.80000000e+01      1.00000000e+00      
3.20000000e+01      1.00000000e+00      
3.50000000e+01      1.00000000e+00      
3.80000000e+01      1.00000000e+00      
4.10000000e+01      1.00000000e+00      
4.30000000e+01      1.00000000e+00      
4.50000000e+01      1.00000000e+00      
5.10000000e+01      1.00000000e+00      
5.30000000e+01      1.00000000e+00      
5.50000000e+01      1.00000000e+00      
6.00000000e+01      1.00000000e+00      
6.80000000e+01      1.00000000e+00      
7.10000000e+01      1.00000000e+00      
7.40000000e+01      1.00000000e+00      
8.40000000e+01      1.00000000e+00      
1.00000000e+02      1.00000000e+00      
1.21500000e+02      1.00000000e+00      
1.21600000e+02      1.00000000e+00      
1.22350000e+02      1.00000000e+00      
1.23100000e+02      1.00000000e+00      
1.23850000e+02      1.00000000e+00      
1.24600000e+02      1.00000000e+00      
1.25400000e+02      1.00000000e+00      
1.26200000e+02      1.00000000e+00      
1.27000000e+02      1.00000000e+00      
1.27800000e+02      1.00000000e+00      
1.28600000e+02      1.00000000e+00      
1.29450000e+02      1.00000000e+00      
1.30300000e+02      1.00000000e+00      
1.31150000e+02      1.00000000e+00      
1.32000000e+02      1.00000000e+00      
1.32850000e+02      1.00000000e+00      
1.33750000e+02      1.00000000e+00      
1.34650000e+02      1.00000000e+00      
1.35550000e+02      1.00000000e+00      
1.36000000e+02      1.00000000e+00      
1.37450000e+02      1.00000000e+00      
1.38400000e+02      1.00000000e+00      
1.40350000e+02      1.00000000e+00      
1.41800000e+02      1.00000000e+00      
1.43800000e+02      1.00000000e+00      
1.45950000e+02      1.00000000e+00      
1.48100000e+02      1.00000000e+00      
1.50350000e+02      1.00000000e+00      
1.52650000e+02      1.00000000e+00      
1.55000000e+02      1.00000000e+00      
1.57450000e+02      1.00000000e+00      
1.60000000e+02      1.00000000e+00      
1.62600000e+02      1.00000000e+00      
1.65300000e+02      1.00000000e+00      
1.68100000e+02      1.00000000e+00      
1.70950000e+02      1.00000000e+00      
1.73150000e+02      1.00000000e+00      
1.74650000e+02      1.00000000e+00      
1.76200000e+02      1.00000000e+00      
1.77800000e+02      1.00000000e+00      
1.79400000e+02      1.00000000e+00      
1.81000000e+02      1.00000000e+00      
1.82650000e+02      1.00000000e+00      
1.84350000e+02      1.00000000e+00      
1.86050000e+02      1.00000000e+00      
1.87800000e+02      1.00000000e+00      
1.89600000e+02      1.00000000e+00      
1.91400000e+02      1.00000000e+00      
1.93250000e+02      1.00000000e+00      
1.95150000e+02      1.00000000e+00      
1.97050000e+02      1.00000000e+00      
