NO + hv => N + O (wavelength = nm, qy = unitless)
wavelength          300K                
1.00000000e-01      1.00910000e-04      
5.00000000e-01      5.03180000e-04      
1.00000000e+00      1.00910000e-03      
1.20000000e+00      1.20990000e-03      
1.40000000e+00      1.41030000e-03      
1.50000000e+00      1.51180000e-03      
1.60000000e+00      1.61030000e-03      
1.70000000e+00      1.71090000e-03      
1.80000000e+00      1.81320000e-03      
1.90000000e+00      1.91670000e-03      
2.00000000e+00      2.01410000e-03      
2.10000000e+00      2.11540000e-03      
2.20000000e+00      2.21350000e-03      
2.60000000e+00      2.61250000e-03      
2.80000000e+00      2.81610000e-03      
3.00000000e+00      3.02330000e-03      
3.50000000e+00      3.52420000e-03      
4.00000000e+00      4.02890000e-03      
4.50000000e+00      4.53330000e-03      
5.00000000e+00      5.03450000e-03      
6.00000000e+00      6.04350000e-03      
7.00000000e+00      7.04350000e-03      
8.00000000e+00      8.05050000e-03      
9.00000000e+00      9.07800000e-03      
1.00000000e+01      1.00540000e-02      
1.10000000e+01      1.10730000e-02      
1.20000000e+01      1.20980000e-02      
1.30000000e+01      1.30880000e-02      
1.50000000e+01      1.51000000e-02      
2.00000000e+01      2.01300000e-02      
2.50000000e+01      2.51820000e-02      
3.00000000e+01      3.02170000e-02      
3.50000000e+01      3.57060000e-02      
4.00000000e+01      4.12640000e-02      
4.50000000e+01      4.64760000e-02      
5.00000000e+01      5.10920000e-02      
5.50000000e+01      5.62500000e-02      
5.84300000e+01      6.49350000e-02      
5.96300000e+01      7.47080000e-02      
6.01400000e+01      5.46220000e-02      
6.15600000e+01      4.75210000e-02      
6.16200000e+01      4.48130000e-02      
6.22500000e+01      2.00000000e-02      
6.32500000e+01      2.00000000e-02      
6.42500000e+01      6.01850000e-02      
6.52500000e+01      4.00000000e-02      
6.61900000e+01      2.00000000e-02      
6.72000000e+01      3.00000000e-02      
6.81100000e+01      6.02150000e-02      
6.82400000e+01      8.00000000e-02      
6.83700000e+01      3.00000000e-02      
6.84700000e+01      9.02060000e-02      
6.85700000e+01      5.97770000e-02      
6.86800000e+01      9.86780000e-02      
6.87400000e+01      1.20090000e-01      
6.88600000e+01      6.02150000e-02      
6.90400000e+01      7.98320000e-02      
6.91700000e+01      1.00000000e-01      
6.92700000e+01      7.00000000e-02      
6.94300000e+01      9.01100000e-02      
6.95700000e+01      8.43210000e-02      
6.96800000e+01      8.01890000e-02      
6.97900000e+01      1.29870000e-01      
6.99100000e+01      8.01080000e-02      
6.99500000e+01      8.52630000e-02      
6.99900000e+01      9.10450000e-02      
7.00200000e+01      9.48450000e-02      
7.00600000e+01      1.00500000e-01      
7.01300000e+01      1.10220000e-01      
7.02100000e+01      7.00000000e-02      
7.03500000e+01      1.60190000e-01      
7.04600000e+01      1.59790000e-01      
7.06000000e+01      1.60000000e-01      
7.07900000e+01      1.40100000e-01      
7.08200000e+01      1.39810000e-01      
7.08500000e+01      1.40000000e-01      
7.09100000e+01      1.80180000e-01      
7.10600000e+01      9.02440000e-02      
7.11900000e+01      1.89760000e-01      
7.12400000e+01      1.88140000e-01      
7.13000000e+01      1.85380000e-01      
7.13800000e+01      1.82440000e-01      
7.14400000e+01      1.80000000e-01      
7.16700000e+01      6.98720000e-02      
7.17500000e+01      1.55770000e-01      
7.18100000e+01      2.20180000e-01      
7.18500000e+01      2.00000000e-01      
7.18900000e+01      2.10130000e-01      
7.19300000e+01      2.19910000e-01      
7.19800000e+01      2.20000000e-01      
7.20300000e+01      2.59840000e-01      
7.21800000e+01      1.57540000e-01      
7.22000000e+01      1.43960000e-01      
7.22500000e+01      1.09760000e-01      
7.23100000e+01      1.57540000e-01      
7.23400000e+01      1.81180000e-01      
7.23700000e+01      2.04550000e-01      
7.24000000e+01      2.28570000e-01      
7.24400000e+01      2.59830000e-01      
7.25300000e+01      2.30170000e-01      
7.25600000e+01      2.35070000e-01      
7.26000000e+01      2.41540000e-01      
7.26500000e+01      2.50170000e-01      
7.27400000e+01      1.60090000e-01      
7.27700000e+01      1.30040000e-01      
7.28100000e+01      9.02060000e-02      
7.29100000e+01      2.44540000e-01      
7.29500000e+01      2.50160000e-01      
7.29900000e+01      2.36550000e-01      
7.30700000e+01      2.10000000e-01      
7.31300000e+01      2.64130000e-01      
7.31700000e+01      3.00000000e-01      
7.32100000e+01      2.74320000e-01      
7.32400000e+01      2.54860000e-01      
7.34100000e+01      1.45620000e-01      
7.34500000e+01      1.20260000e-01      
7.34800000e+01      1.28850000e-01      
7.35300000e+01      1.42860000e-01      
7.35900000e+01      1.60000000e-01      
7.36400000e+01      1.56890000e-01      
7.36800000e+01      1.54270000e-01      
7.37400000e+01      1.50280000e-01      
7.37900000e+01      1.69960000e-01      
7.38600000e+01      3.40070000e-01      
7.40300000e+01      1.77240000e-01      
7.41000000e+01      1.09930000e-01      
7.41300000e+01      1.59760000e-01      
7.41900000e+01      2.60220000e-01      
7.42900000e+01      3.02400000e-01      
7.43200000e+01      3.15430000e-01      
7.43700000e+01      3.36590000e-01      
7.44400000e+01      3.66080000e-01      
7.44700000e+01      3.78640000e-01      
7.45200000e+01      4.00780000e-01      
7.45800000e+01      2.90240000e-01      
7.46100000e+01      2.29950000e-01      
7.47000000e+01      8.99330000e-02      
7.47500000e+01      1.08970000e-01      
7.47800000e+01      1.20280000e-01      
7.48100000e+01      1.79890000e-01      
7.48600000e+01      2.83830000e-01      
7.49000000e+01      3.67160000e-01      
7.49400000e+01      4.49710000e-01      
7.49700000e+01      4.40240000e-01      
7.50000000e+01      4.30130000e-01      
7.50500000e+01      4.90740000e-01      
7.50800000e+01      5.31710000e-01      
7.51100000e+01      4.85580000e-01      
7.51900000e+01      3.60130000e-01      
7.52300000e+01      3.86600000e-01      
7.52800000e+01      4.20000000e-01      
7.53200000e+01      4.10180000e-01      
7.53500000e+01      3.83240000e-01      
7.54100000e+01      3.29660000e-01      
7.54600000e+01      3.90000000e-01      
7.55300000e+01      4.09930000e-01      
7.55900000e+01      5.70880000e-01      
7.56900000e+01      5.09930000e-01      
7.57100000e+01      5.19860000e-01      
7.57400000e+01      4.50000000e-01      
7.57900000e+01      4.50760000e-01      
7.58400000e+01      4.20000000e-01      
7.58700000e+01      4.70290000e-01      
7.59200000e+01      4.00000000e-01      
7.59500000e+01      4.49650000e-01      
7.59900000e+01      3.79710000e-01      
7.60500000e+01      4.29880000e-01      
7.61200000e+01      3.29920000e-01      
7.61500000e+01      3.50340000e-01      
7.61800000e+01      3.49580000e-01      
7.62400000e+01      4.60140000e-01      
7.62700000e+01      4.60140000e-01      
7.63300000e+01      5.20000000e-01      
7.63900000e+01      4.19860000e-01      
7.64600000e+01      4.59910000e-01      
7.65200000e+01      4.30200000e-01      
7.65500000e+01      5.10220000e-01      
7.66000000e+01      4.49660000e-01      
7.66300000e+01      4.69870000e-01      
7.66600000e+01      3.60000000e-01      
7.66900000e+01      3.89920000e-01      
7.67300000e+01      3.10380000e-01      
7.67600000e+01      3.40000000e-01      
7.68400000e+01      2.69660000e-01      
7.68700000e+01      3.15090000e-01      
7.69200000e+01      3.90500000e-01      
7.70200000e+01      4.39780000e-01      
7.70600000e+01      4.29930000e-01      
7.71300000e+01      4.49500000e-01      
7.72100000e+01      3.90150000e-01      
7.72400000e+01      5.69870000e-01      
7.72700000e+01      4.30300000e-01      
7.73000000e+01      4.80000000e-01      
7.73300000e+01      4.25980000e-01      
7.73600000e+01      3.72360000e-01      
7.74000000e+01      3.00000000e-01      
7.74600000e+01      3.09710000e-01      
7.75200000e+01      5.60130000e-01      
7.75700000e+01      5.29930000e-01      
7.76000000e+01      5.80130000e-01      
7.76600000e+01      5.90640000e-01      
7.76900000e+01      5.40000000e-01      
7.77300000e+01      5.58660000e-01      
7.79600000e+01      3.06780000e-01      
7.80200000e+01      2.39710000e-01      
7.80700000e+01      3.10160000e-01      
7.81200000e+01      3.80160000e-01      
7.81500000e+01      3.47170000e-01      
7.81900000e+01      3.03940000e-01      
7.82400000e+01      2.49570000e-01      
7.83600000e+01      5.20370000e-01      
7.84300000e+01      5.72690000e-01      
7.85100000e+01      6.29810000e-01      
7.85800000e+01      5.80120000e-01      
7.86200000e+01      5.39870000e-01      
7.86700000e+01      5.50300000e-01      
7.87100000e+01      4.10180000e-01      
7.87400000e+01      4.30000000e-01      
7.88000000e+01      3.15280000e-01      
7.88600000e+01      2.00000000e-01      
7.89400000e+01      3.28000000e-01      
7.90100000e+01      4.39770000e-01      
7.92100000e+01      4.98530000e-01      
7.93900000e+01      3.74510000e-01      
7.94400000e+01      3.40000000e-01      
7.95500000e+01      4.00000000e-01      
7.96500000e+01      4.40220000e-01      
7.96900000e+01      4.70050000e-01      
7.97400000e+01      4.60230000e-01      
7.97700000e+01      4.89940000e-01      
7.98000000e+01      4.98880000e-01      
7.98400000e+01      5.12200000e-01      
7.99300000e+01      5.37040000e-01      
7.99700000e+01      5.50000000e-01      
8.00000000e+01      5.00000000e-01      
8.00300000e+01      5.00000000e-01      
8.01400000e+01      3.70080000e-01      
8.02100000e+01      3.68730000e-01      
8.02700000e+01      3.56990000e-01      
