NO
wavelength (nm)   cross section (cm2/molecule)
1.0000e-01        1.1000e-22     
5.0000e-01        1.5700e-20     
1.0000e+00        1.1000e-19     
1.2000e+00        1.8100e-19     
1.4000e+00        2.9000e-19     
1.5000e+00        3.4000e-19     
1.6000e+00        3.9000e-19     
1.7000e+00        4.6000e-19     
1.8000e+00        5.3000e-19     
1.9000e+00        6.0000e-19     
2.0000e+00        7.1000e-19     
2.1000e+00        7.8000e-19     
2.2000e+00        8.9000e-19     
2.6000e+00        5.7800e-19     
2.8000e+00        6.9600e-19     
3.0000e+00        7.7400e-19     
3.5000e+00        1.2400e-19     
4.0000e+00        1.7300e-19     
4.5000e+00        2.2500e-19     
5.0000e+00        2.9000e-19     
6.0000e+00        4.6000e-19     
7.0000e+00        6.9000e-19     
8.0000e+00        9.9000e-19     
9.0000e+00        1.4100e-18     
1.0000e+01        1.8400e-18     
1.1000e+01        2.3300e-18     
1.2000e+01        2.8600e-18     
1.3000e+01        3.4000e-18     
1.5000e+01        4.5100e-18     
2.0000e+01        7.7000e-18     
2.5000e+01        1.1000e-17     
3.0000e+01        1.3800e-17     
3.5000e+01        1.6300e-17     
4.0000e+01        1.8200e-17     
4.5000e+01        2.1000e-17     
5.0000e+01        2.2900e-17     
5.5000e+01        2.4000e-17     
5.8430e+01        2.3100e-17     
5.9630e+01        2.5700e-17     
6.0140e+01        2.3800e-17     
6.1560e+01        2.4200e-17     
6.1620e+01        2.4100e-17     
6.2250e+01        2.3100e-17     
6.3250e+01        2.0800e-17     
6.4250e+01        2.1600e-17     
6.5250e+01        2.1600e-17     
6.6190e+01        1.9400e-17     
6.7200e+01        1.8200e-17     
6.8110e+01        1.8600e-17     
6.8240e+01        2.0500e-17     
6.8370e+01        1.7900e-17     
6.8470e+01        1.9400e-17     
6.8570e+01        1.7900e-17     
6.8680e+01        2.2700e-17     
6.8740e+01        2.3400e-17     
6.8860e+01        1.8600e-17     
6.9040e+01        2.3800e-17     
6.9170e+01        2.0100e-17     
6.9270e+01        2.2000e-17     
6.9430e+01        1.8200e-17     
6.9570e+01        2.8700e-17     
6.9680e+01        2.1200e-17     
6.9790e+01        2.3100e-17     
6.9910e+01        1.8600e-17     
6.9950e+01        1.9000e-17     
6.9990e+01        2.0100e-17     
7.0020e+01        1.9400e-17     
7.0060e+01        2.0100e-17     
7.0130e+01        1.8600e-17     
7.0210e+01        1.9000e-17     
7.0350e+01        2.1600e-17     
7.0460e+01        1.9400e-17     
7.0600e+01        2.7500e-17     
7.0790e+01        1.9700e-17     
7.0820e+01        2.1600e-17     
7.0850e+01        2.0500e-17     
7.0910e+01        2.2700e-17     
7.1060e+01        1.6400e-17     
7.1190e+01        2.0500e-17     
7.1240e+01        1.9400e-17     
7.1300e+01        2.1200e-17     
7.1380e+01        2.0500e-17     
7.1440e+01        2.2000e-17     
7.1670e+01        1.5600e-17     
7.1750e+01        2.0800e-17     
7.1810e+01        2.2300e-17     
7.1850e+01        1.9400e-17     
7.1890e+01        2.2700e-17     
7.1930e+01        2.3100e-17     
7.1980e+01        2.2000e-17     
7.2030e+01        2.4900e-17     
7.2180e+01        1.7900e-17     
7.2200e+01        1.8200e-17     
7.2250e+01        1.6400e-17     
7.2310e+01        1.7900e-17     
7.2340e+01        1.8600e-17     
7.2370e+01        2.2000e-17     
7.2400e+01        2.3100e-17     
7.2440e+01        2.3400e-17     
7.2530e+01        2.4200e-17     
7.2560e+01        2.6800e-17     
7.2600e+01        2.7200e-17     
7.2650e+01        2.8700e-17     
7.2740e+01        2.2300e-17     
7.2770e+01        2.2300e-17     
