NO2 (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
6.00000000e-02      3.80000000e-23      
1.10000000e-01      3.70000000e-22      
2.40000000e-01      3.00000000e-21      
6.20000000e-01      4.60000000e-20      
1.26000000e+00      3.40000000e-19      
2.26000000e+00      1.90000000e-18      
2.36000000e+00      4.90000000e-19      
2.46000000e+00      5.40000000e-19      
2.91000000e+00      8.20000000e-19      
3.04000000e+00      1.50000000e-19      
6.21000000e+00      9.00000000e-19      
1.21700000e+01      4.10000000e-18      
2.48600000e+01      1.50000000e-17      
6.25800000e+01      3.90000000e-17      
9.15000000e+01      4.50000000e-17      
9.40000000e+01      3.00000000e-17      
1.08000000e+02      9.35000000e-18      
1.10000000e+02      1.30000000e-17      
1.12000000e+02      1.19000000e-17      
1.14000000e+02      1.12000000e-17      
1.16000000e+02      7.44000000e-18      
1.18000000e+02      7.82000000e-18      
1.20000000e+02      7.06000000e-18      
1.22000000e+02      1.03000000e-17      
1.24000000e+02      1.77000000e-17      
1.26000000e+02      2.98000000e-17      
1.28000000e+02      2.90000000e-17      
1.30000000e+02      1.34000000e-17      
1.32000000e+02      6.32000000e-18      
1.34000000e+02      1.15000000e-17      
1.36000000e+02      8.56000000e-18      
1.38000000e+02      1.03000000e-17      
1.40000000e+02      1.12000000e-17      
1.42000000e+02      1.30000000e-17      
1.44000000e+02      1.90000000e-17      
1.46000000e+02      1.23000000e-17      
1.48000000e+02      1.04000000e-17      
1.50000000e+02      1.08000000e-17      
1.52000000e+02      2.01000000e-17      
1.54000000e+02      1.54000000e-17      
1.56000000e+02      1.50000000e-17      
1.58000000e+02      1.41000000e-17      
1.60000000e+02      1.48000000e-17      
1.65000000e+02      1.57000000e-17      
1.70000000e+02      1.64000000e-17      
1.75000000e+02      1.04000000e-17      
1.80000000e+02      6.32000000e-18      
1.85000000e+02      2.60000000e-19      
1.85130000e+02      2.57000000e-19      
1.85250000e+02      2.71000000e-19      
1.85380000e+02      2.46000000e-19      
1.85500000e+02      2.46000000e-19      
1.85630000e+02      2.72000000e-19      
1.85750000e+02      2.39000000e-19      
1.85880000e+02      2.65000000e-19      
1.86000000e+02      2.69000000e-19      
1.86130000e+02      2.77000000e-19      
1.86250000e+02      2.78000000e-19      
1.86380000e+02      2.34000000e-19      
1.86500000e+02      2.40000000e-19      
1.86630000e+02      2.71000000e-19      
1.86750000e+02      2.75000000e-19      
1.86880000e+02      2.47000000e-19      
1.87000000e+02      2.61000000e-19      
1.87130000e+02      2.62000000e-19      
1.87250000e+02      2.77000000e-19      
1.87380000e+02      2.60000000e-19      
1.87500000e+02      2.83000000e-19      
1.87630000e+02      2.71000000e-19      
1.87750000e+02      2.54000000e-19      
1.87880000e+02      2.79000000e-19      
1.88000000e+02      2.87000000e-19      
1.88130000e+02      2.86000000e-19      
1.88250000e+02      2.73000000e-19      
1.88380000e+02      2.73000000e-19      
1.88500000e+02      2.65000000e-19      
1.88630000e+02      2.79000000e-19      
1.88750000e+02      2.81000000e-19      
1.88880000e+02      2.77000000e-19      
1.89000000e+02      3.01000000e-19      
1.89130000e+02      2.91000000e-19      
1.89250000e+02      3.01000000e-19      
1.89380000e+02      2.93000000e-19      
1.89500000e+02      2.90000000e-19      
1.89630000e+02      2.87000000e-19      
1.89750000e+02      2.93000000e-19      
1.89880000e+02      2.90000000e-19      
1.90000000e+02      2.93000000e-19      
1.90130000e+02      2.77000000e-19      
1.90250000e+02      2.74000000e-19      
1.90380000e+02      2.60000000e-19      
1.90500000e+02      2.55000000e-19      
1.90630000e+02      2.74000000e-19      
1.90750000e+02      2.74000000e-19      
1.90880000e+02      2.79000000e-19      
1.91000000e+02      2.84000000e-19      
1.91130000e+02      2.57000000e-19      
1.91250000e+02      2.85000000e-19      
1.91380000e+02      2.83000000e-19      
1.91500000e+02      2.83000000e-19      
1.91630000e+02      2.76000000e-19      
1.91750000e+02      2.89000000e-19      
1.91880000e+02      2.60000000e-19      
1.92000000e+02      2.71000000e-19      
1.92130000e+02      2.65000000e-19      
1.92250000e+02      2.47000000e-19      
1.92380000e+02      2.71000000e-19      
1.92500000e+02      2.63000000e-19      
1.92630000e+02      2.71000000e-19      
1.92750000e+02      2.56000000e-19      
1.92880000e+02      2.51000000e-19      
1.93000000e+02      2.50000000e-19      
1.93130000e+02      2.46000000e-19      
1.93250000e+02      2.36000000e-19      
1.93380000e+02      2.65000000e-19      
1.93500000e+02      2.46000000e-19      
1.93630000e+02      2.45000000e-19      
1.93750000e+02      2.49000000e-19      
1.93880000e+02      2.14000000e-19      
1.94000000e+02      2.47000000e-19      
1.94130000e+02      2.53000000e-19      
1.94250000e+02      2.53000000e-19      
1.94380000e+02      2.48000000e-19      
1.94500000e+02      2.68000000e-19      
1.94630000e+02      2.75000000e-19      
