O2 + hv => O + O1D
wavelength (nm)   quantum yield
1.0000e-01        0.0000e+00     
4.0000e-01        0.0000e+00     
7.5000e-01        0.0000e+00     
9.9000e-01        0.0000e+00     
1.2500e+00        0.0000e+00     
1.3400e+00        0.0000e+00     
1.9000e+00        0.0000e+00     
2.6900e+00        0.0000e+00     
3.6000e+00        0.0000e+00     
4.1300e+00        0.0000e+00     
4.8600e+00        0.0000e+00     
5.1500e+00        0.0000e+00     
5.2800e+00        0.0000e+00     
5.7700e+00        0.0000e+00     
6.3600e+00        0.0000e+00     
6.8000e+00        0.0000e+00     
7.0800e+00        0.0000e+00     
7.2500e+00        0.0000e+00     
8.0000e+00        0.0000e+00     
9.1800e+00        0.0000e+00     
9.3000e+00        0.0000e+00     
1.0000e+01        0.0000e+00     
1.0780e+01        0.0000e+00     
1.2050e+01        0.0000e+00     
1.3050e+01        0.0000e+00     
1.5150e+01        0.0000e+00     
1.6530e+01        0.0000e+00     
1.6750e+01        0.0000e+00     
1.6980e+01        0.0000e+00     
1.7220e+01        0.0000e+00     
1.7250e+01        0.0000e+00     
1.7460e+01        0.0000e+00     
1.7710e+01        0.0000e+00     
1.7970e+01        0.0000e+00     
1.8230e+01        0.0000e+00     
1.8500e+01        0.0000e+00     
1.8510e+01        0.0000e+00     
1.8790e+01        0.0000e+00     
1.9070e+01        0.0000e+00     
1.9370e+01        0.0000e+00     
1.9680e+01        0.0000e+00     
1.9750e+01        0.0000e+00     
2.0000e+01        0.0000e+00     
2.0330e+01        0.0000e+00     
2.0660e+01        0.0000e+00     
2.0930e+01        0.0000e+00     
2.1010e+01        0.0000e+00     
2.1250e+01        0.0000e+00     
2.1380e+01        0.0000e+00     
2.1750e+01        0.0000e+00     
2.2140e+01        0.0000e+00     
2.2540e+01        0.0000e+00     
2.2960e+01        0.0000e+00     
2.3000e+01        0.0000e+00     
2.3390e+01        0.0000e+00     
2.3840e+01        0.0000e+00     
2.4310e+01        0.0000e+00     
2.4720e+01        0.0000e+00     
2.4800e+01        0.0000e+00     
2.5000e+01        0.0000e+00     
2.5300e+01        0.0000e+00     
2.5700e+01        0.0000e+00     
2.5830e+01        0.0000e+00     
2.6380e+01        0.0000e+00     
2.6950e+01        0.0000e+00     
2.7000e+01        0.0000e+00     
2.7550e+01        0.0000e+00     
2.8180e+01        0.0000e+00     
2.8830e+01        0.0000e+00     
2.9500e+01        0.0000e+00     
2.9520e+01        0.0000e+00     
3.0240e+01        0.0000e+00     
3.0380e+01        0.0000e+00     
3.1000e+01        0.0000e+00     
3.1790e+01        0.0000e+00     
3.2630e+01        0.0000e+00     
3.3510e+01        0.0000e+00     
3.4440e+01        0.0000e+00     
3.5420e+01        0.0000e+00     
3.6470e+01        0.0000e+00     
3.7570e+01        0.0000e+00     
3.8750e+01        0.0000e+00     
4.0000e+01        0.0000e+00     
4.1330e+01        0.0000e+00     
4.2750e+01        0.0000e+00     
4.3020e+01        0.0000e+00     
4.3500e+01        0.0000e+00     
4.4280e+01        0.0000e+00     
4.5920e+01        0.0000e+00     
4.7690e+01        0.0000e+00     
4.9590e+01        0.0000e+00     
5.0770e+01        0.0000e+00     
5.0820e+01        0.0000e+00     
5.1660e+01        0.0000e+00     
5.2220e+01        0.0000e+00     
5.2580e+01        0.0000e+00     
5.3700e+01        0.0000e+00     
5.3910e+01        0.0000e+00     
5.5330e+01        0.0000e+00     
5.5410e+01        0.0000e+00     
5.5450e+01        0.0000e+00     
5.5530e+01        0.0000e+00     
5.6360e+01        0.0000e+00     
5.8430e+01        0.0000e+00     
5.9040e+01        0.0000e+00     
5.9960e+01        0.0000e+00     
6.1000e+01        0.0000e+00     
6.1990e+01        0.0000e+00     
6.2500e+01        0.0000e+00     
6.2970e+01        0.0000e+00     
6.4750e+01        0.0000e+00     
6.5260e+01        0.0000e+00     
6.6000e+01        0.0000e+00     
6.7000e+01        0.0000e+00     
6.8250e+01        0.0000e+00     
6.8500e+01        0.0000e+00     
6.8550e+01        0.0000e+00     
6.8580e+01        0.0000e+00     
6.8630e+01        0.0000e+00     
6.8880e+01        1.9528e-02     
7.0230e+01        1.2500e-01     
7.0380e+01        1.1500e-01     
7.2930e+01        2.8854e-01     
7.6040e+01        0.0000e+00     
7.6510e+01        0.0000e+00     
7.7040e+01        0.0000e+00     
7.7490e+01        0.0000e+00     
7.8030e+01        0.0000e+00     
7.8770e+01        0.0000e+00     
7.9010e+01        0.0000e+00     
7.9020e+01        0.0000e+00     
8.2660e+01        0.0000e+00     
8.3280e+01        0.0000e+00     
8.3290e+01        0.0000e+00     
8.3330e+01        0.0000e+00     
8.3370e+01        0.0000e+00     
8.3450e+01        0.0000e+00     
8.3510e+01        0.0000e+00     
8.3530e+01        0.0000e+00     
8.8560e+01        0.0000e+00     
9.0400e+01        0.0000e+00     
9.2300e+01        9.7235e-02     
9.3070e+01        3.4615e-01     
9.3780e+01        4.0000e-01     
9.4970e+01        3.6508e-01     
9.5370e+01        3.3913e-01     
9.7250e+01        2.1906e-01     
9.7700e+01        3.7500e-01     
9.8980e+01        3.2071e-01     
9.9160e+01        3.0914e-01     
1.0257e+02        3.7975e-01     
1.0276e+02        9.3966e-01     
1.0294e+02        1.0000e+00     
1.0308e+02        1.0000e+00     
1.0322e+02        1.0000e+00     
1.0332e+02        1.0000e+00     
1.0343e+02        1.0000e+00     
1.0355e+02        1.0000e+00     
1.0366e+02        1.0000e+00     
1.0384e+02        1.0000e+00     
1.0400e+02        1.0000e+00     
1.0442e+02        1.0000e+00     
1.0453e+02        1.0000e+00     
1.0472e+02        1.0000e+00     
1.0491e+02        1.0000e+00     
1.0507e+02        1.0000e+00     
1.0525e+02        1.0000e+00     
1.0557e+02        1.0000e+00     
1.0600e+02        1.0000e+00     
1.0620e+02        1.0000e+00     
1.0667e+02        1.0000e+00     
