O3 + hv => O1D + O2
wavelength (nm)   quantum yield
6.0000e-02        1.0000e+00     
1.1000e-01        1.0000e+00     
2.4000e-01        1.0000e+00     
6.2000e-01        1.0000e+00     
1.2600e+00        1.0000e+00     
2.2600e+00        1.0000e+00     
2.3600e+00        1.0000e+00     
2.4600e+00        1.0000e+00     
6.2100e+00        1.0000e+00     
1.2170e+01        1.0000e+00     
2.4860e+01        1.0000e+00     
6.2580e+01        1.0000e+00     
7.4150e+01        1.0000e+00     
1.0600e+02        1.0000e+00     
1.0700e+02        1.0000e+00     
1.0800e+02        1.0000e+00     
1.0900e+02        1.0000e+00     
1.1000e+02        1.0000e+00     
1.1100e+02        1.0000e+00     
1.1200e+02        1.0000e+00     
1.1300e+02        1.0000e+00     
1.1400e+02        1.0000e+00     
1.1500e+02        1.0000e+00     
1.1600e+02        1.0000e+00     
1.1700e+02        1.0000e+00     
1.1800e+02        1.0000e+00     
1.1900e+02        1.0000e+00     
1.2000e+02        1.0000e+00     
1.2100e+02        1.0000e+00     
1.2200e+02        1.0000e+00     
1.2300e+02        1.0000e+00     
1.2400e+02        1.0000e+00     
1.2500e+02        1.0000e+00     
1.2600e+02        1.0000e+00     
1.2700e+02        1.0000e+00     
1.2800e+02        1.0000e+00     
1.2900e+02        1.0000e+00     
1.3000e+02        1.0000e+00     
1.3100e+02        1.0000e+00     
1.3200e+02        1.0000e+00     
1.3300e+02        1.0000e+00     
1.3400e+02        1.0000e+00     
1.3500e+02        1.0000e+00     
1.3600e+02        1.0000e+00     
1.3650e+02        1.0000e+00     
1.3745e+02        1.0000e+00     
1.3840e+02        1.0000e+00     
1.3985e+02        1.0000e+00     
1.4180e+02        1.0000e+00     
1.4385e+02        1.0000e+00     
1.4595e+02        1.0000e+00     
1.4810e+02        1.0000e+00     
1.5035e+02        1.0000e+00     
1.5265e+02        1.0000e+00     
1.5500e+02        1.0000e+00     
1.5745e+02        1.0000e+00     
1.6000e+02        1.0000e+00     
1.6260e+02        1.0000e+00     
1.6530e+02        1.0000e+00     
1.6810e+02        1.0000e+00     
1.7095e+02        1.0000e+00     
1.7315e+02        1.0000e+00     
1.7465e+02        1.0000e+00     
1.7500e+02        1.0000e+00     
1.8000e+02        1.0000e+00     
1.8500e+02        1.0000e+00     
1.9000e+02        1.0000e+00     
1.9500e+02        1.0000e+00     
2.0000e+02        1.0000e+00     
2.1000e+02        1.0000e+00     
2.2000e+02        1.0000e+00     
2.3000e+02        1.0000e+00     
2.4000e+02        1.0000e+00     
2.5000e+02        1.0000e+00     
2.6000e+02        1.0000e+00     
2.7000e+02        1.0000e+00     
2.8000e+02        1.0000e+00     
2.9000e+02        1.0000e+00     
2.9750e+02        1.0000e+00     
2.9800e+02        1.0000e+00     
2.9850e+02        1.0000e+00     
2.9900e+02        1.0000e+00     
2.9950e+02        1.0000e+00     
3.0000e+02        1.0000e+00     
3.0050e+02        1.0000e+00     
3.0100e+02        1.0000e+00     
3.0150e+02        1.0000e+00     
3.0200e+02        1.0000e+00     
3.0250e+02        1.0000e+00     
3.0300e+02        1.0000e+00     
3.0350e+02        1.0000e+00     
3.0400e+02        1.0000e+00     
3.0450e+02        9.9065e-01     
3.0500e+02        9.8049e-01     
3.0550e+02        9.6809e-01     
3.0600e+02        9.4915e-01     
3.0650e+02        9.3293e-01     
3.0700e+02        9.0000e-01     
3.0750e+02        8.6765e-01     
3.0800e+02        8.2813e-01     
3.0850e+02        7.6975e-01     
3.0900e+02        7.3036e-01     
3.0950e+02        6.6981e-01     
3.1000e+02        5.9959e-01     
3.1050e+02        5.4028e-01     
