O3
wavelength (nm)   cross section (cm2/molecule)
6.0000e-02        4.5000e-23     
1.1000e-01        4.3000e-22     
2.4000e-01        3.5000e-21     
6.2000e-01        5.3000e-20     
1.2600e+00        3.9000e-19     
2.2600e+00        1.7000e-18     
2.3600e+00        9.5000e-20     
2.4600e+00        1.1000e-19     
6.2100e+00        1.0000e-18     
1.2170e+01        4.8000e-18     
2.4860e+01        1.6000e-17     
6.2580e+01        3.4000e-17     
7.4150e+01        3.6000e-17     
1.0600e+02        8.5600e-18     
1.0700e+02        8.1800e-18     
1.0800e+02        1.0000e-17     
1.0900e+02        9.6700e-18     
1.1000e+02        8.9300e-18     
1.1100e+02        9.6700e-18     
1.1200e+02        1.3800e-17     
1.1300e+02        1.2600e-17     
1.1400e+02        7.0700e-18     
1.1500e+02        7.0700e-18     
1.1600e+02        5.5800e-18     
1.1700e+02        8.0000e-18     
1.1800e+02        7.6300e-18     
1.1900e+02        9.3000e-18     
1.2000e+02        1.4900e-17     
1.2100e+02        2.1200e-17     
1.2200e+02        2.2700e-17     
1.2300e+02        2.0500e-17     
1.2400e+02        1.1200e-17     
1.2500e+02        8.1800e-18     
1.2600e+02        6.7000e-18     
1.2700e+02        5.5800e-18     
1.2800e+02        6.3200e-18     
1.2900e+02        7.2500e-18     
1.3000e+02        9.3000e-18     
1.3100e+02        1.5600e-17     
1.3200e+02        1.5300e-17     
1.3300e+02        1.5300e-17     
1.3400e+02        1.7500e-17     
1.3500e+02        1.7100e-17     
1.3600e+02        1.4900e-17     
1.3650e+02        1.3500e-17     
1.3745e+02        1.0500e-17     
1.3840e+02        7.9700e-18     
1.3985e+02        7.1700e-18     
1.4180e+02        6.2800e-18     
1.4385e+02        5.6600e-18     
1.4595e+02        5.2300e-18     
1.4810e+02        4.4700e-18     
1.5035e+02        3.6900e-18     
1.5265e+02        2.9300e-18     
1.5500e+02        2.1900e-18     
1.5745e+02        1.6300e-18     
1.6000e+02        1.2000e-18     
1.6260e+02        9.7700e-19     
1.6530e+02        8.6600e-19     
1.6810e+02        8.1400e-19     
1.7095e+02        8.1700e-19     
1.7315e+02        8.5700e-19     
1.7465e+02        8.4000e-19     
1.7500e+02        8.2000e-19     
1.8000e+02        7.7000e-19     
1.8500e+02        6.8000e-19     
1.9000e+02        5.2000e-19     
1.9500e+02        4.0000e-19     
2.0000e+02        3.1000e-19     
2.1000e+02        4.2900e-19     
2.2000e+02        1.7100e-18     
2.3000e+02        4.2900e-18     
2.4000e+02        8.1400e-18     
2.5000e+02        1.1000e-17     
2.6000e+02        1.0800e-17     
2.7000e+02        7.8800e-18     
2.8000e+02        3.8600e-18     
2.9000e+02        1.3700e-18     
2.9750e+02        5.7500e-19     
2.9800e+02        5.1400e-19     
2.9850e+02        4.9200e-19     
2.9900e+02        4.6700e-19     
2.9950e+02        4.3600e-19     
3.0000e+02        4.0900e-19     
3.0050e+02        3.8500e-19     
3.0100e+02        3.5500e-19     
3.0150e+02        3.3100e-19     
3.0200e+02        3.1300e-19     
3.0250e+02        2.9100e-19     
3.0300e+02        2.7100e-19     
3.0350e+02        2.5200e-19     
3.0400e+02        2.3200e-19     
3.0450e+02        2.1400e-19     
3.0500e+02        2.0500e-19     
3.0550e+02        1.8800e-19     
3.0600e+02        1.7700e-19     
3.0650e+02        1.6400e-19     
3.0700e+02        1.5000e-19     
3.0750e+02        1.3600e-19     
3.0800e+02        1.2800e-19     
3.0850e+02        1.1900e-19     
3.0900e+02        1.1200e-19     
3.0950e+02        1.0600e-19     
