OCS
wavelength (nm)   cross section (cm2/molecule)
6.0000e-02        3.3000e-22     
1.1000e-01        2.8000e-21     
2.4000e-01        1.9000e-20     
5.0000e-01        1.3000e-19     
5.2000e-01        2.5000e-20     
6.2000e-01        4.3000e-20     
1.2600e+00        3.0000e-19     
2.2600e+00        8.5000e-19     
2.3600e+00        7.0000e-19     
2.4600e+00        7.7000e-19     
5.0300e+00        3.8000e-18     
5.2500e+00        3.5000e-18     
6.2100e+00        5.0000e-18     
6.7500e+00        5.8000e-18     
7.0500e+00        3.0000e-18     
7.3500e+00        1.0000e-18     
1.2170e+01        2.8000e-18     
2.4800e+01        9.7500e-20     
2.5300e+01        8.2000e-20     
2.5800e+01        9.2000e-20     
2.6400e+01        1.0000e-19     
2.7000e+01        1.0200e-19     
2.7600e+01        9.3800e-20     
2.8200e+01        9.9300e-20     
2.8800e+01        9.6600e-20     
2.9500e+01        1.1000e-19     
3.0200e+01        1.0500e-19     
3.1000e+01        1.0800e-19     
3.1800e+01        1.1200e-19     
3.2600e+01        1.1000e-19     
3.3500e+01        1.1400e-19     
3.4400e+01        1.2000e-19     
3.5400e+01        1.2800e-19     
3.6500e+01        1.3300e-19     
3.7600e+01        1.4300e-19     
3.8700e+01        1.4600e-19     
4.0000e+01        1.5900e-19     
4.1300e+01        1.6700e-19     
4.2800e+01        1.8100e-19     
4.4300e+01        1.9300e-19     
4.5900e+01        2.0500e-19     
4.7700e+01        2.2100e-19     
4.9600e+01        2.3800e-19     
5.1700e+01        2.4900e-19     
5.3900e+01        2.7100e-19     
5.6400e+01        2.9600e-19     
5.9000e+01        3.1700e-19     
6.2000e+01        3.5300e-19     
6.5300e+01        4.0100e-19     
6.5400e+01        4.0000e-19     
6.8900e+01        3.9100e-19     
7.2900e+01        3.5400e-19     
7.7500e+01        3.0300e-19     
8.2700e+01        3.7000e-19     
8.8600e+01        5.1700e-19     
9.0700e+01        5.0000e-19     
9.5400e+01        4.8700e-19     
1.0600e+02        2.8800e-17     
1.0700e+02        2.9000e-17     
1.0800e+02        2.8800e-17     
1.0900e+02        2.8800e-17     
1.1000e+02        2.5200e-17     
1.1100e+02        2.4500e-17     
1.1200e+02        2.2500e-17     
1.1300e+02        2.2000e-17     
1.1370e+02        2.7000e-17     
1.1400e+02        1.7500e-17     
1.1450e+02        2.5500e-17     
1.1480e+02        1.5000e-17     
1.1500e+02        2.6000e-17     
1.1580e+02        1.7000e-17     
1.1640e+02        3.5000e-17     
1.1680e+02        1.7500e-17     
1.1710e+02        2.3500e-17     
1.1720e+02        1.3500e-17     
1.1800e+02        1.8000e-17     
1.1850e+02        1.3500e-17     
1.1900e+02        2.2000e-17     
1.1920e+02        1.7000e-17     
1.2000e+02        3.1500e-17     
1.2070e+02        1.6500e-17     
1.2100e+02        2.5000e-17     
1.2140e+02        7.5000e-18     
1.2200e+02        1.3000e-17     
1.2300e+02        1.7000e-17     
1.2400e+02        7.0000e-18     
1.2450e+02        2.9800e-18     
1.2500e+02        3.4200e-17     
1.2550e+02        4.8400e-18     
1.2610e+02        3.1600e-17     
1.2670e+02        6.3200e-18     
1.2700e+02        4.6500e-17     
1.2770e+02        7.2500e-18     
1.2840e+02        2.1900e-16     
1.2900e+02        8.1800e-18     
1.2950e+02        3.1600e-16     
1.3060e+02        6.7000e-18     
1.3080e+02        3.3500e-17     
1.3140e+02        6.7700e-18     
1.3220e+02        3.7200e-17     
1.3280e+02        4.8400e-18     
1.3320e+02        1.0000e-16     
1.3420e+02        4.8400e-18     
1.3460e+02        1.2300e-16     
1.3540e+02        4.8400e-18     
1.3590e+02        1.4500e-16     
1.3680e+02        3.5300e-18     
1.3720e+02        1.0800e-16     
1.3800e+02        1.8600e-18     
1.3840e+02        9.3000e-17     
1.3920e+02        2.4200e-18     
1.4000e+02        3.3500e-16     
1.4080e+02        1.7500e-18     
1.4100e+02        5.5800e-17     
1.4200e+02        2.1600e-18     
1.4300e+02        1.2300e-17     
1.4340e+02        4.8400e-18     
1.4400e+02        2.2300e-17     
1.4500e+02        7.6300e-18     
1.4550e+02        6.7000e-17     
1.4650e+02        2.0500e-17     
1.4720e+02        1.3800e-16     
1.4820e+02        2.3300e-17     
1.4900e+02        2.5100e-16     
1.5010e+02        3.3500e-17     
1.5060e+02        2.7900e-16     
1.5120e+02        4.4600e-17     
1.5220e+02        3.5300e-16     
1.5350e+02        5.5800e-17     
1.5460e+02        3.3900e-16     
1.5550e+02        7.4400e-17     
1.5700e+02        1.1200e-16     
1.5750e+02        6.3200e-17     
1.6000e+02        1.8600e-17     
1.6250e+02        1.4900e-17     
1.6500e+02        2.2300e-17     
1.6750e+02        2.7900e-17     
1.7000e+02        2.4900e-17     
1.8200e+02        7.0000e-19     
1.8210e+02        7.0000e-19     
1.8500e+02        2.1200e-20     
1.8600e+02        1.2500e-19     
1.8700e+02        7.0200e-20     
1.8800e+02        5.0900e-20     
1.8900e+02        2.7600e-20     
1.9000e+02        2.3500e-20     
1.9100e+02        1.6200e-20     
1.9200e+02        1.5800e-20     
1.9300e+02        1.4900e-20     
1.9400e+02        1.6400e-20     
1.9500e+02        1.8100e-20     
1.9600e+02        2.1000e-20     
1.9700e+02        2.4200e-20     
1.9800e+02        2.8200e-20     
1.9900e+02        3.3000e-20     
2.0000e+02        3.8300e-20     
2.0100e+02        4.5700e-20     
2.0200e+02        5.1500e-20     
2.0300e+02        6.2100e-20     
2.0400e+02        7.0600e-20     
2.0500e+02        8.0200e-20     
2.0600e+02        9.4800e-20     
2.0700e+02        1.0500e-19     
2.0800e+02        1.2100e-19     
2.0900e+02        1.3500e-19     
2.1000e+02        1.5100e-19     
2.1100e+02        1.7000e-19     
2.1200e+02        1.8100e-19     
2.1300e+02        2.0300e-19     
2.1400e+02        2.2200e-19     
2.1500e+02        2.3100e-19     
2.1600e+02        2.5300e-19     
2.1700e+02        2.7200e-19     
2.1800e+02        2.6900e-19     
2.1900e+02        2.8200e-19     
2.2000e+02        3.0200e-19     
2.2100e+02        2.9200e-19     
2.2200e+02        2.9400e-19     
2.2300e+02        3.0500e-19     
2.2400e+02        2.8900e-19     
2.2500e+02        2.8400e-19     
2.2600e+02        2.7900e-19     
2.2700e+02        2.5800e-19     
2.2800e+02        2.4600e-19     
2.2900e+02        2.3400e-19     
2.3000e+02        2.1500e-19     
2.3100e+02        1.8800e-19     
2.3200e+02        1.7600e-19     
2.3300e+02        1.6000e-19     
2.3400e+02        1.3800e-19     
2.3500e+02        1.2000e-19     
2.3600e+02        1.0700e-19     
2.3700e+02        9.3700e-20     
2.3800e+02        7.9600e-20     
2.3900e+02        6.7100e-20     
2.4000e+02        5.7800e-20     
2.4100e+02        5.0000e-20     
2.4200e+02        4.2000e-20     
2.4300e+02        3.4800e-20     
2.4400e+02        2.8800e-20     
2.4500e+02        2.4600e-20     
2.4600e+02        2.0500e-20     
2.4700e+02        1.6900e-20     
2.4800e+02        1.4000e-20     
2.4900e+02        1.1500e-20     
2.5000e+02        9.7400e-21     
2.5100e+02        7.5600e-21     
2.5200e+02        6.1300e-21     
2.5300e+02        5.0100e-21     
2.5400e+02        4.0600e-21     
2.5500e+02        3.3200e-21     
2.5600e+02        2.7100e-21     
2.5700e+02        2.1900e-21     
2.5800e+02        1.7100e-21     
2.5900e+02        1.3600e-21     
2.6000e+02        1.1100e-21     
2.6100e+02        9.0500e-22     
2.6200e+02        7.3000e-22     
2.6300e+02        6.1100e-22     
2.6400e+02        4.9300e-22     
2.6500e+02        4.0300e-22     
2.6600e+02        3.3900e-22     
2.6700e+02        2.6800e-22     
2.6800e+02        2.1400e-22     
2.6900e+02        1.9200e-22     
2.7000e+02        1.5200e-22     
2.7100e+02        1.1600e-22     
2.7200e+02        1.0600e-22     
2.7300e+02        9.2100e-23     
2.7400e+02        6.3000e-23     
2.7500e+02        5.2600e-23     
2.7600e+02        5.6100e-23     
2.7700e+02        3.9600e-23     
2.7800e+02        2.8100e-23     
2.7900e+02        2.5000e-23     
2.8000e+02        2.3800e-23     
2.8100e+02        1.4400e-23     
2.8200e+02        1.1600e-23     
2.8300e+02        1.3100e-23     
2.8400e+02        9.9000e-24     
2.8500e+02        6.1000e-24     
2.8600e+02        6.2000e-24     
2.8700e+02        6.8000e-24     
2.8800e+02        4.8000e-24     
2.8900e+02        3.4000e-24     
2.9000e+02        3.1000e-24     
2.9100e+02        3.6000e-24     
2.9200e+02        2.4000e-24     
2.9300e+02        1.5000e-24     
2.9400e+02        1.1000e-24     
2.9500e+02        1.5000e-24     
2.9600e+02        1.3000e-24     
3.3690e+02        1.0000e-27     
