OClO_+_hv_=>_ClO_+_O.txt
wavelength          300K                
1.00000000e-01      0.00000000e+00      
5.00000000e-01      0.00000000e+00      
1.20000000e+00      0.00000000e+00      
2.60000000e+00      0.00000000e+00      
4.50000000e+00      0.00000000e+00      
6.00000000e+00      0.00000000e+00      
1.20000000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
3.00000000e+01      0.00000000e+00      
3.50000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
4.50000000e+01      0.00000000e+00      
5.00000000e+01      0.00000000e+00      
5.50000000e+01      0.00000000e+00      
6.22500000e+01      0.00000000e+00      
8.41500000e+01      0.00000000e+00      
8.77900000e+01      0.00000000e+00      
1.15000000e+02      0.00000000e+00      
1.20000000e+02      0.00000000e+00      
1.25000000e+02      0.00000000e+00      
1.30000000e+02      0.00000000e+00      
1.35000000e+02      0.00000000e+00      
1.40000000e+02      0.00000000e+00      
1.45000000e+02      0.00000000e+00      
1.47000000e+02      0.00000000e+00      
1.48000000e+02      0.00000000e+00      
1.49000000e+02      0.00000000e+00      
1.50000000e+02      0.00000000e+00      
1.51000000e+02      0.00000000e+00      
1.51600000e+02      0.00000000e+00      
1.52000000e+02      0.00000000e+00      
1.52700000e+02      0.00000000e+00      
1.53000000e+02      0.00000000e+00      
1.54000000e+02      0.00000000e+00      
1.55000000e+02      0.00000000e+00      
1.56000000e+02      0.00000000e+00      
1.57000000e+02      0.00000000e+00      
1.58000000e+02      0.00000000e+00      
1.59000000e+02      0.00000000e+00      
1.59800000e+02      0.00000000e+00      
1.60000000e+02      0.00000000e+00      
1.61000000e+02      0.00000000e+00      
1.62000000e+02      0.00000000e+00      
1.62700000e+02      0.00000000e+00      
1.63000000e+02      0.00000000e+00      
1.64000000e+02      0.00000000e+00      
1.65000000e+02      0.00000000e+00      
1.66700000e+02      0.00000000e+00      
1.72000000e+02      0.00000000e+00      
1.73000000e+02      0.00000000e+00      
1.74000000e+02      0.00000000e+00      
1.75000000e+02      0.00000000e+00      
1.76000000e+02      0.00000000e+00      
1.77000000e+02      0.00000000e+00      
1.78000000e+02      0.00000000e+00      
1.79000000e+02      0.00000000e+00      
1.79400000e+02      0.00000000e+00      
1.80000000e+02      0.00000000e+00      
1.81000000e+02      0.00000000e+00      
1.82000000e+02      0.00000000e+00      
1.82900000e+02      0.00000000e+00      
1.83000000e+02      0.00000000e+00      
1.84000000e+02      0.00000000e+00      
1.85000000e+02      0.00000000e+00      
2.75900000e+02      0.00000000e+00      
2.76000000e+02      1.00000000e+00      
2.98000000e+02      1.00000000e+00      
3.01000000e+02      1.00000000e+00      
3.04000000e+02      1.00000000e+00      
3.06000000e+02      1.00000000e+00      
3.09000000e+02      1.00000000e+00      
3.11000000e+02      1.00000000e+00      
3.15000000e+02      1.00000000e+00      
3.17000000e+02      1.00000000e+00      
3.20000000e+02      1.00000000e+00      
3.22000000e+02      1.00000000e+00      
3.27000000e+02      1.00000000e+00      
3.29500000e+02      1.00000000e+00      
3.33000000e+02      1.00000000e+00      
3.36000000e+02      1.00000000e+00      
3.40000000e+02      1.00000000e+00      
3.44000000e+02      1.00000000e+00      
3.48000000e+02      1.00000000e+00      
3.48500000e+02      1.00000000e+00      
3.49500000e+02      1.00000000e+00      
3.51500000e+02      1.00000000e+00      
3.55000000e+02      1.00000000e+00      
3.56000000e+02      1.00000000e+00      
3.58000000e+02      1.00000000e+00      
3.59500000e+02      1.00000000e+00      
3.64000000e+02      1.00000000e+00      
3.65000000e+02      1.00000000e+00      
3.66500000e+02      1.00000000e+00      
3.68000000e+02      1.00000000e+00      
3.73000000e+02      1.00000000e+00      
3.74000000e+02      1.00000000e+00      
3.74800000e+02      1.00000000e+00      
3.75300000e+02      1.00000000e+00      
3.76000000e+02      1.00000000e+00      
3.77500000e+02      1.00000000e+00      
3.81000000e+02      1.00000000e+00      
3.82000000e+02      1.00000000e+00      
3.83000000e+02      1.00000000e+00      
3.83800000e+02      1.00000000e+00      
3.84500000e+02      1.00000000e+00      
3.85600000e+02      1.00000000e+00      
3.87200000e+02      1.00000000e+00      
3.91500000e+02      1.00000000e+00      
3.92500000e+02      1.00000000e+00      
3.93500000e+02      1.00000000e+00      
3.94500000e+02      1.00000000e+00      
3.95500000e+02      1.00000000e+00      
3.96500000e+02      1.00000000e+00      
3.97500000e+02      1.00000000e+00      
4.00000000e+02      1.00000000e+00      
4.01000000e+02      1.00000000e+00      
4.02000000e+02      1.00000000e+00      
4.03000000e+02      1.00000000e+00      
4.04500000e+02      1.00000000e+00      
4.05500000e+02      1.00000000e+00      
4.06500000e+02      1.00000000e+00      
4.07500000e+02      1.00000000e+00      
4.11000000e+02      1.00000000e+00      
4.12000000e+02      1.00000000e+00      
4.13000000e+02      1.00000000e+00      
4.15000000e+02      1.00000000e+00      
4.16000000e+02      1.00000000e+00      
4.18000000e+02      1.00000000e+00      
4.20000000e+02      1.00000000e+00      
4.22500000e+02      1.00000000e+00      
4.40410000e+02      1.00000000e+00      
4.45920000e+02      1.00000000e+00      
4.54340000e+02      1.00000000e+00      
4.60310000e+02      1.00000000e+00      
4.69360000e+02      1.00000000e+00      
4.75820000e+02      1.00000000e+00      
4.96000000e+02      1.00000000e+00      
