OClO (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
1.00000000e-01      3.47000000e-21      
5.00000000e-01      2.56000000e-20      
1.20000000e+00      3.52000000e-19      
2.60000000e+00      1.50000000e-18      
4.50000000e+00      3.17000000e-18      
6.00000000e+00      7.95000000e-19      
1.20000000e+01      3.75000000e-18      
2.00000000e+01      8.76000000e-18      
2.50000000e+01      1.19000000e-17      
3.00000000e+01      1.45000000e-17      
3.50000000e+01      1.72000000e-17      
4.00000000e+01      2.02000000e-17      
4.50000000e+01      2.62000000e-17      
5.00000000e+01      3.53000000e-17      
5.50000000e+01      4.35000000e-17      
6.22500000e+01      5.56000000e-17      
8.41500000e+01      6.32000000e-17      
8.77900000e+01      6.99000000e-17      
1.15000000e+02      3.74000000e-17      
1.20000000e+02      3.41000000e-17      
1.25000000e+02      3.25000000e-17      
1.30000000e+02      2.07000000e-17      
1.35000000e+02      2.64000000e-17      
1.40000000e+02      3.98000000e-17      
1.45000000e+02      3.00000000e-17      
1.47000000e+02      9.55000000e-19      
1.48000000e+02      1.53000000e-18      
1.49000000e+02      2.29000000e-18      
1.50000000e+02      3.82000000e-18      
1.51000000e+02      4.97000000e-18      
1.51600000e+02      9.17000000e-18      
1.52000000e+02      4.58000000e-18      
1.52700000e+02      9.74000000e-18      
1.53000000e+02      4.39000000e-18      
1.54000000e+02      1.15000000e-17      
1.55000000e+02      3.82000000e-18      
1.56000000e+02      3.63000000e-18      
1.57000000e+02      5.16000000e-18      
1.58000000e+02      3.82000000e-18      
1.59000000e+02      3.44000000e-18      
1.59800000e+02      1.01000000e-17      
1.60000000e+02      7.64000000e-18      
1.61000000e+02      3.25000000e-18      
1.62000000e+02      3.25000000e-18      
1.62700000e+02      1.43000000e-17      
1.63000000e+02      7.64000000e-18      
1.64000000e+02      2.67000000e-18      
1.65000000e+02      2.10000000e-18      
1.66700000e+02      1.34000000e-18      
1.72000000e+02      6.69000000e-19      
1.73000000e+02      6.88000000e-19      
1.74000000e+02      7.07000000e-19      
1.75000000e+02      7.26000000e-19      
1.76000000e+02      9.17000000e-19      
1.77000000e+02      5.92000000e-19      
1.78000000e+02      6.11000000e-19      
1.79000000e+02      1.28000000e-18      
1.79400000e+02      2.06000000e-18      
1.80000000e+02      3.82000000e-19      
1.81000000e+02      2.67000000e-19      
1.82000000e+02      4.20000000e-19      
1.82900000e+02      3.57000000e-18      
1.83000000e+02      3.44000000e-18      
1.84000000e+02      1.34000000e-19      
1.85000000e+02      1.91000000e-20      
2.75900000e+02      8.40000000e-20      
2.76000000e+02      8.40000000e-20      
2.98000000e+02      1.00000000e-19      
3.01000000e+02      1.40000000e-18      
3.04000000e+02      1.00000000e-19      
3.06000000e+02      2.90000000e-18      
3.09000000e+02      1.00000000e-19      
3.11000000e+02      4.50000000e-19      
3.15000000e+02      1.00000000e-19      
3.17000000e+02      6.60000000e-18      
3.20000000e+02      1.00000000e-19      
3.22000000e+02      8.70000000e-18      
3.27000000e+02      4.00000000e-19      
3.29500000e+02      1.12000000e-17      
3.33000000e+02      5.00000000e-19      
3.36000000e+02      1.31000000e-17      
3.40000000e+02      6.00000000e-19      
3.44000000e+02      1.45000000e-17      
3.48000000e+02      7.00000000e-19      
3.48500000e+02      2.10000000e-18      
3.49500000e+02      5.00000000e-18      
3.51500000e+02      1.50000000e-17      
3.55000000e+02      1.00000000e-18      
3.56000000e+02      3.00000000e-18      
3.58000000e+02      6.00000000e-18      
3.59500000e+02      1.45000000e-17      
3.64000000e+02      1.20000000e-18      
3.65000000e+02      3.00000000e-18      
3.66500000e+02      6.30000000e-18      
3.68000000e+02      1.35000000e-17      
3.73000000e+02      7.00000000e-19      
3.74000000e+02      3.30000000e-18      
3.74800000e+02      2.00000000e-18      
3.75300000e+02      5.70000000e-18      
3.76000000e+02      3.30000000e-18      
3.77500000e+02      1.15000000e-17      
3.81000000e+02      1.20000000e-18      
3.82000000e+02      4.00000000e-19      
3.83000000e+02      3.00000000e-18      
3.83800000e+02      1.80000000e-18      
3.84500000e+02      4.50000000e-18      
3.85600000e+02      2.00000000e-18      
3.87200000e+02      9.50000000e-18      
3.91500000e+02      9.00000000e-19      
3.92500000e+02      2.00000000e-19      
3.93500000e+02      3.00000000e-18      
3.94500000e+02      1.40000000e-18      
3.95500000e+02      3.30000000e-18      
3.96500000e+02      9.00000000e-19      
3.97500000e+02      7.50000000e-18      
4.00000000e+02      1.00000000e-19      
4.01000000e+02      4.00000000e-19      
4.02000000e+02      1.00000000e-19      
4.03000000e+02      2.00000000e-18      
4.04500000e+02      8.00000000e-19      
4.05500000e+02      1.50000000e-18      
4.06500000e+02      2.00000000e-19      
4.07500000e+02      5.00000000e-18      
4.11000000e+02      1.00000000e-19      
4.12000000e+02      2.00000000e-19      
4.13000000e+02      1.00000000e-19      
4.15000000e+02      1.10000000e-18      
4.16000000e+02      3.00000000e-19      
4.18000000e+02      2.00000000e-19      
4.20000000e+02      3.00000000e-18      
4.22500000e+02      1.00000000e-19      
4.40410000e+02      2.65000000e-19      
4.45920000e+02      3.40000000e-19      
4.54340000e+02      5.77000000e-20      
4.60310000e+02      7.37000000e-20      
4.69360000e+02      8.02000000e-21      
4.75820000e+02      9.40000000e-21      
4.96000000e+02      1.00000000e-35      
