SO + hv => S + O
wavelength (nm)   quantum yield
6.0000e-02        0.0000e+00     
1.2000e-01        0.0000e+00     
2.4000e-01        0.0000e+00     
6.2000e-01        0.0000e+00     
1.2600e+00        0.0000e+00     
2.3600e+00        0.0000e+00     
2.4600e+00        0.0000e+00     
6.2100e+00        0.0000e+00     
6.7500e+00        0.0000e+00     
7.0500e+00        0.0000e+00     
7.3500e+00        0.0000e+00     
1.2170e+01        0.0000e+00     
2.0000e+01        0.0000e+00     
3.0000e+01        0.0000e+00     
4.0000e+01        0.0000e+00     
5.0000e+01        0.0000e+00     
6.0000e+01        0.0000e+00     
7.0000e+01        0.0000e+00     
8.0000e+01        0.0000e+00     
1.2050e+02        0.0000e+00     
1.2060e+02        1.0000e+00     
1.9000e+02        1.0000e+00     
1.9100e+02        1.0000e+00     
1.9200e+02        1.0000e+00     
1.9250e+02        1.0000e+00     
1.9300e+02        1.0000e+00     
1.9350e+02        1.0000e+00     
1.9400e+02        1.0000e+00     
1.9425e+02        1.0000e+00     
1.9450e+02        1.0000e+00     
1.9475e+02        1.0000e+00     
1.9500e+02        1.0000e+00     
1.9550e+02        1.0000e+00     
1.9575e+02        1.0000e+00     
1.9600e+02        1.0000e+00     
1.9625e+02        1.0000e+00     
1.9675e+02        1.0000e+00     
1.9700e+02        1.0000e+00     
1.9750e+02        1.0000e+00     
1.9775e+02        1.0000e+00     
1.9825e+02        1.0000e+00     
1.9850e+02        1.0000e+00     
1.9950e+02        1.0000e+00     
2.0000e+02        1.0000e+00     
2.0070e+02        1.0000e+00     
2.0140e+02        1.0000e+00     
2.0200e+02        1.0000e+00     
2.0300e+02        1.0000e+00     
2.0360e+02        1.0000e+00     
2.0420e+02        1.0000e+00     
2.0450e+02        1.0000e+00     
2.0500e+02        1.0000e+00     
2.0520e+02        1.0000e+00     
2.0650e+02        1.0000e+00     
2.0720e+02        1.0000e+00     
2.0750e+02        1.0000e+00     
2.0850e+02        1.0000e+00     
2.0950e+02        1.0000e+00     
2.0980e+02        1.0000e+00     
2.1150e+02        1.0000e+00     
2.1220e+02        1.0000e+00     
2.1250e+02        1.0000e+00     
2.1350e+02        1.0000e+00     
2.1400e+02        1.0000e+00     
2.1450e+02        1.0000e+00     
2.1500e+02        1.0000e+00     
2.1650e+02        1.0000e+00     
2.1700e+02        1.0000e+00     
2.1900e+02        1.0000e+00     
2.1970e+02        1.0000e+00     
2.2000e+02        1.0000e+00     
2.2150e+02        1.0000e+00     
2.2300e+02        1.0000e+00     
2.2450e+02        1.0000e+00     
2.2600e+02        1.0000e+00     
2.2750e+02        1.0000e+00     
2.2850e+02        1.0000e+00     
2.3000e+02        1.0000e+00     
2.3140e+02        1.0000e+00     
