SO
wavelength (nm)   cross section (cm2/molecule)
6.0000e-02        3.2500e-22     
1.2000e-01        2.7600e-21     
2.4000e-01        1.8800e-20     
6.2000e-01        3.7200e-20     
1.2600e+00        2.6100e-19     
2.3600e+00        6.6800e-19     
2.4600e+00        7.6500e-19     
6.2100e+00        4.7500e-18     
6.7500e+00        5.6200e-18     
7.0500e+00        2.9300e-18     
7.3500e+00        8.3700e-19     
1.2170e+01        2.2900e-18     
2.0000e+01        6.0000e-18     
3.0000e+01        6.0000e-18     
4.0000e+01        1.2000e-17     
5.0000e+01        2.0000e-17     
6.0000e+01        3.7000e-17     
7.0000e+01        3.9000e-17     
8.0000e+01        2.0000e-17     
1.2050e+02        1.5500e-17     
1.2060e+02        1.5500e-17     
1.9000e+02        8.0000e-18     
1.9100e+02        1.0500e-17     
1.9200e+02        1.1000e-17     
1.9250e+02        1.3500e-17     
1.9300e+02        1.4000e-17     
1.9350e+02        8.0000e-18     
1.9400e+02        1.4500e-17     
1.9425e+02        8.5000e-18     
1.9450e+02        1.2500e-17     
1.9475e+02        9.0000e-18     
1.9500e+02        1.6000e-17     
1.9550e+02        1.1000e-17     
1.9575e+02        1.6500e-17     
1.9600e+02        1.0500e-17     
1.9625e+02        1.5500e-17     
1.9675e+02        1.2000e-17     
1.9700e+02        1.8000e-17     
1.9750e+02        1.1000e-17     
1.9775e+02        1.9000e-17     
1.9825e+02        1.2000e-17     
1.9850e+02        1.9000e-17     
1.9950e+02        8.0000e-18     
2.0000e+02        2.7300e-17     
2.0070e+02        1.1000e-17     
2.0140e+02        6.0000e-18     
2.0200e+02        2.7600e-17     
2.0300e+02        6.2000e-18     
2.0360e+02        5.5000e-18     
2.0420e+02        2.7400e-17     
2.0450e+02        5.0000e-18     
2.0500e+02        3.5000e-18     
2.0520e+02        2.7400e-17     
2.0650e+02        3.5000e-18     
2.0720e+02        2.6000e-18     
2.0750e+02        2.7000e-17     
2.0850e+02        4.0000e-18     
2.0950e+02        2.0000e-18     
2.0980e+02        2.2500e-17     
2.1150e+02        1.0000e-18     
2.1220e+02        6.2000e-18     
2.1250e+02        2.1000e-17     
2.1350e+02        2.4000e-18     
2.1400e+02        1.5000e-18     
2.1450e+02        1.7800e-17     
2.1500e+02        6.0000e-18     
2.1650e+02        1.0000e-18     
2.1700e+02        1.2500e-17     
2.1900e+02        1.0000e-18     
2.1970e+02        1.0000e-18     
2.2000e+02        8.0000e-18     
2.2150e+02        1.0000e-24     
2.2300e+02        5.2000e-18     
2.2450e+02        1.0000e-24     
2.2600e+02        2.0000e-18     
2.2750e+02        1.0000e-24     
2.2850e+02        1.0000e-18     
2.3000e+02        1.0000e-24     
2.3140e+02        1.0000e-24     
