SO2 + hv => S + O2 (wavelength = nm, qy = unitless)
wavelength          300K                
6.00000000e-02      0.00000000e+00      
1.20000000e-01      0.00000000e+00      
2.40000000e-01      0.00000000e+00      
5.00000000e-01      0.00000000e+00      
5.20000000e-01      0.00000000e+00      
6.20000000e-01      0.00000000e+00      
1.26000000e+00      0.00000000e+00      
2.26000000e+00      0.00000000e+00      
2.36000000e+00      0.00000000e+00      
2.46000000e+00      0.00000000e+00      
5.03000000e+00      0.00000000e+00      
5.25000000e+00      0.00000000e+00      
6.21000000e+00      0.00000000e+00      
6.75000000e+00      0.00000000e+00      
7.05000000e+00      0.00000000e+00      
7.35000000e+00      0.00000000e+00      
1.21700000e+01      0.00000000e+00      
2.00000000e+01      0.00000000e+00      
2.50000000e+01      0.00000000e+00      
3.00000000e+01      0.00000000e+00      
3.50000000e+01      0.00000000e+00      
4.00000000e+01      0.00000000e+00      
4.50000000e+01      0.00000000e+00      
5.00000000e+01      0.00000000e+00      
5.50000000e+01      0.00000000e+00      
6.00000000e+01      0.00000000e+00      
6.50000000e+01      0.00000000e+00      
7.00000000e+01      0.00000000e+00      
7.50000000e+01      0.00000000e+00      
8.00000000e+01      0.00000000e+00      
8.35000000e+01      0.00000000e+00      
1.06500000e+02      5.00000000e-01      
1.07000000e+02      5.00000000e-01      
1.08000000e+02      5.00000000e-01      
1.08500000e+02      5.00000000e-01      
1.09000000e+02      5.00000000e-01      
1.10000000e+02      5.00000000e-01      
1.10800000e+02      5.00000000e-01      
1.11200000e+02      5.00000000e-01      
1.12000000e+02      5.00000000e-01      
1.12500000e+02      5.00000000e-01      
1.13500000e+02      5.00000000e-01      
1.14000000e+02      5.00000000e-01      
1.14500000e+02      5.01790000e-01      
1.15000000e+02      5.00000000e-01      
1.16000000e+02      5.00000000e-01      
1.17000000e+02      5.00000000e-01      
1.18000000e+02      5.00000000e-01      
1.20000000e+02      5.00000000e-01      
1.22000000e+02      5.00000000e-01      
1.24000000e+02      5.00840000e-01      
1.25500000e+02      5.00000000e-01      
1.28000000e+02      5.01220000e-01      
1.30500000e+02      5.00000000e-01      
1.31500000e+02      5.00000000e-01      
1.32000000e+02      5.00000000e-01      
1.33000000e+02      5.00000000e-01      
1.34000000e+02      5.00000000e-01      
1.34500000e+02      4.98470000e-01      
1.35000000e+02      5.00000000e-01      
1.36000000e+02      5.00000000e-01      
1.39500000e+02      5.00000000e-01      
1.40000000e+02      4.98510000e-01      
1.42200000e+02      5.00000000e-01      
1.43000000e+02      5.00000000e-01      
1.43500000e+02      4.98780000e-01      
1.44200000e+02      4.98580000e-01      
1.44700000e+02      5.00000000e-01      
1.45000000e+02      5.00000000e-01      
1.45800000e+02      5.00000000e-01      
1.46600000e+02      5.00960000e-01      
1.47000000e+02      4.99160000e-01      
1.48200000e+02      5.00960000e-01      
1.48500000e+02      5.00000000e-01      
1.49000000e+02      5.00960000e-01      
1.50200000e+02      5.00000000e-01      
1.50700000e+02      5.00000000e-01      
1.51300000e+02      5.00000000e-01      
1.52400000e+02      5.00000000e-01      
1.52800000e+02      4.99160000e-01      
1.53800000e+02      4.98510000e-01      
1.54400000e+02      4.99160000e-01      
1.55000000e+02      5.00000000e-01      
1.55800000e+02      5.00000000e-01      
1.56500000e+02      5.02240000e-01      
1.57300000e+02      5.00000000e-01      
1.58200000e+02      5.00000000e-01      
1.58700000e+02      5.02240000e-01      
1.60000000e+02      5.00000000e-01      
1.64000000e+02      5.00000000e-01      
1.66500000e+02      5.00000000e-01      
1.67500000e+02      4.98510000e-01      
1.68000000e+02      5.00000000e-01      
1.68500000e+02      5.00000000e-01      
1.69000000e+02      5.00000000e-01      
1.69500000e+02      4.99040000e-01      
1.70000000e+02      4.98780000e-01      
1.71100000e+02      5.00000000e-01      
1.71200000e+02      5.00000000e-01      
1.71300000e+02      5.01180000e-01      
1.71400000e+02      4.98730000e-01      
1.71500000e+02      4.99080000e-01      
1.71600000e+02      5.00000000e-01      
1.71700000e+02      5.00000000e-01      
